Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|875|895|880|1095|3740
B66010|Avon Maitland DSB|1195|1235|1205|1430|5065
B66001|Bluewater DSB|1200|1210|1120|1520|5050
B66303|CS Viamonde|715|635|560|585|2495
B28118|CS public du Grand Nord de l'Ontario|155|165|170|195|690
B28100|CS public du Nord-Est de l'Ontario|85|85|105|105|380
B66311|CÉP de l'Est de l'Ontario|1095|1150|1135|1475|4850
B66150|DSB Niagara|3315|3170|3165|3755|13405
B28002|DSB Ontario North East|645|645|630|865|2780
B66060|Durham DSB|5855|5670|5680|6235|23440
B66168|Grand Erie DSB|1985|2040|1845|2625|8495
B66028|Greater Essex County DSB|2920|2665|2840|3300|11725
B66133|Halton DSB|4925|5140|5390|6100|21555
B66141|Hamilton-Wentworth DSB|3380|3475|3450|4595|14900
B66222|Hastings & Prince Edward DSB|1160|1210|1170|1190|4725
B15148|James Bay Lowlands SSB|40|40|40|85|205
B66079|Kawartha Pine Ridge DSB|2460|2475|2450|3030|10410
B28045|Keewatin-Patricia DSB|475|470|440|585|1970
B28061|Lakehead DSB|675|665|650|700|2695
B66036|Lambton Kent DSB|1650|1775|1745|2225|7395
B66206|Limestone DSB|1530|1600|1560|2205|6895
B28037|Near North DSB|725|750|760|920|3155
B66184|Ottawa-Carleton DSB|5760|6070|6065|8450|26345
B66125|Peel DSB|9390|10230|10220|12550|42385
B28029|Rainbow DSB|1130|1135|1060|1655|4985
B28053|Rainy River DSB|225|220|205|235|880
B66214|Renfrew County DSB|730|740|725|1005|3200
B66109|Simcoe County DSB|4215|4160|4260|4595|17230
B28070|Superior-Greenstone DSB|185|185|160|180|710
B66044|Thames Valley DSB|5780|5870|5885|7940|25475
B66052|Toronto DSB|16530|17310|17880|22190|73910
B66087|Trillium Lakelands DSB|1435|1445|1370|1665|5915
B66192|Upper Canada DSB|2175|2180|2205|2660|9220
B66117|Upper Grand DSB|2770|2780|2675|3445|11675
B66176|Waterloo Region DSB|4900|4990|5010|6195|21095
B66095|York Region DSB|10175|10600|11080|11775|43625
B67202|Algonquin and Lakeshore CDSB|860|920|1005|1315|4100
B67164|Brant Haldimand Norfolk CDSB|1030|985|985|1280|4285
B67008|Bruce-Grey CDSB|400|375|440|500|1710
B67172|CDSB of Eastern Ontario|995|1030|985|1030|4045
B67318|CS catholique MonAvenir|1030|1115|1010|970|4125
B29114|CSDC Franco-Nord|200|200|180|205|790
B67326|CSDC de l'Est ontarien|780|730|730|685|2925
B29130|CSDC des Aurores boréales|35|30|30|30|130
B29106|CSDC des Grandes Rivières|425|375|375|490|1665
B67334|CSDC du Centre-Est de l'Ontario|1855|1795|1715|1700|7065
B29122|CSDC du Nouvel-Ontario|365|365|375|400|1505
B67300|Conseil scolaire catholique Providence|460|455|430|530|1875
B67083|Dufferin-Peel CDSB|7275|7365|7325|7975|29940
B67105|Durham CDSB|1815|1670|1730|1640|6865
B67113|Halton CDSB|3580|3380|3380|3755|14090
B67121|Hamilton-Wentworth CDSB|2600|2525|2495|3715|11335
B67016|Huron Perth CDSB|290|315|315|425|1345
B29025|Huron-Superior CDSB|290|165|195|215|865
B29050|Kenora CDSB|90|105|90|85|370
B67032|London District Catholic School Board|2365|2295|2190|2440|9290
B67156|Niagara CDSB|1625|1660|1535|1940|6755
B29017|Nipissing-Parry Sound CDSB|315|285|255|275|1130
B29009|Northeastern CDSB|100|110|75|100|385
B67180|Ottawa CSB|3905|4030|3740|4245|15920
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1190|1195|1095|1270|4745
B67199|Renfrew County CDSB|295|290|290|340|1205
B67091|Simcoe Muskoka CDSB|1945|1805|1645|1850|7245
B67040|St Clair CDSB|715|620|570|765|2670
B29033|Sudbury CDSB|540|530|505|535|2110
B29068|Thunder Bay CDSB|510|505|490|570|2075
B67059|Toronto CDSB|6600|6395|6665|7680|27335
B67148|Waterloo CDSB|1930|1855|1915|2295|7995
B67130|Wellington CDSB|580|580|575|745|2485
B67024|Windsor-Essex CDSB|1985|2055|1895|2880|8815
B67075|York CDSB|4790|4705|4690|4795|18980
N/A|Provincial Total|156230|157895|157710|189015|660845
