Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|840|770|750|935|3295
B67202|Algonquin and Lakeshore CDSB|860|850|1025|1165|3900
B66010|Avon Maitland DSB|1090|1120|1125|1560|4895
B66001|Bluewater DSB|1085|1090|1015|1320|4510
B67164|Brant Haldimand Norfolk CDSB|960|870|910|1065|3805
B67008|Bruce-Grey CDSB|325|370|400|515|1610
B67172|CDSB of Eastern Ontario|970|990|915|1060|3935
B66303|CS Viamonde|665|600|555|550|2365
B67318|CS catholique MonAvenir|1050|1050|855|855|3810
B28118|CS public du Grand Nord de l'Ontario|190|145|160|210|710
B28100|CS public du Nord-Est de l'Ontario|100|90|80|120|390
B29114|CSDC Franco-Nord|200|175|190|175|745
B67326|CSDC de l'Est ontarien|690|665|640|655|2645
B29130|CSDC des Aurores boréales|40|40|30|30|135
B29106|CSDC des Grandes Rivières|395|370|355|480|1605
B67334|CSDC du Centre-Est de l'Ontario|1730|1620|1560|1450|6355
B29122|CSDC du Nouvel-Ontario|425|395|430|425|1675
B67300|Conseil scolaire catholique Providence|500|540|500|500|2040
B66311|CÉP de l'Est de l'Ontario|1075|1065|945|1025|4115
B66150|DSB Niagara|2910|2775|2930|3600|12215
B28002|DSB Ontario North East|590|555|560|765|2470
B67083|Dufferin-Peel CDSB|7360|7475|7750|8120|30700
B67105|Durham CDSB|1515|1655|1605|1720|6495
B66060|Durham DSB|5390|5300|5235|5870|21790
B66168|Grand Erie DSB|1765|1795|1820|2710|8090
B66028|Greater Essex County DSB|2755|2790|2740|3330|11615
B67113|Halton CDSB|3145|3325|3295|3620|13385
B66133|Halton DSB|4865|4630|4760|5880|20135
B67121|Hamilton-Wentworth CDSB|2395|2505|2505|3500|10905
B66141|Hamilton-Wentworth DSB|3275|3155|3210|4220|13860
B66222|Hastings & Prince Edward DSB|1070|1070|1130|1165|4435
B67016|Huron Perth CDSB|370|325|345|365|1410
B29025|Huron-Superior CDSB|220|190|190|310|915
B15148|James Bay Lowlands SSB|60|50|45|55|210
B66079|Kawartha Pine Ridge DSB|2265|2200|2170|2725|9355
B28045|Keewatin-Patricia DSB|420|435|410|580|1845
B29050|Kenora CDSB|90|85|85|75|335
B28061|Lakehead DSB|560|635|595|755|2550
B66036|Lambton Kent DSB|1630|1630|1700|2120|7085
B66206|Limestone DSB|1400|1370|1385|2135|6290
B67032|London District Catholic School Board|1900|1815|1725|2135|7580
B28037|Near North DSB|685|725|750|915|3075
B67156|Niagara CDSB|1470|1545|1555|1945|6515
B29017|Nipissing-Parry Sound CDSB|205|220|210|245|880
B29009|Northeastern CDSB|90|85|75|130|380
B67180|Ottawa CSB|3370|3645|3475|4200|14695
B66184|Ottawa-Carleton DSB|5410|5400|5670|8075|24560
B66125|Peel DSB|10420|10355|10130|12195|43105
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1150|1120|1140|1235|4645
B28029|Rainbow DSB|1015|1005|980|1515|4515
B28053|Rainy River DSB|245|240|230|225|940
B67199|Renfrew County CDSB|270|265|260|335|1135
B66214|Renfrew County DSB|700|660|715|980|3050
B66109|Simcoe County DSB|3810|3820|3815|4515|15960
B67091|Simcoe Muskoka CDSB|1755|1730|1700|1825|7015
B67040|St Clair CDSB|635|625|610|780|2650
B29033|Sudbury CDSB|490|455|405|500|1845
B28070|Superior-Greenstone DSB|170|160|160|205|700
B66044|Thames Valley DSB|5625|5370|5560|7535|24085
B29068|Thunder Bay CDSB|525|540|495|605|2165
B67059|Toronto CDSB|6430|6525|6615|8315|27885
B66052|Toronto DSB|16475|16630|16840|22595|72545
B66087|Trillium Lakelands DSB|1270|1355|1320|1705|5650
B66192|Upper Canada DSB|2015|1925|2035|2720|8695
B66117|Upper Grand DSB|2695|2585|2620|3365|11270
B67148|Waterloo CDSB|1810|1760|1710|2140|7415
B66176|Waterloo Region DSB|4845|4755|4825|6145|20570
B67130|Wellington CDSB|530|560|540|755|2390
B67024|Windsor-Essex CDSB|1855|1900|1710|2265|7730
B67075|York CDSB|4710|4595|4450|4480|18235
B66095|York Region DSB|9450|9665|10165|11445|40725
N/A|Provincial Total|149295|148790|149390|183745|631220

