Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|760|760|720|1020|3260
B67202|Algonquin and Lakeshore CDSB|870|835|990|1235|3930
B66010|Avon Maitland DSB|1130|1160|1235|1685|5210
B66001|Bluewater DSB|1080|1035|990|1365|4470
B67164|Brant Haldimand Norfolk CDSB|865|925|840|1070|3705
B67008|Bruce-Grey CDSB|375|405|390|490|1660
B67172|CDSB of Eastern Ontario|980|930|1000|1030|3940
B66311|CEP de l'Est de l'Ontario|1050|1020|910|1040|4020
B66303|CS Viamonde|620|570|515|490|2195
B67318|CS catholique MonAvenir|1080|875|835|765|3555
B28118|CS public du Grand Nord de l'Ontario|155|160|165|180|660
B28100|CS public du Nord-Est de l'Ontario|90|80|95|115|380
B29114|CSDC Franco-Nord|180|195|160|235|770
B67326|CSDC de l'Est ontarien|675|655|635|660|2625
B29130|CSDC des Aurores boreales|40|30|35|30|135
B29106|CSDC des Grandes Rivieres|375|360|380|515|1630
B67334|CSDC du Centre-Est de l'Ontario|1615|1585|1425|1410|6030
B29122|CSDC du Nouvel-Ontario|400|440|425|395|1660
B67300|Conseil scolaire catholique Providence|545|510|470|510|2035
B66150|DSB Niagara|2755|2900|2855|3545|12055
B28002|DSB Ontario North East|540|560|560|720|2385
B67083|Dufferin-Peel CDSB|7400|7765|7440|8270|30870
B67105|Durham CDSB|1650|1625|1670|1645|6590
B66060|Durham DSB|5245|5145|5220|5745|21360
B66168|Grand Erie DSB|1795|1825|1920|2695|8235
B66028|Greater Essex County DSB|2935|2735|2825|3320|11815
B67113|Halton CDSB|3310|3330|3210|3420|13270
B66133|Halton DSB|4615|4675|4705|6080|20075
B67121|Hamilton-Wentworth CDSB|2435|2495|2405|3715|11050
B66141|Hamilton-Wentworth DSB|3210|3200|3325|4200|13935
B66222|Hastings & Prince Edward DSB|1065|1175|1095|1280|4610
B67016|Huron Perth CDSB|330|345|310|365|1350
B29025|Huron-Superior CDSB|265|205|240|290|1000
B15148|James Bay Lowlands SSB|40|40|35|65|180
B66079|Kawartha Pine Ridge DSB|2205|2185|2160|2960|9510
B28045|Keewatin-Patricia DSB|435|405|440|615|1890
B29050|Kenora CDSB|90|90|75|110|365
B28061|Lakehead DSB|640|605|630|710|2585
B66036|Lambton Kent DSB|1595|1730|1605|2205|7140
B66206|Limestone DSB|1365|1395|1435|2255|6445
B67032|London District Catholic School Board|1780|1695|1705|2085|7265
B28037|Near North DSB|735|775|750|905|3170
B67156|Niagara CDSB|1535|1550|1560|1995|6640
B29017|Nipissing-Parry Sound CDSB|230|205|205|230|865
B29009|Northeastern CDSB|90|80|100|130|400
B67180|Ottawa CSB|3330|3495|3470|3935|14230
B66184|Ottawa-Carleton DSB|5295|5660|5790|8135|24880
B66125|Peel DSB|10395|10090|10060|12125|42670
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1140|1145|1150|1205|4645
B28029|Rainbow DSB|990|1005|1015|1475|4490
B28053|Rainy River DSB|240|240|200|245|925
B67199|Renfrew County CDSB|280|270|265|335|1145
B66214|Renfrew County DSB|650|715|745|960|3070
B66109|Simcoe County DSB|3775|3810|3840|4345|15765
B67091|Simcoe Muskoka CDSB|1725|1710|1690|1875|7000
B67040|St Clair CDSB|630|625|650|750|2660
B29033|Sudbury CDSB|475|390|415|540|1815
B28070|Superior-Greenstone DSB|160|160|150|200|670
B66044|Thames Valley DSB|5360|5540|5450|7605|23955
B29068|Thunder Bay CDSB|570|515|530|630|2245
B67059|Toronto CDSB|6570|6685|6815|8445|28515
B66052|Toronto DSB|16450|16765|16755|22560|72535
B66087|Trillium Lakelands DSB|1300|1330|1305|1695|5630
B66192|Upper Canada DSB|1910|2045|2110|2900|8965
B66117|Upper Grand DSB|2580|2620|2680|3495|11375
B67148|Waterloo CDSB|1715|1685|1695|2115|7215
B66176|Waterloo Region DSB|4730|4780|4685|6130|20325
B67130|Wellington CDSB|540|525|560|745|2370
B67024|Windsor-Essex CDSB|1910|1755|1725|2245|7640
B67075|York CDSB|4540|4430|4310|4825|18100
B66095|York Region DSB|9515|10050|10045|11565|41170
N/A|Provincial Total|147945|149310|148775|184880|630915
