Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|890|870|865|1005|3630
B66010|Avon Maitland DSB|1190|1200|1160|1425|4975
B66001|Bluewater DSB|1230|1145|1110|1475|4955
B66303|CS Viamonde|680|610|585|565|2440
B28118|CS public du Grand Nord de l'Ontario|165|175|180|180|705
B28100|CS public du Nord-Est de l'Ontario|95|100|85|95|375
B66311|CÉP de l'Est de l'Ontario|1160|1190|1115|1275|4735
B66150|DSB Niagara|3085|3075|3000|3600|12755
B28002|DSB Ontario North East|640|630|630|775|2670
B66060|Durham DSB|5570|5550|5510|5940|22565
B66168|Grand Erie DSB|2020|1845|1805|2640|8315
B66028|Greater Essex County DSB|2900|2790|2720|3395|11810
B66133|Halton DSB|5130|5275|5100|5795|21300
B66141|Hamilton-Wentworth DSB|3420|3415|3325|4425|14580
B66222|Hastings & Prince Edward DSB|1190|1180|1100|1175|4640
B15148|James Bay Lowlands SSB|40|40|50|70|205
B66079|Kawartha Pine Ridge DSB|2545|2470|2365|2855|10235
B28045|Keewatin-Patricia DSB|435|430|420|595|1880
B28061|Lakehead DSB|785|645|590|755|2775
B66036|Lambton Kent DSB|1745|1740|1720|2150|7360
B66206|Limestone DSB|1575|1540|1470|2125|6715
B28037|Near North DSB|760|725|745|900|3130
B66184|Ottawa-Carleton DSB|5790|5820|5945|8025|25580
B66125|Peel DSB|10100|10105|10380|12270|42855
B28029|Rainbow DSB|1120|1035|1055|1595|4810
B28053|Rainy River DSB|230|210|220|250|905
B66214|Renfrew County DSB|725|705|720|900|3050
B66109|Simcoe County DSB|4155|4230|3985|4660|17030
B28070|Superior-Greenstone DSB|195|165|150|175|680
B66044|Thames Valley DSB|5840|5845|5820|7555|25060
B66052|Toronto DSB|16640|17220|16950|21365|72170
B66087|Trillium Lakelands DSB|1410|1380|1310|1735|5835
B66192|Upper Canada DSB|2090|2145|2135|2605|8975
B66117|Upper Grand DSB|2785|2665|2770|3255|11475
B66176|Waterloo Region DSB|4900|4980|4920|6000|20800
B66095|York Region DSB|10010|10585|10100|11305|42000
B67202|Algonquin and Lakeshore CDSB|875|885|975|1265|4000
B67164|Brant Haldimand Norfolk CDSB|940|975|1000|1145|4060
B67008|Bruce-Grey CDSB|385|410|350|560|1705
B67172|CDSB of Eastern Ontario|1025|985|985|1100|4095
B67318|CS catholique MonAvenir|1140|1040|935|1040|4150
B29114|CSDC Franco-Nord|200|195|190|205|785
B67326|CSDC de l'Est ontarien|740|730|675|665|2810
B29130|CSDC des Aurores boréales|35|30|35|30|130
B29106|CSDC des Grandes Rivières|375|385|385|445|1595
B67334|CSDC du Centre-Est de l'Ontario|1800|1735|1665|1585|6785
B29122|CSDC du Nouvel-Ontario|375|385|390|375|1520
B67300|Conseil scolaire catholique Providence|475|445|465|540|1925
B67083|Dufferin-Peel CDSB|7205|7260|7330|7925|29720
B67105|Durham CDSB|1640|1720|1555|1700|6615
B67113|Halton CDSB|3210|3300|3170|3765|13440
B67121|Hamilton-Wentworth CDSB|2480|2445|2450|3695|11075
B67016|Huron Perth CDSB|320|335|360|390|1405
B29025|Huron-Superior CDSB|235|190|160|245|835
B29050|Kenora CDSB|115|100|80|85|385
B67032|London District Catholic School Board|2175|2140|2000|2345|8655
B67156|Niagara CDSB|1615|1490|1500|1980|6585
B29017|Nipissing-Parry Sound CDSB|270|255|215|260|995
B29009|Northeastern CDSB|110|75|85|110|380
B67180|Ottawa CSB|3680|3725|3555|4165|15130
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1170|1110|1165|1215|4660
B67199|Renfrew County CDSB|290|290|275|320|1175
B67091|Simcoe Muskoka CDSB|1740|1615|1685|1845|6885
B67040|St Clair CDSB|610|575|615|770|2570
B29033|Sudbury CDSB|525|510|475|530|2045
B29068|Thunder Bay CDSB|520|530|485|600|2135
B67059|Toronto CDSB|6265|6450|6270|7660|26645
B67148|Waterloo CDSB|1795|1855|1855|2230|7735
B67130|Wellington CDSB|570|550|540|700|2360
B67024|Windsor-Essex CDSB|1980|1855|1865|2600|8305
B67075|York CDSB|4615|4700|4635|4700|18655
N/A|Provincial Total|154750|155005|152480|183705|645945
