Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|805|784|843|1337|3769
B67202|Algonquin and Lakeshore CDSB|926|911|1059|1294|4190
B66010|Avon Maitland DSB|1207|1360|1427|2136|6130
B66001|Bluewater DSB|1069|1269|1280|1905|5523
B67164|Brant Haldimand Norfolk CDSB|811|792|833|1076|3512
B67008|Bruce-Grey CDSB|347|308|276|423|1354
B67172|CDSB of Eastern Ontario|1017|1122|1043|1214|4396
B66311|CÉP de l'Est de l'Ontario|915|887|981|1029|3812
B67300|Conseil scolaire catholique Providence|441|359|421|378|1599
B66303|CS Viamonde|423|434|384|431|1672
B28118|CSD du Grand Nord de l'Ontario|138|136|148|239|661
B28100|CSD du Nord-Est de l'Ontario|122|83|118|186|509
B67318|CSDC Centre-Sud|836|724|678|753|2991
B67326|CSDC de l'Est ontarien|780|759|792|953|3284
B29130|CSDC des Aurores boréales|41|29|23|13|106
B29106|CSDC des Grandes Rivières|494|497|515|549|2055
B67334|CSDC du Centre-Est de l'Ontario|1253|1247|1177|1168|4845
B29122|CSDC du Nouvel-Ontario|405|446|447|514|1812
B29114|CSDC Franco-Nord|204|224|200|252|880
B66150|DSB Niagara|2676|2898|2803|4583|12960
B28002|DSB Ontario North East|615|730|742|1196|3283
B67083|Dufferin-Peel CDSB|7700|7828|7923|9900|33351
B67105|Durham CDSB|1698|1674|1890|2472|7734
B66060|Durham DSB|5123|5167|5233|6836|22359
B66168|Grand Erie DSB|2004|2105|2133|3534|9776
B66028|Greater Essex County DSB|2788|2772|2773|3726|12059
B67113|Halton CDSB|2457|2436|2402|3052|10347
B66133|Halton DSB|4151|4092|4219|6208|18670
B67121|Hamilton-Wentworth CDSB|2305|2307|2312|4051|10975
B66141|Hamilton-Wentworth DSB|3385|3649|3705|5566|16305
B66222|Hastings & Prince Edward DSB|1129|1217|1300|1719|5365
B67016|Huron Perth CDSB|350|342|296|430|1418
B29025|Huron-Superior CDSB|345|287|334|427|1393
B15148|James Bay Lowlands SSB|43|41|38|69|191
B66079|Kawartha Pine Ridge DSB|2343|2505|2492|4229|11569
B28045|Keewatin-Patricia DSB|470|469|486|818|2243
B29050|Kenora CDSB|111|97|101|95|404
B28061|Lakehead DSB|781|793|759|1112|3445
B66036|Lambton Kent DSB|1714|1891|1915|2647|8167
B66206|Limestone DSB|1374|1518|1479|3060|7431
B67032|London District Catholic School Board|1656|1553|1660|2437|7306
B28037|Near North DSB|763|837|903|1161|3664
B67156|Niagara CDSB|1775|1840|1773|2298|7686
B29017|Nipissing-Parry Sound CDSB|212|225|171|262|870
B29009|Northeastern CDSB|88|96|78|164|426
B67180|Ottawa CDSB|3137|3405|3555|4170|14267
B66184|Ottawa-Carleton DSB|5106|5345|5539|8329|24319
B66125|Peel DSB|9731|10081|10460|13902|44174
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1086|1125|1130|1374|4715
B28029|Rainbow DSB|1060|1096|1245|1797|5198
B28053|Rainy River DSB|259|268|257|386|1170
B67199|Renfrew County CDSB|253|254|224|332|1063
B66214|Renfrew County DSB|792|811|878|1226|3707
B66109|Simcoe County DSB|3801|3873|3872|5341|16887
B67091|Simcoe Muskoka CDSB|1625|1688|1730|2266|7309
B67040|St Clair CDSB|641|603|616|858|2718
B29033|Sudbury CDSB|499|508|523|581|2111
B28070|Superior-Greenstone DSB|205|207|197|232|841
B66044|Thames Valley DSB|5237|5473|5499|8262|24471
B29068|Thunder Bay CDSB|563|565|552|650|2330
B67059|Toronto CDSB|7040|7096|7335|9160|30631
B66052|Toronto DSB|16397|17751|18685|26888|79721
B66087|Trillium Lakelands DSB|1430|1423|1684|2012|6549
B66192|Upper Canada DSB|2092|2107|2334|3948|10481
B66117|Upper Grand DSB|2543|2515|2732|4031|11821
B67148|Waterloo CDSB|1543|1581|1515|2217|6856
B66176|Waterloo Region DSB|4401|4633|4675|6925|20634
B67130|Wellington CDSB|604|589|560|849|2602
B67024|Windsor-Essex CDSB|1883|1920|2044|2278|8125
B67075|York CDSB|4413|4461|4616|4873|18363
B66095|York Region DSB|8751|8856|9330|11923|38860
