Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enorlment|Total Enrolment
B28010|Algoma DSB|804|851|893|1,464|4,012
B67202|Algonquin and Lakeshore CDSB|912|848|1,133|1,464|4,357
B66010|Avon Maitland DSB|1,366|1,326|1,460|2,227|6,379
B66001|Bluewater DSB|1,278|1,284|1,319|2,169|6,050
B67164|Brant Haldimand Norfolk CDSB|795|840|861|1,232|3,728
B67008|Bruce-Grey CDSB|298|269|307|434|1,308
B67172|CDSB of Eastern Ontario|1,098|1,052|1,081|1,406|4,637
B66311|CÉP de l'Est de l'Ontario|860|967|924|1,196|3,947
B67300|Conseil scolaire catholique Providence|364|404|360|452|1,580
B66303|CS Viamonde|418|383|385|438|1,624
B28118|CSD du Grand Nord de l'Ontario|136|136|165|268|705
B28100|CSD du Nord-Est de l'Ontario|94|99|90|167|450
B67318|CSDC Centre-Sud|741|680|712|728|2,861
B67326|CSDC de l'Est ontarien|759|786|827|1,082|3,454
B29130|CSDC des Aurores boréales|33|22|16|28|99
B29106|CSDC des Grandes Rivières|498|515|496|608|2,117
B67334|CSDC du Centre-Est de l'Ontario|1,256|1,181|1,171|1,157|4,765
B29122|CSDC du Nouvel-Ontario|459|474|506|497|1,936
B29114|CSDC Franco-Nord|223|204|214|302|943
B66150|DSB Niagara|2,842|2,762|3,093|4,923|13,620
B28002|DSB Ontario North East|694|775|786|1,233|3,488
B67083|Dufferin-Peel CDSB|7,633|7,826|8,219|10,493|34,171
B67105|Durham CDSB|1,681|1,876|2,001|2,607|8,165
B66060|Durham DSB|5,120|5,216|5,288|7,568|23,192
B66168|Grand Erie DSB|2,049|2,159|2,268|3,514|9,990
B66028|Greater Essex County DSB|2,915|2,753|2,908|3,975|12,551
B67113|Halton CDSB|2,410|2,353|2,353|3,170|10,286
B66133|Halton DSB|4,064|4,147|4,239|6,425|18,875
B67121|Hamilton-Wentworth CDSB|2,298|2,349|2,301|4,234|11,182
B66141|Hamilton-Wentworth DSB|3,617|3,651|3,800|5,904|16,972
B66222|Hastings & Prince Edward DSB|1,189|1,276|1,318|1,962|5,745
B67016|Huron Perth CDSB|328|300|306|485|1,419
B29025|Huron-Superior CDSB|360|348|298|481|1,487
B15148|James Bay Lowlands SSB|48|69|53|34|204
B66079|Kawartha Pine Ridge DSB|2,506|2,484|2,753|4,539|12,282
B28045|Keewatin-Patricia DSB|462|482|558|826|2,328
B29050|Kenora CDSB|113|103|88|117|421
B28061|Lakehead DSB|795|736|897|1,193|3,621
B66036|Lambton Kent DSB|1,869|1,937|1,937|2,853|8,596
B66206|Limestone DSB|1,491|1,469|1,671|3,247|7,878
B67032|London District Catholic School Board|1,548|1,692|1,800|2,583|7,623
B28037|Near North DSB|843|872|884|1,322|3,921
B67156|Niagara CDSB|1,843|1,762|1,832|2,538|7,975
B29017|Nipissing-Parry Sound CDSB|229|171|191|312|903
B29009|Northeastern CDSB|105|88|108|160|461
B67180|Ottawa CDSB|3,140|3,472|3,576|4,511|14,699
B66184|Ottawa-Carleton DSB|5,348|5,422|5,615|8,359|24,744
B66125|Peel DSB|11,803|11,523|11,871|9,967|45,164
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1,150|1,147|1,193|1,457|4,947
B28029|Rainbow DSB|1,070|1,217|1,206|1,956|5,449
B28053|Rainy River DSB|267|265|256|422|1,210
B67199|Renfrew County CDSB|260|231|255|365|1,111
B66214|Renfrew County DSB|798|814|943|1,312|3,867
B66109|Simcoe County DSB|3,775|3,852|3,997|5,772|17,396
B67091|Simcoe Muskoka CDSB|1,694|1,756|1,906|2,371|7,727
B67040|St Clair CDSB|610|631|648|927|2,816
B29033|Sudbury CDSB|542|538|494|596|2,170
B28070|Superior-Greenstone DSB|209|215|174|284|882
B66044|Thames Valley DSB|5,440|5,504|5,546|8,941|25,431
B29068|Thunder Bay CDSB|595|586|596|715|2,492
B67059|Toronto CDSB|6,961|7,252|7,147|9,572|30,932
B66052|Toronto DSB|17,416|18,315|19,674|28,129|83,534
B66087|Trillium Lakelands DSB|1,380|1,540|1,644|2,243|6,807
B66192|Upper Canada DSB|2,095|2,240|2,407|4,558|11,300
B66117|Upper Grand DSB|2,670|2,626|2,684|4,154|12,134
B67148|Waterloo CDSB|1,572|1,492|1,678|2,242|6,984
B66176|Waterloo Region DSB|4,560|4,671|4,845|7,263|21,339
B67130|Wellington CDSB|587|548|635|835|2,605
B67024|Windsor-Essex CDSB|1,847|1,933|2,038|2,613|8,431
B67075|York CDSB|4,399|4,589|4,502|4,950|18,440
B66095|York Region DSB|8,565|9,002|9,510|12,601|39,678
