Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|765|725|735|1040|3260
B67202|Algonquin and Lakeshore CDSB|825|810|1045|1120|3800
B66010|Avon Maitland DSB|1145|1195|1350|1820|5515
B66001|Bluewater DSB|1000|985|1025|1515|4525
B67164|Brant Haldimand Norfolk CDSB|910|835|820|1055|3625
B67008|Bruce-Grey CDSB|400|380|360|510|1650
B67172|CDSB of Eastern Ontario|905|1025|905|1070|3905
B66303|CS Viamonde|580|545|460|500|2080
B67318|CS catholique MonAvenir|910|845|760|815|3330
B28118|CS public du Grand Nord de l'Ontario|170|145|135|190|640
B28100|CSD du Nord-Est de l'Ontario|85|95|75|160|415
B29114|CSDC Franco-Nord|195|165|220|235|815
B67326|CSDC de l'Est ontarien|670|650|625|690|2635
B29130|CSDC des Aurores boréales|35|35|25|30|130
B29106|CSDC des Grandes Rivières|375|390|420|465|1650
B67334|CSDC du Centre-Est de l'Ontario|1595|1410|1390|1305|5700
B29122|CSDC du Nouvel-Ontario|440|445|395|410|1695
B67300|Conseil scolaire catholique Providence|525|485|460|480|1950
B66311|CÉP de l'Est de l'Ontario|955|895|1065|970|3885
B66150|DSB Niagara|2855|2845|2730|3720|12150
B28002|DSB Ontario North East|560|575|520|805|2460
B67083|Dufferin-Peel CDSB|7670|7470|7540|8730|31405
B67105|Durham CDSB|1605|1640|1525|1705|6475
B66060|Durham DSB|5085|5165|5050|6015|21315
B66168|Grand Erie DSB|1775|1910|1855|2970|8515
B66028|Greater Essex County DSB|2885|2760|2655|3520|11820
B67113|Halton CDSB|3300|3185|2905|3410|12800
B66133|Halton DSB|4525|4590|4580|5980|19675
B67121|Hamilton-Wentworth CDSB|2450|2395|2405|3640|10890
B66141|Hamilton-Wentworth DSB|3165|3290|3160|4530|14145
B66222|Hastings & Prince Edward DSB|1145|1110|1190|1265|4710
B67016|Huron Perth CDSB|345|320|290|425|1375
B29025|Huron-Superior CDSB|280|245|210|345|1080
B15148|James Bay Lowlands SSB|45|30|30|55|165
B66079|Kawartha Pine Ridge DSB|2210|2145|2195|3040|9595
B28045|Keewatin-Patricia DSB|400|445|435|695|1975
B29050|Kenora CDSB|100|80|100|120|395
B28061|Lakehead DSB|600|655|610|785|2650
B66036|Lambton Kent DSB|1665|1595|1660|2450|7365
B66206|Limestone DSB|1360|1405|1460|2325|6550
B67032|London District Catholic School Board|1640|1640|1630|2070|6980
B28037|Near North DSB|745|745|765|990|3245
B67156|Niagara CDSB|1550|1560|1585|2120|6810
B29017|Nipissing-Parry Sound CDSB|205|210|195|225|830
B29009|Northeastern CDSB|95|100|90|145|430
B67180|Ottawa CDSB|3245|3480|3285|3925|13930
B66184|Ottawa-Carleton DSB|5430|5695|5690|8370|25180
B66125|Peel DSB|10060|10015|9780|12640|42490
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1160|1165|1095|1290|4710
B28029|Rainbow DSB|980|985|945|1625|4535
B28053|Rainy River DSB|240|210|220|255|920
B67199|Renfrew County CDSB|275|265|275|315|1130
B66214|Renfrew County DSB|705|705|705|1065|3175
B66109|Simcoe County DSB|3690|3820|3595|4595|15695
B67091|Simcoe Muskoka CDSB|1720|1730|1680|1845|6970
B67040|St Clair CDSB|630|665|590|710|2595
B29033|Sudbury CDSB|405|415|455|540|1815
B28070|Superior-Greenstone DSB|170|160|155|190|675
B66044|Thames Valley DSB|5460|5385|5325|7720|23890
B29068|Thunder Bay CDSB|510|535|540|610|2195
B67059|Toronto CDSB|6585|6785|6910|8920|29200
B66052|Toronto DSB|16345|16460|16935|23170|72910
B66087|Trillium Lakelands DSB|1320|1320|1245|1800|5685
B66192|Upper Canada DSB|1940|2010|2015|3215|9175
B66117|Upper Grand DSB|2575|2640|2555|3740|11515
B67148|Waterloo CDSB|1650|1650|1650|2000|6955
B66176|Waterloo Region DSB|4725|4665|4480|6440|20310
B67130|Wellington CDSB|520|545|560|790|2420
B67024|Windsor-Essex CDSB|1745|1765|1885|1960|7355
B67075|York CDSB|4325|4260|4560|4890|18035
B66095|York Region DSB|9670|9760|10005|11550|40985
N/A|Provincial Total|146805|147265|146775|190610|631455
