Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|905|850|770|1000|3525
B67202|Algonquin and Lakeshore CDSB|860|885|990|1200|3935
B66010|Avon Maitland DSB|1165|1105|1160|1465|4895
B66001|Bluewater DSB|1140|1085|1105|1395|4725
B67164|Brant Haldimand Norfolk CDSB|950|975|890|1130|3945
B67008|Bruce-Grey CDSB|405|340|390|565|1700
B67172|CDSB of Eastern Ontario|985|965|985|1040|3970
B66303|CS Viamonde|680|645|565|565|2455
B67318|CS catholique MonAvenir|1090|985|1010|870|3955
B28118|CS public du Grand Nord de l'Ontario|190|180|145|200|710
B28100|CS public du Nord-Est de l'Ontario|100|95|85|100|380
B29114|CSDC Franco-Nord|195|195|170|205|765
B67326|CSDC de l'Est ontarien|750|670|635|675|2735
B29130|CSDC des Aurores boréales|35|40|35|25|135
B29106|CSDC des Grandes Rivières|400|395|360|460|1620
B67334|CSDC du Centre-Est de l'Ontario|1755|1685|1570|1590|6600
B29122|CSDC du Nouvel-Ontario|405|405|380|420|1610
B67300|Conseil scolaire catholique Providence|480|485|520|535|2020
B66311|CÉP de l'Est de l'Ontario|1120|1110|1100|1035|4365
B66150|DSB Niagara|3050|2955|2805|3730|12540
B28002|DSB Ontario North East|615|605|570|765|2560
B67083|Dufferin-Peel CDSB|7180|7325|7355|8365|30225
B67105|Durham CDSB|1685|1510|1620|1690|6505
B66060|Durham DSB|5460|5425|5305|5895|22090
B66168|Grand Erie DSB|1815|1795|1820|2730|8160
B66028|Greater Essex County DSB|2960|2640|2775|3285|11665
B67113|Halton CDSB|3270|3170|3260|3715|13410
B66133|Halton DSB|5185|4975|4740|5825|20725
B67121|Hamilton-Wentworth CDSB|2415|2420|2570|3510|10910
B66141|Hamilton-Wentworth DSB|3435|3280|3170|4410|14290
B66222|Hastings & Prince Edward DSB|1180|1120|1090|1280|4675
B67016|Huron Perth CDSB|325|370|320|420|1435
B29025|Huron-Superior CDSB|255|170|190|245|860
B15148|James Bay Lowlands SSB|45|55|45|65|210
B66079|Kawartha Pine Ridge DSB|2475|2340|2265|2840|9920
B28045|Keewatin-Patricia DSB|445|410|455|590|1895
B29050|Kenora CDSB|105|90|80|90|370
B28061|Lakehead DSB|610|580|660|760|2610
B66036|Lambton Kent DSB|1705|1655|1660|2195|7215
B66206|Limestone DSB|1525|1450|1410|2125|6515
B67032|London District Catholic School Board|2035|1925|1890|2160|8015
B28037|Near North DSB|720|715|755|960|3150
B67156|Niagara CDSB|1450|1505|1585|1950|6495
B29017|Nipissing-Parry Sound CDSB|250|205|230|245|930
B29009|Northeastern CDSB|75|85|75|110|345
B67180|Ottawa CSB|3460|3615|3585|4215|14870
B66184|Ottawa-Carleton DSB|5440|5615|5625|8140|24820
B66125|Peel DSB|10025|10275|10245|12055|42600
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1075|1160|1130|1225|4590
B28029|Rainbow DSB|1005|1030|1015|1515|4565
B28053|Rainy River DSB|215|225|220|265|925
B67199|Renfrew County CDSB|305|270|270|325|1165
B66214|Renfrew County DSB|695|710|655|970|3035
B66109|Simcoe County DSB|4175|3980|3890|4575|16620
B67091|Simcoe Muskoka CDSB|1590|1685|1700|1810|6785
B67040|St Clair CDSB|585|630|615|735|2570
B29033|Sudbury CDSB|520|470|470|485|1945
B28070|Superior-Greenstone DSB|170|160|155|185|675
B66044|Thames Valley DSB|5780|5735|5465|7705|24685
B29068|Thunder Bay CDSB|540|500|520|565|2130
B67059|Toronto CDSB|6415|6285|6425|7855|26975
B66052|Toronto DSB|16625|16400|16705|21230|70960
B66087|Trillium Lakelands DSB|1390|1320|1375|1785|5875
B66192|Upper Canada DSB|2095|2080|1995|2855|9025
B66117|Upper Grand DSB|2615|2765|2640|3435|11460
B67148|Waterloo CDSB|1760|1825|1800|2175|7560
B66176|Waterloo Region DSB|4975|4865|4770|6125|20740
B67130|Wellington CDSB|565|540|550|725|2380
B67024|Windsor-Essex CDSB|1785|1855|1840|2360|7845
B67075|York CDSB|4620|4660|4540|4595|18415
B66095|York Region DSB|10150|9685|9820|11505|41160
 |Provincial Total|152450|150215|149595|183870|636130
