Board Number|Board Name|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment|Total Enrolment
B28010|Algoma DSB|875|860|900|1085|3720
B66010|Avon Maitland DSB|1160|1240|1255|1405|5060
B66001|Bluewater DSB|1285|1210|1230|1455|5180
B66303|CS Viamonde|725|645|630|590|2595
B28118|CS public du Grand Nord de l'Ontario|160|165|165|195|685
B28100|CS public du Nord-Est de l'Ontario|95|85|90|110|380
B66311|CÉP de l'Est de l'Ontario|1220|1120|1175|1605|5120
B66150|DSB Niagara|3085|3380|3180|3900|13545
B28002|DSB Ontario North East|690|650|655|855|2850
B66060|Durham DSB|5800|5925|5690|6535|23955
B66168|Grand Erie DSB|1935|2020|2060|2685|8700
B66028|Greater Essex County DSB|2815|2670|2695|3450|11625
B66133|Halton DSB|4445|4985|5245|6455|21135
B66141|Hamilton-Wentworth DSB|3205|3415|3505|4600|14735
B66222|Hastings & Prince Edward DSB|1170|1165|1200|1220|4755
B15148|James Bay Lowlands SSB|40|40|40|65|185
B66079|Kawartha Pine Ridge DSB|2285|2430|2455|3090|10265
B28045|Keewatin-Patricia DSB|435|475|455|585|1950
B28061|Lakehead DSB|645|695|665|750|2755
B66036|Lambton Kent DSB|1605|1685|1805|2265|7360
B66206|Limestone DSB|1535|1580|1620|2200|6930
B28037|Near North DSB|715|725|755|900|3100
B66184|Ottawa-Carleton DSB|5715|5995|6285|8735|26730
B66125|Peel DSB|9325|9580|10545|12460|41905
B28029|Rainbow DSB|1080|1145|1165|1650|5040
B28053|Rainy River DSB|235|215|200|255|910
B66214|Renfrew County DSB|765|735|730|1025|3255
B66109|Simcoe County DSB|4075|4260|4160|4945|17440
B28070|Superior-Greenstone DSB|190|175|185|185|735
B66044|Thames Valley DSB|5635|5835|5855|7985|25315
B66052|Toronto DSB|16460|17080|17895|23530|74960
B66087|Trillium Lakelands DSB|1450|1435|1435|1735|6050
B66192|Upper Canada DSB|2115|2215|2220|2710|9255
B66117|Upper Grand DSB|2670|2775|2800|3270|11515
B66176|Waterloo Region DSB|4800|4935|5025|6275|21040
B66095|York Region DSB|9925|10620|10880|12855|44280
B67202|Algonquin and Lakeshore CDSB|945|905|1145|1240|4235
B67164|Brant Haldimand Norfolk CDSB|1105|1045|960|1275|4385
B67008|Bruce-Grey CDSB|420|405|385|595|1805
B67172|CDSB of Eastern Ontario|1000|1020|1050|1030|4105
B67318|CS catholique MonAvenir|1090|1025|1080|1045|4245
B29114|CSDC Franco-Nord|230|200|200|210|840
B67326|CSDC de l'Est ontarien|780|770|720|755|3030
B29130|CSDC des Aurores boréales|40|35|30|35|140
B29106|CSDC des Grandes Rivières|365|405|365|470|1600
B67334|CSDC du Centre-Est de l'Ontario|1930|1885|1820|1800|7440
B29122|CSDC du Nouvel-Ontario|365|350|350|365|1430
B67300|Conseil scolaire catholique Providence|435|450|445|480|1810
B67083|Dufferin-Peel CDSB|7385|7385|7445|7980|30195
B67105|Durham CDSB|1860|1845|1700|1785|7190
B67113|Halton CDSB|3785|3640|3415|3830|14665
B67121|Hamilton-Wentworth CDSB|2715|2625|2580|3510|11430
B67016|Huron Perth CDSB|310|290|295|390|1280
B29025|Huron-Superior CDSB|305|230|160|245|940
B29050|Kenora CDSB|90|75|105|95|365
B67032|London District Catholic School Board|2430|2395|2365|2600|9785
B67156|Niagara CDSB|1740|1685|1755|1985|7165
B29017|Nipissing-Parry Sound CDSB|245|335|280|300|1160
B29009|Northeastern CDSB|60|105|100|110|370
B67180|Ottawa CSB|4260|4150|3955|4335|16700
B67067|Peterborough Victoria Northumberland and Clarington CDSB|1405|1220|1205|1200|5030
B67199|Renfrew County CDSB|295|275|290|345|1205
B67091|Simcoe Muskoka CDSB|2045|1980|1860|1795|7680
B67040|St Clair CDSB|765|720|600|730|2815
B29033|Sudbury CDSB|540|535|525|585|2185
B29068|Thunder Bay CDSB|505|495|480|595|2075
B67059|Toronto CDSB|6815|6735|6535|8135|28215
B67148|Waterloo CDSB|2030|2010|1915|2360|8310
B67130|Wellington CDSB|555|605|610|730|2500
B67024|Windsor-Essex CDSB|2110|2045|2050|3005|9210
B67075|York CDSB|4805|4845|4735|4875|19265
N/A|Provincial Total|156120|158880|160350|194445|669795
