"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2013-2014","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",187,195,199,171,215,204,232,212,181,242,2038
"2013-2014","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",164,173,184,183,175,153,189,182,231,229,1863
"2013-2014","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",141,133,131,148,143,127,108,123,119,155,1328
"2013-2014","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2545,2484,2337,2392,2428,2484,2555,2503,2887,2838,25453
"2013-2014","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4259,4785,4862,4849,4777,5067,5046,4916,4652,4751,47964
"2013-2014","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9828,10655,11374,11602,11378,11271,11189,10737,11221,11237,110492
"2013-2014","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",20,22,29,17,28,21,23,20,21,23,224
"2013-2014","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",914,977,943,988,954,943,948,923,1041,931,9562
"2013-2014","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",812,873,855,814,813,821,833,844,939,925,8529
"2013-2014","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",149,173,181,166,180,180,174,180,196,197,1776
"2013-2014","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",369,370,405,332,347,352,361,349,385,361,3631
"2013-2014","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",535,593,583,551,529,580,607,594,617,599,5788
"2013-2014","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3343,3368,3444,3386,3415,3479,3589,3508,3716,3573,34821
"2013-2014","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1251,1333,1302,1372,1318,1354,1357,1353,1366,1355,13361
"2013-2014","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",598,649,558,625,628,620,644,634,640,643,6239
"2013-2014","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",400,385,416,399,386,384,384,431,465,499,4149
"2013-2014","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",71,71,72,61,76,75,91,80,80,70,747
"2013-2014","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",78,87,80,81,81,67,76,77,87,91,805
"2013-2014","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4791,5185,5291,5157,4911,5032,4947,5032,5231,5058,50635
"2013-2014","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",556,555,553,531,546,533,567,589,597,603,5630
"2013-2014","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5615,5760,6039,5964,6070,5947,6117,6011,6524,6437,60484
"2013-2014","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17653,18589,18844,17973,17339,16982,16599,16269,15969,16677,172894
"2013-2014","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",983,1096,1134,1005,1073,1039,1090,1019,1159,1176,10774
"2013-2014","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1672,1747,1814,1808,1735,1805,1859,1714,1811,1917,17882
"2013-2014","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2144,2292,2203,2287,2136,2159,2183,2141,2198,2225,21968
"2013-2014","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1353,1399,1405,1507,1441,1518,1509,1519,1515,1486,14652
"2013-2014","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3982,4292,4537,4286,4272,4201,4148,3964,4273,4148,42103
"2013-2014","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",466,512,514,529,548,580,564,589,601,624,5527
"2013-2014","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1064,1160,1200,1331,1389,1399,1463,1532,1586,1639,13763
"2013-2014","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3163,3353,3773,3772,3808,3908,3760,3912,4002,3868,37319
"2013-2014","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6912,7287,8489,8258,8195,8583,8367,8648,8687,8801,82227
"2014-2015","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",580,647,633,656,644,648,611,637,639,713,6408
"2014-2015","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",770,794,827,855,795,746,758,731,741,736,7753
"2014-2015","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",930,1023,1012,1025,1035,1011,1020,1019,1062,1087,10224
"2014-2015","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1110,1104,1201,1144,1131,1125,1142,1089,1101,1255,11402
"2014-2015","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",563,605,610,629,645,619,663,636,674,689,6333
"2014-2015","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",246,288,254,272,221,266,226,250,221,256,2500
"2014-2015","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",759,806,823,842,806,844,833,886,960,1070,8629
"2014-2015","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1051,1143,1102,1042,965,878,826,731,601,587,8926
"2014-2015","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",165,183,194,185,180,153,177,152,147,141,1677
"2014-2015","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",155,219,179,197,146,165,126,129,102,97,1515
"2014-2015","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",1372,1405,1451,1342,1316,1293,1151,1116,1003,984,12433
"2014-2015","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",220,198,201,188,206,167,190,179,230,220,1999
"2014-2015","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",744,765,770,773,715,730,742,679,653,694,7265
"2014-2015","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",64,67,73,62,78,62,57,68,65,57,653
"2014-2015","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",439,465,426,390,438,381,391,417,423,430,4200
"2014-2015","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1749,1783,1915,1811,1800,1682,1632,1563,1387,1308,16630
"2014-2015","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",557,551,527,531,557,492,510,498,453,476,5152
"2014-2015","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",790,835,870,828,840,827,771,692,626,572,7651
"2014-2015","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1137,1158,1134,1059,1037,958,901,852,929,800,9965
"2014-2015","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2241,2467,2400,2411,2346,2356,2473,2478,2467,2705,24344
"2014-2015","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",416,444,459,432,423,411,466,419,416,427,4313
"2014-2015","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4297,4580,4902,4958,4916,5068,5225,5083,5279,5568,49876
"2014-2015","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1335,1459,1428,1479,1406,1483,1466,1489,1487,1568,14600
"2014-2015","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4374,4544,4600,4770,4772,4803,4786,4902,4789,5057,47397
"2014-2015","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1632,1736,1803,1722,1750,1750,1713,1818,1739,1882,17545
"2014-2015","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2157,2370,2451,2433,2334,2446,2379,2444,2401,2508,23923
"2014-2015","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2081,2193,2211,2154,2132,2138,2181,2239,2117,2246,21692
"2014-2015","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3534,4040,4452,4705,4584,4470,4651,4485,4365,4232,43518
"2014-2015","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1725,1840,1904,1839,1805,1917,1875,1897,1874,2000,18676
"2014-2015","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3110,3530,3481,3520,3431,3345,3427,3522,3358,3641,34365
"2014-2015","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",934,984,1034,1025,1007,988,1022,994,1051,1090,10129
"2014-2015","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",306,310,317,323,291,309,313,312,286,312,3079
"2014-2015","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",393,345,356,333,333,355,359,365,330,382,3551
"2014-2015","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2012,2181,2244,2163,2108,2108,2205,2127,2239,2302,21689
"2014-2015","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",258,286,288,271,242,270,276,276,274,286,2727
"2014-2015","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",99,120,126,128,135,117,132,102,125,144,1228
"2014-2015","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",618,640,624,605,571,623,564,602,577,620,6044
"2014-2015","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1322,1435,1473,1490,1470,1445,1538,1450,1462,1597,14682
"2014-2015","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1244,1333,1351,1294,1304,1309,1270,1276,1395,1353,13129
"2014-2015","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1113,1086,1187,1197,1225,1189,1203,1267,1229,1298,11994
"2014-2015","B15199","Moose Factory Island DSAB","Public School Board",38,41,39,38,34,36,27,30,12,12,307
"2014-2015","B15202","Moosonee DSAB","Public School Board",23,29,33,25,31,24,36,17,14,18,250
"2014-2015","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",631,628,700,633,653,648,678,634,693,729,6627
"2014-2015","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1253,1395,1523,1478,1533,1510,1520,1541,1506,1594,14853
"2014-2015","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",161,199,207,211,177,207,206,231,197,188,1984
"2014-2015","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",137,164,181,190,185,175,149,184,185,207,1757
"2014-2015","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",143,151,130,137,141,143,116,106,119,114,1300
"2014-2015","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2493,2702,2567,2490,2494,2500,2579,2614,2826,2973,26238
"2014-2015","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4374,4653,4892,4845,4843,4782,5047,5060,4699,4795,47990
"2014-2015","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10144,10716,11540,11588,11743,11518,11394,11241,10837,11413,112134
"2014-2015","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",16,21,22,29,20,26,19,23,21,22,219
"2014-2015","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",985,962,984,975,1022,982,982,982,965,1042,9881
"2014-2015","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",823,854,893,833,815,834,835,845,816,985,8533
"2014-2015","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",166,154,172,177,166,183,182,182,184,203,1769
"2014-2015","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",350,386,374,389,325,342,350,352,345,384,3597
"2014-2015","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",614,571,585,590,560,528,592,623,616,621,5900
"2014-2015","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3196,3545,3456,3534,3482,3498,3579,3617,3578,3755,35240
"2014-2015","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1216,1354,1358,1344,1390,1356,1325,1372,1360,1384,13459
"2014-2015","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",601,613,664,570,628,630,622,645,644,637,6254
"2014-2015","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",388,409,390,417,409,380,377,390,456,463,4079
"2014-2015","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",66,76,72,77,64,81,77,84,81,80,758
"2014-2015","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",85,78,86,79,89,71,70,74,75,85,792
"2014-2015","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4598,5209,5266,5344,5169,4955,5053,4974,5105,5298,50971
"2014-2015","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",526,561,563,536,527,559,536,576,579,595,5558
"2014-2015","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5578,5852,5962,6072,5988,6041,5924,6206,6027,6572,60222
"2014-2015","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17755,18316,18481,18340,17590,17056,16619,16117,15766,15987,172027
"2014-2015","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1036,1024,1101,1109,1004,1078,1043,1097,1037,1173,10702
"2014-2015","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1631,1777,1754,1818,1832,1739,1790,1870,1694,1805,17710
"2014-2015","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2211,2263,2322,2184,2306,2163,2165,2168,2168,2222,22172
"2014-2015","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1227,1421,1426,1412,1520,1472,1515,1498,1501,1492,14484
"2014-2015","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3971,4331,4337,4512,4279,4259,4206,4168,4015,4334,42412
"2014-2015","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",440,491,529,532,540,559,597,572,602,599,5461
"2014-2015","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1024,1142,1185,1229,1357,1390,1389,1475,1536,1604,13331
"2014-2015","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3079,3412,3665,3837,3782,3846,3942,3782,3914,4007,37266
"2014-2015","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6866,7577,8318,8684,8455,8420,8746,8554,8810,8869,83299
"2015-2016","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",614,570,648,631,660,641,646,618,665,695,6388
"2015-2016","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",705,812,813,825,839,787,752,756,700,735,7724
"2015-2016","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",886,967,1016,1004,1023,1015,1007,1010,1012,1071,10011
"2015-2016","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1079,1194,1108,1186,1147,1109,1134,1132,1084,1107,11280
"2015-2016","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",561,594,609,635,627,655,641,666,640,677,6305
"2015-2016","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",286,264,303,262,279,224,277,239,252,225,2611
"2015-2016","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",712,821,808,836,855,840,848,842,995,979,8536
"2015-2016","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1048,1087,1124,1084,1013,930,861,816,626,586,9175
"2015-2016","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",196,173,188,185,176,188,154,172,168,143,1743
"2015-2016","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",169,169,218,190,193,149,155,128,121,101,1593
"2015-2016","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",1348,1400,1429,1467,1329,1319,1275,1111,1136,994,12808
"2015-2016","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",209,214,197,194,193,201,164,188,177,223,1960
"2015-2016","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",747,753,791,762,760,718,733,714,674,655,7307
"2015-2016","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",61,65,70,77,62,77,59,54,67,62,654
"2015-2016","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",428,426,454,419,388,432,392,391,410,418,4158
"2015-2016","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1694,1794,1852,1903,1798,1803,1681,1672,1391,1387,16975
"2015-2016","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",494,554,541,529,523,543,478,501,471,454,5088
"2015-2016","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",842,800,823,843,821,827,810,760,704,619,7849
"2015-2016","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1078,1190,1178,1139,1078,1056,955,886,900,952,10412
"2015-2016","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2207,2289,2556,2417,2428,2383,2404,2523,2534,2474,24215
"2015-2016","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",410,426,438,451,387,418,419,442,406,403,4200
"2015-2016","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4373,4484,4738,5005,5001,5012,5157,5301,5157,5326,49554
"2015-2016","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1239,1400,1501,1453,1494,1420,1500,1474,1477,1487,14445
"2015-2016","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4403,4586,4824,4700,4831,4900,4882,4859,5003,4844,47832
"2015-2016","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1627,1759,1756,1807,1765,1753,1757,1735,1821,1760,17540
"2015-2016","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2055,2273,2351,2392,2438,2326,2431,2366,2424,2398,23454
"2015-2016","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2062,2206,2243,2270,2205,2166,2179,2217,2256,2145,21949
"2015-2016","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3611,3767,4389,4543,4779,4657,4556,4728,4597,4424,44051
"2015-2016","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1685,1812,1859,1927,1854,1809,1919,1885,1891,1880,18521
"2015-2016","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3178,3335,3508,3488,3477,3474,3361,3425,3514,3416,34176
"2015-2016","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",918,1012,975,1064,1028,1019,1003,1033,1022,1056,10130
"2015-2016","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",297,321,306,321,319,297,305,313,307,276,3062
"2015-2016","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",373,419,351,359,337,339,362,356,350,315,3561
"2015-2016","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2052,2171,2224,2250,2192,2127,2127,2207,2148,2270,21768
"2015-2016","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",264,281,281,283,278,254,281,290,301,282,2795
"2015-2016","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",108,91,115,122,122,131,115,126,99,117,1146
"2015-2016","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",556,631,634,613,583,567,615,582,597,574,5952
"2015-2016","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1353,1363,1437,1462,1476,1464,1433,1542,1440,1440,14410
"2015-2016","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1239,1287,1337,1332,1312,1281,1306,1275,1310,1386,13065
"2015-2016","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1135,1163,1149,1214,1235,1237,1228,1202,1290,1233,12086
"2015-2016","B15199","Moose Factory Island DSAB","Public School Board",29,42,47,35,36,36,38,29,NA,10,NA
"2015-2016","B15202","Moosonee DSAB","Public School Board",27,24,33,28,20,26,25,33,16,14,246
"2015-2016","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",641,667,638,699,650,659,662,672,671,716,6675
"2015-2016","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1317,1324,1415,1536,1511,1550,1521,1531,1562,1528,14795
"2015-2016","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",160,164,200,191,200,176,201,201,211,186,1890
"2015-2016","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",156,136,176,182,202,191,171,163,206,178,1761
"2015-2016","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",125,160,151,134,130,138,140,106,91,114,1289
"2015-2016","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2546,2694,2778,2680,2606,2556,2566,2660,3028,2919,27033
"2015-2016","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4335,4630,4705,4849,4799,4843,4758,5037,4728,4835,47519
"2015-2016","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10163,10550,10974,11439,11516,11690,11495,11337,11261,10979,111404
"2015-2016","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",25,18,25,27,28,23,27,22,21,20,236
"2015-2016","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",993,1020,997,1021,993,1029,990,1001,1009,955,10008
"2015-2016","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",785,837,860,910,846,838,841,844,828,837,8426
"2015-2016","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",147,165,168,173,183,171,177,187,182,190,1743
"2015-2016","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",350,362,388,371,375,318,330,336,351,360,3541
"2015-2016","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",562,636,567,587,616,568,540,607,620,594,5897
"2015-2016","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3269,3413,3614,3518,3592,3494,3549,3605,3644,3602,35300
"2015-2016","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1222,1302,1375,1407,1392,1441,1391,1370,1400,1391,13691
"2015-2016","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",607,626,616,665,561,626,629,629,639,641,6239
"2015-2016","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",385,376,432,389,416,412,369,371,410,459,4019
"2015-2016","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",53,70,72,74,78,61,78,85,82,81,734
"2015-2016","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",73,87,73,85,79,91,65,66,75,72,766
"2015-2016","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4792,4883,5234,5243,5358,5207,4950,5070,5007,5143,50887
"2015-2016","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",570,535,564,571,542,521,570,534,564,587,5558
"2015-2016","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5506,5790,6025,6050,6165,6082,6129,6077,6298,6186,60308
"2015-2016","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17099,18090,17850,17943,17733,17115,16501,16179,15565,15780,169855
"2015-2016","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1016,1076,1049,1116,1109,1015,1098,1058,1093,1044,10674
"2015-2016","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1595,1680,1787,1782,1845,1836,1759,1797,1812,1702,17595
"2015-2016","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2190,2313,2290,2344,2229,2333,2201,2186,2225,2202,22513
"2015-2016","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1329,1341,1486,1457,1465,1571,1515,1533,1521,1512,14730
"2015-2016","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3869,4298,4349,4324,4471,4276,4252,4258,4186,4073,42356
"2015-2016","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",462,480,503,546,539,543,583,604,598,608,5466
"2015-2016","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1094,1114,1207,1230,1253,1379,1420,1406,1508,1570,13181
"2015-2016","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3032,3246,3601,3723,3858,3759,3864,3992,3783,3930,36788
"2015-2016","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6801,7366,8342,8477,8869,8674,8620,8880,8725,8996,83750
"2016-2017","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",596,619,569,627,635,650,651,639,628,697,6311
"2016-2017","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",779,751,814,806,826,830,791,745,738,704,7784
"2016-2017","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",880,956,977,1037,1026,1028,1059,1023,1048,1040,10074
"2016-2017","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1116,1142,1204,1141,1198,1173,1118,1148,1161,1097,11498
"2016-2017","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",608,601,631,617,658,647,662,654,675,658,6411
"2016-2017","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",257,307,278,313,280,281,238,285,247,253,2739
"2016-2017","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",782,756,875,822,847,872,837,861,978,1024,8654
"2016-2017","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1054,1099,1123,1122,1058,995,923,855,699,631,9559
"2016-2017","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1378,1437,1429,1433,1474,1349,1299,1264,1114,1128,13305
"2016-2017","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",197,199,179,180,187,170,196,152,191,170,1821
"2016-2017","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",194,183,170,209,193,195,155,154,100,120,1673
"2016-2017","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",200,203,214,197,197,192,198,160,203,171,1935
"2016-2017","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",722,755,765,790,762,762,739,727,682,657,7361
"2016-2017","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",70,68,70,68,73,64,69,56,64,69,671
"2016-2017","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",410,434,416,444,408,389,424,393,386,400,4104
"2016-2017","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1772,1762,1862,1858,1914,1817,1808,1723,1604,1432,17552
"2016-2017","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",518,493,538,539,518,522,526,481,468,481,5084
"2016-2017","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",860,862,803,820,820,806,825,799,770,698,8063
"2016-2017","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1126,1156,1229,1211,1190,1085,1078,976,928,893,10872
"2016-2017","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2251,2328,2380,2626,2499,2516,2473,2481,2596,2596,24746
"2016-2017","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",397,411,435,441,425,403,429,391,431,402,4165
"2016-2017","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4346,4556,4654,4837,5088,5071,5074,5226,5355,5193,49400
