"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2011-2012","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",181,176,168,171,196,189,212,214,209,257,1973
"2011-2012","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",140,149,152,133,117,128,131,158,141,165,1414
"2011-2012","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",1978,2130,2224,2276,2362,2356,2449,2473,2857,3015,24120
"2011-2012","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4355,4705,4792,5096,5045,4830,4884,4805,4661,4991,48164
"2011-2012","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9821,10390,11210,11113,10959,10668,11173,10941,11143,11270,108688
"2011-2012","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",29,17,24,22,26,21,23,22,21,21,226
"2011-2012","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",907,915,903,892,903,882,1020,928,1001,1061,9412
"2011-2012","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",808,814,806,807,816,842,944,937,949,975,8698
"2011-2012","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",153,160,175,180,163,179,180,177,184,180,1731
"2011-2012","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",346,302,344,331,365,341,393,359,363,395,3539
"2011-2012","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",563,566,550,590,597,611,617,589,637,622,5942
"2011-2012","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3155,3269,3292,3354,3412,3355,3614,3440,3804,3794,34489
"2011-2012","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1137,1269,1256,1298,1368,1344,1320,1333,1401,1535,13261
"2011-2012","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",536,619,618,636,649,639,655,653,740,745,6490
"2011-2012","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",373,371,368,370,369,420,410,447,496,525,4149
"2011-2012","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",67,63,73,78,67,77,76,59,73,95,728
"2011-2012","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",89,79,76,67,83,80,76,103,107,90,850
"2011-2012","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4797,4971,4884,4961,4894,4994,5141,5005,5321,5393,50361
"2011-2012","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",540,527,539,533,562,595,608,603,605,638,5750
"2011-2012","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5415,5570,5905,5805,6034,5904,6420,6327,6722,6707,60809
"2011-2012","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17883,18271,18030,17532,17087,16743,16783,16963,16270,17049,172611
"2011-2012","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1077,992,1066,1031,1080,1036,1157,1179,1234,1217,11069
"2011-2012","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1739,1815,1732,1795,1831,1714,1810,1889,1918,1935,18178
"2011-2012","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2039,2288,2098,2155,2159,2138,2166,2192,2306,2292,21833
"2011-2012","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1301,1480,1430,1499,1486,1545,1527,1523,1600,1620,15011
"2011-2012","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4095,4221,4252,4174,4138,3913,4188,4024,4150,4293,41448
"2011-2012","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",467,500,546,555,563,582,607,617,678,651,5766
"2011-2012","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1140,1284,1375,1398,1454,1539,1618,1643,1698,1712,14861
"2011-2012","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3300,3487,3675,3803,3713,3875,3997,3872,3896,3965,37583
"2011-2012","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6700,6821,7806,8054,7942,8168,8183,8345,8389,8456,78864
"2012-2013","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",654,675,651,641,606,625,627,639,680,761,6559
"2012-2013","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",776,828,741,739,757,713,778,755,749,775,7611
