"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","308048","Lanor Junior Middle School","Public","Not applicable","Elementary","English","JK-8","450 Lanor Ave","Toronto, City of","Etobicoke","M8W2S1","390",43.60945,-79.545,25,100,10,10,10,20,91,95,68,93,77,51,NA,NA,NA,10,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","310255","Lawrence Heights Middle School","Public","Not applicable","Elementary","English","6-8","50 Highland Hill","Toronto, City of","North York","M6A2R1","110",43.72083,-79.4511,40,100,10,10,40,0,NA,NA,NA,59,59,14,NA,NA,NA,20,15,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","922056","Lawrence Park Collegiate Institute","Public","Not applicable","Secondary","English","9-12","125 Chatsworth Dr","Toronto, City of","Toronto","M4R1S1","1255",43.72222,-79.4104,14,99,5,4,15,3,NA,NA,NA,NA,NA,NA,NA,NA,96,7,1,88
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","922315","Leaside High School","Public","Not applicable","Secondary","English","9-12","200 Hanna Rd","Toronto, City of","East York","M4G3N8","1115",43.71107,-79.3729,22,100,4,4,16,2,NA,NA,NA,NA,NA,NA,NA,NA,95,7,3,79
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","310905","Ledbury Park Elementary and Middle School","Public","Not applicable","Elementary","English","JK-8","95 Falkirk St","Toronto, City of","North York","M5M4K1","485",43.72772,-79.427,20,95,10,10,10,5,72,83,70,93,95,51,NA,NA,NA,5,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","311553","Lescon Public School","Public","Not applicable","Elementary","English","JK-5","34 Lescon Rd","Toronto, City of","North York","M2J2G6","245",43.78079,-79.3577,45,100,25,30,10,0,59,46,27,NA,NA,NA,NA,NA,NA,10,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","311812","Leslieville Junior Public School","Public","Not applicable","Elementary","English","JK-6","254 Leslie St","Toronto, City of","Toronto","M4M3C9","250",43.66731,-79.3324,15,100,0,5,25,5,64,61,68,74,69,33,NA,NA,NA,10,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","922498","Lester B Pearson Collegiate Institute","Public","Not applicable","Secondary","English","9-12","150 Tapscott Rd","Toronto, City of","Scarborough","M1B2L2","1125",43.80349,-79.2257,53,100,14,14,16,0,NA,NA,NA,NA,NA,NA,NA,NA,84,10,12,47
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","130850","Lester B Pearson Elementary School","Public","Not applicable","Elementary","English","JK-8","7 Snowcrest Ave","Toronto, City of","Toronto","M2K2K5","330",43.79233,-79.3873,40,100,5,5,0,0,NA,NA,87,100,96,85,NA,NA,NA,20,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","312339","Lillian Public School","Public","Not applicable","Elementary","English","JK-5","1059 Lillian St","Toronto, City of","North York","M2M3G1","315",43.79781,-79.4104,60,100,40,45,5,0,71,54,60,NA,NA,NA,NA,NA,NA,20,0,NA
