"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","902344","Algoma Education Connection Secondary School","Public","Alternative","Secondary","English","9-12","550 Northern Ave","Sault Ste. Marie","Sault Ste Marie","P6B4J4","200",46.53477,-84.3077,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","019186","Anna McCrea Public School","Public","Not applicable","Elementary","English","JK-8","250 Mark St","Sault Ste. Marie","Sault Ste Marie","P6A3M7","180",46.50593,-84.2873,0,100,0,0,15,0,79,50,64,86,43,36,NA,NA,NA,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","067679","Arthur Henderson Public School","Public","Not applicable","Elementary","English","JK-8","2 Henderson Lane 2","Bruce Mines","Bruce Mines","P0R1C0","65",46.30183,-83.7802,0,100,0,0,0,0,80,73,53,NA,NA,NA,NA,NA,NA,30,20,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","043362","Ben R McMullin Public School","Public","Not applicable","Elementary","English","JK-8","24 Paradise Ave","Sault Ste. Marie","Sault Ste Marie","P6B5K2","175",46.52455,-84.298,5,100,0,5,15,0,62,31,38,50,42,25,NA,NA,NA,30,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","054542","Blind River Public School","Public","Not applicable","Elementary","English","JK-8","19 Hanes Ave","Blind River","Blind River","P0R1B0","150",46.18454,-82.9576,5,100,0,0,25,0,59,41,45,78,28,22,NA,NA,NA,25,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","490822","Boreal French Immersion Public School","Public","Not applicable","Elementary","English","1-8","232 Northern Ave","Sault Ste. Marie","Sault Ste Marie","P6B4H6","315",46.52447,-84.3107,0,100,0,0,5,0,NA,NA,64,90,86,71,NA,NA,NA,15,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","285552","Central Algoma Elementary School","Public","Not applicable","Elementary","English","JK-8","5 Margaret St","Johnson","Desbarats","P0R1E0","115",46.34875,-83.9253,5,100,0,0,20,0,75,42,67,80,70,50,NA,NA,NA,30,25,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","137967","Central Algoma Intermediate School","Public","Not applicable","Elementary","English","7-8","32 Kensington Road","Huron Shores","Desbarats","P0R1E0","170",46.34007,-83.9369,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","891347","Central Algoma Secondary School","Public","Not applicable","Secondary","English","9-12","32 Kensington Rd","Johnson","Desbarats","P0R1E0","330",46.33811,-83.9355,5,100,0,0,30,0,NA,NA,NA,NA,NA,NA,70,51,64,20,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","093548","Central Avenue Public School","Public","Not applicable","Elementary","English","JK-8","81 Central Ave","Elliot Lake","Elliot Lake","P5A2G4","275",46.3904,-82.6588,5,95,0,0,20,0,16,8,4,42,45,16,NA,NA,NA,30,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","900869","Chapleau High School","Public","Not applicable","Secondary","English","9-12","20 Teak St","Chapleau","Chapleau","P0M1K0","70",47.84273,-83.4083,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,46,0,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","101214","Chapleau Public School","Public","Not applicable","Elementary","English","JK-8","24 Pine St","Chapleau","Chapleau","P0M1K0","90",47.84496,-83.4033,0,90,0,0,10,0,33,58,25,NA,NA,NA,NA,NA,NA,10,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","161276","East View Public School","Public","Not applicable","Elementary","English","JK-8","75 Arizona Ave","Sault Ste. Marie","Sault Ste Marie","P6A4L9","305",46.51668,-84.28,0,100,5,5,15,0,60,52,44,70,60,18,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","165042","Echo Bay Central Public School","Public","Not applicable","Elementary","English","JK-8","290 Church St","Macdonald Meredith et al","Echo Bay","P0S1C0","195",46.48567,-84.0637,0,100,0,0,10,0,61,71,68,77,45,18,NA,NA,NA,10,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","908010","Elliot Lake Secondary School","Public","Not applicable","Secondary","English","9-12","303 Mississauga Ave","Elliot Lake","Elliot Lake","P5A1E8","290",46.37627,-82.6611,5,100,0,0,20,0,NA,NA,NA,NA,NA,NA,86,52,82,15,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","186783","Esten Park Public School","Public","Not applicable","Elementary","English","JK-8","115 Hergott Ave","Elliot Lake","Elliot Lake","P5A3B4","120",46.37191,-82.6198,5,95,0,0,5,0,62,75,69,87,80,67,NA,NA,NA,30,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","202614","Francis H Clergue Public School","Public","Not applicable","Elementary","English","JK-8","80 Weldon Ave","Sault Ste. Marie","Sault Ste Marie","P6B3C6","660",46.51862,-84.3096,2,100,0,1,6,0,NA,NA,62,95,91,77,NA,NA,NA,18,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","227331","Grand View Public School","Public","Not applicable","Elementary","English","JK-8","161 Denwood Dr","Sault Ste. Marie","Sault Ste Marie","P6A5R4","265",46.50955,-84.2659,0,100,0,0,20,0,82,64,55,84,73,46,NA,NA,NA,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","230561","Greenwood Public School","Public","Not applicable","Elementary","English","JK-8","8 Fourth Line W","Sault Ste. Marie","Sault Ste Marie","P6A5K8","210",46.56732,-84.3528,0,100,0,0,15,0,76,64,52,52,59,41,NA,NA,NA,15,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","237191","H M Robbins Public School","Public","Not applicable","Elementary","English","JK-8","83 East Balfour St","Sault Ste. Marie","Sault Ste Marie","P6C1X4","245",46.5328,-84.3895,0,100,0,0,20,0,71,71,50,66,62,22,NA,NA,NA,25,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","917370","Hornepayne High School","Public","Not applicable","Secondary","English","9-12","162 Fourth Avenue","Hornepayne","Hornepayne","P0M1Z0","50",49.21525,-84.7789,10,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,45,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","264750","Hornepayne Public School","Public","Not applicable","Elementary","English","JK-8","162 Fourth Ave","Hornepayne","Hornepayne","P0M1Z0","SP",49.2167,-84.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","278270","Isabel Fletcher Public School","Public","Not applicable","Elementary","English","JK-8","599 Third Line","Sault Ste. Marie","Sault Ste Marie","P6A6K4","175",46.55114,-84.3789,5,100,5,0,15,0,52,52,71,59,55,45,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","302350","Kiwedin Public School","Public","Not applicable","Elementary","English","JK-8","735 North St","Sault Ste. Marie","Sault Ste Marie","P6B2C4","160",46.54201,-84.3351,0,100,0,0,20,0,37,42,21,53,29,29,NA,NA,NA,25,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","920533","Korah Collegiate and Vocational School","Public","Not applicable","Secondary","English","9-12","636 Goulais Ave","Sault Ste. Marie","Sault Ste Marie","P6C5A7","755",46.54269,-84.3816,2,100,1,1,20,0,NA,NA,NA,NA,NA,NA,70,33,73,13,6,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","018309","Korah Intermediate School","Public","Not applicable","Elementary","English","7-8","636 Goulais Ave","Sault Ste. Marie","Sault Ste Marie","P6C5A7","140",46.54247,-84.3821,0,100,0,5,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","926086","Michipicoten High School","Public","Not applicable","Secondary","English","9-12","86 Magpie Rd","Michipicoten","Wawa","P0S1K0","100",47.99317,-84.7758,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,67,50,65,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","368490","Missarenda Consolidated Public School","Public","Not applicable","Elementary","English","JK-8",NA,NA,NA,NA,"SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","195200","Mountain View Public School","Public","Not applicable","Elementary","English","JK-8","Mahler Rd 1","Sault Ste. Marie","Goulais River","P0S1E0","175",46.77124,-84.3616,0,100,0,0,10,0,52,26,35,65,41,12,NA,NA,NA,20,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","891150","North Shore Adolescent Education School","Public","Not applicable","Secondary","English","9-12","303 Mississauga Ave","Elliot Lake","Elliot Lake","P5A1E8","SP",46.37987,-82.6565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","410870","Northern Heights Public School","Public","Not applicable","Elementary","English","JK-8","210 Grand Blvd","Sault Ste. Marie","Sault Ste Marie","P6B4S8","240",46.53072,-84.329,5,100,5,0,20,0,52,48,44,67,52,19,NA,NA,NA,35,15,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","434922","Parkland Public School","Public","Not applicable","Elementary","English","JK-8","54 Amber St","Sault Ste. Marie","Sault Ste Marie","P6A5G1","150",46.51456,-84.2582,0,100,0,0,25,0,44,56,44,65,52,17,NA,NA,NA,20,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","442054","Pinewood Public School","Public","Not applicable","Elementary","English","JK-8","3924 Queen St E","Sault Ste. Marie","Sault Ste Marie","P6A5K9","235",46.52417,-84.2477,5,100,0,0,10,0,76,80,64,81,84,66,NA,NA,NA,20,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","462616","Queen Elizabeth Public School","Public","Not applicable","Elementary","English","JK-8","139 Elizabeth St","Sault Ste. Marie","Sault Ste Marie","P6A3Z5","270",46.50658,-84.3041,0,100,0,0,20,0,63,63,56,78,78,43,NA,NA,NA,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","468339","R M Moore Public School","Public","Not applicable","Elementary","English","JK-8","1272 Base Line","Sault Ste. Marie","Sault Ste Marie","P6A6K4","255",46.52177,-84.4441,0,100,0,0,10,0,60,40,53,57,57,13,NA,NA,NA,10,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","485497","River View Public School","Public","Not applicable","Elementary","English","JK-8","51 Wireless Ave","Sault Ste. Marie","Sault Ste Marie","P6B1L4","185",46.51751,-84.299,10,100,0,0,20,0,58,63,47,71,53,29,NA,NA,NA,25,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","677523","Rockhaven School for Exceptional","Public","Not applicable","Elementary","English","JK-8","1459 Riverview Rd","Elliot Lake","Serpent River","P0P1V0","SP",46.20975,-82.5408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","515396","Sir James Dunn Public School","Public","Not applicable","Elementary","English","JK-8","36 McKinley Ave","Michipicoten","Wawa","P0S1K0","115",47.99693,-84.7728,0,100,0,0,20,0,21,21,14,65,41,12,NA,NA,NA,10,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","530603","St Joseph Island Central Public School","Public","Not applicable","Elementary","English","JK-8","1326 Richards St","St. Joseph","Richards Landing","P0R1J0","105",46.28922,-84.0347,0,100,0,5,10,0,94,76,76,79,71,7,NA,NA,NA,5,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","958050","Superior Heights Collegiate and Vocational School","Public","Not applicable","Secondary","English","9-12","750 north street","Sault Ste. Marie","Sault Ste. Marie","P6B2C5","800",46.50845,-84.2882,3,100,2,2,19,0,NA,NA,NA,NA,NA,NA,73,33,69,15,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","672610","Superior Heights Community Education","Public","Not applicable","Elementary","English","7-8","750 North Avenue","Sault Ste. Marie","Sault Ste Marie","P6B2C5","SP",46.53951,-84.3349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","106913","Superior Heights Intermediate School","Public","Not applicable","Elementary","English","7-8","750 North Street","Sault Ste. Marie","Sault Ste. Marie","P6B2C5","65",46.53951,-84.3349,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","548413","Tarentorus Public School","Public","Not applicable","Elementary","English","JK-8","96 Northwood St","Sault Ste. Marie","Sault Ste Marie","P6B4M4","265",46.54554,-84.3085,0,100,0,0,10,0,93,93,75,86,82,64,NA,NA,NA,10,5,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","551660","Thessalon Public School","Public","Not applicable","Elementary","English","JK-8","90 Stanley St","Thessalon","Thessalon","P0R1L0","170",46.2604,-83.559,0,100,0,0,15,0,44,44,50,83,66,45,NA,NA,NA,15,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","895270","W C Eaket Secondary School","Public","Not applicable","Secondary","English","9-12","147 Woodward Ave","Blind River","Blind River","P0R1B0","135",46.18877,-82.9467,0,100,0,0,35,0,NA,NA,NA,NA,NA,NA,NA,25,68,20,10,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","953148","White Pines Collegiate and Vocational School","Public","Not applicable","Secondary","English","9-12","1007 Trunk Rd","Sault Ste. Marie","Sault Ste Marie","P6A5K9","480",46.52684,-84.256,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,72,25,41,15,0,NA
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)","144872","White Pines Intermediate School","Public","Not applicable","Elementary","English","7-8","1007 Trunk Road","Sault Ste. Marie","SAULT STE. MARIE","P6A5K9","80",46.52799,-84.2599,0,100,0,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","765031","Archbishop O'Sullivan Catholic School","Catholic","Not applicable","Elementary","English","JK-8","974 Pembridge Cres","Kingston","Kingston","K7P1A3","250",44.2496,-76.5849,0,95,0,0,25,0,91,100,65,93,82,57,NA,NA,NA,10,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","827681","Cathedrale Catholic School","Catholic","Not applicable","Elementary","English","JK-8","301 Johnson St","Kingston","Kingston","K7L1Y5","375",44.23167,-76.491,10,100,0,0,5,0,92,90,88,74,89,37,NA,NA,NA,20,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","708011","Georges Vanier Catholic School","Catholic","Not applicable","Elementary","English","JK-8","100 Tracey St E","Belleville","Belleville","K8P2R8","330",44.18404,-77.4013,0,100,0,0,10,0,76,68,53,68,62,27,NA,NA,NA,25,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","715298","Holy Cross Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","1085 Woodbine Rd","Kingston","Kingston","K7P2V9","1045",44.25899,-76.5987,5,99,2,2,26,0,NA,NA,NA,NA,NA,NA,89,56,71,8,1,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","717703","Holy Name Catholic School","Catholic","Not applicable","Elementary","English","JK-8","370 Kingston Mills Road","Kingston","Kingston","K7L5H6","115",44.30068,-76.4242,0,100,0,0,20,0,77,85,69,91,82,55,NA,NA,NA,10,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","865257","Holy Name of Mary Catholic School","Catholic","Not applicable","Elementary","English","JK-8","7314 Old Highway 2 RR1","Tyendinaga","Marysville","K0K2N0","95",44.22671,-77.1368,0,100,0,0,10,0,NA,NA,NA,100,100,36,NA,NA,NA,10,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","719919","Holy Rosary Catholic School","Catholic","Not applicable","Elementary","English","JK-8","10 Prince of Wales Dr","Belleville","Belleville","K8P2T4","215",44.17815,-77.3845,0,100,0,0,15,0,69,69,50,73,54,27,NA,NA,NA,25,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","735523","J J O'Neill Catholic School","Catholic","Not applicable","Elementary","English","JK-8","240 Marilyn Ave","Greater Napanee","Napanee","K7R2L4","290",44.24701,-76.9636,0,100,0,0,20,0,69,66,53,81,78,41,NA,NA,NA,20,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","724068","John XXIII Catholic School","Catholic","Not applicable","Elementary","English","JK-8","736 High Gate Park Dr","Kingston","Kingston","K7M5Z9","240",44.24649,-76.6039,0,100,0,0,15,0,66,59,53,88,84,25,NA,NA,NA,10,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","728420","Loyola Community Learning Centre","Catholic","Adult","Secondary","English","9-12","1440 Princess Street","Kingston","Kingston","K7M3E5","315",44.2508,-76.5329,5,100,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","773875","Mother Teresa Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1044 Lancaster Dr","Kingston","Kingston","K7P2L6","385",44.25586,-76.5982,0,95,5,0,10,0,89,80,65,91,97,49,NA,NA,NA,5,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","835099","Nicholson Catholic College","Catholic","Not applicable","Secondary","English","9-12","301 Church St","Belleville","Belleville","K8N3C7","450",44.16855,-77.3825,10,100,0,5,20,0,NA,NA,NA,NA,NA,NA,82,40,85,20,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","742279","Our Lady of Fatima Catholic School","Catholic","Not applicable","Elementary","English","JK-8","300 Sidney St","Belleville","Belleville","K8P3Z3","165",44.16552,-77.4014,5,100,0,0,25,0,60,53,27,74,58,26,NA,NA,NA,30,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","746568","Our Lady of Lourdes Catholic School","Catholic","Not applicable","Elementary","English","JK-8","20 Cranbrook St","Kingston","Kingston","K7M4M9","270",44.22013,-76.5708,0,100,0,0,20,0,96,91,91,88,92,64,NA,NA,NA,10,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","746690","Our Lady of Mercy Catholic School","Catholic","Not applicable","Elementary","English","JK-8","192 Bridge St W","Bancroft","Bancroft","K0L1C0","175",45.05601,-77.8624,0,100,0,0,20,0,75,70,65,78,83,43,NA,NA,NA,25,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","706264","Our Lady of Mount Carmel Catholic School","Catholic","Not applicable","Elementary","English","JK-8","97 Park Cres","Loyalist","Amherstview","K7N1L7","495",44.2236,-76.6407,0,100,0,0,15,0,77,60,58,75,77,30,NA,NA,NA,10,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","752932","Regiopolis/Notre-Dame Catholic High School","Catholic","Not applicable","Secondary","English","9-12","130 Russell St","Kingston","Kingston","K7K2E9","1020",44.24334,-76.4939,8,98,2,3,27,0,NA,NA,NA,NA,NA,NA,92,70,80,14,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","756830","Sacred Heart Catholic School","Catholic","Not applicable","Elementary","English","JK-8","50 Bursthall St","Marmora and Lake","Marmora","K0K2M0","155",44.48104,-77.6787,0,100,0,0,15,0,75,75,65,62,77,46,NA,NA,NA,30,15,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","764370","Sacred Heart Catholic School","Catholic","Not applicable","Elementary","English","JK-8","31 Thomas Bata Blvd","Quinte West","Batawa","K0K1E0","140",44.17001,-77.5964,0,100,0,0,10,0,68,47,68,81,75,19,NA,NA,NA,10,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","868370","Sacred Heart Catholic School","Catholic","Not applicable","Elementary","English","JK-8","57 Hwy 95","Frontenac Islands","Wolfe Island","K0H2Y0","50",44.19003,-76.442,0,100,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","781142","St Carthagh Catholic School","Catholic","Not applicable","Elementary","English","JK-8","114 Hungerford Rd","Tweed","Tweed","K0K3J0","150",44.47874,-77.317,0,100,0,0,20,0,71,71,38,94,88,25,NA,NA,NA,25,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","796220","St Gregory Catholic School","Catholic","Not applicable","Elementary","English","JK-8","7 Owen St","Prince Edward County","Picton","K0K2T0","265",44.00879,-77.1326,0,100,0,0,15,0,76,83,66,80,75,55,NA,NA,NA,20,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","799556","St James Major","Catholic","Not applicable","Elementary","English","JK-8","14608 Hwy. #38","Essex","Sharbot Lake","K0H2P0","55",44.77277,-76.6883,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","815330","St Joseph Catholic School","Catholic","Not applicable","Elementary","English","JK-8","405 Bridge St E","Belleville","Belleville","K8N1P7","340",44.16896,-77.3584,0,100,0,0,10,0,82,71,58,88,78,47,NA,NA,NA,20,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","830984","St Marguerite Bourgeoys Catholic School","Catholic","Not applicable","Elementary","English","JK-8","355 Waterloo Ave","Kingston","Kingston","K7M8P5","450",44.25374,-76.5534,5,100,0,0,15,0,74,80,57,77,84,27,NA,NA,NA,10,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","823570","St Martha Catholic School","Catholic","Not applicable","Elementary","English","JK-8","455 St Martha St","Kingston","Kingston","K7K7C2","365",44.26573,-76.4467,10,95,5,5,15,0,83,71,71,85,85,50,NA,NA,NA,0,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","824330","St Martin of Tours Catholic School","Catholic","Not applicable","Elementary","English","JK-8","62 Post Street","Timmins","Whitney","K0J2M0","SP",45.49137,-78.2361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","831840","St Mary Catholic School","Catholic","Not applicable","Elementary","English","JK-6","85 Campbell St","Quinte West","Trenton","K8V3A2","420",44.10885,-77.5662,0,100,0,0,10,0,58,54,29,68,73,30,NA,NA,NA,20,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","865125","St Mary Catholic School","Catholic","Not applicable","Elementary","English","JK-8","1285 Read Rd RR 1","Tyendinaga","Shannonville","K0K3A0","95",44.3069,-77.2217,0,100,0,0,20,0,NA,NA,NA,100,91,55,NA,NA,NA,10,0,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","834688","St Michael Catholic School","Catholic","Not applicable","Elementary","English","JK-8","273 Church St","Belleville","Belleville","K8N3C7","620",44.16771,-77.3821,3,99,1,2,12,0,55,35,24,82,78,13,NA,NA,NA,25,6,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","841773","St Patrick Catholic School","Catholic","Not applicable","Elementary","English","JK-8","3889 Wilton Rd","South Frontenac","Harrowsmith","K0H1V0","215",44.39978,-76.67,0,100,0,0,10,0,84,74,84,79,67,38,NA,NA,NA,10,5,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","764248","St Patrick Catholic School","Catholic","Not applicable","Elementary","English","JK-8","6041 HW Y 41","Stone Mills","Erinsville","K0K2A0","SP",44.48645,-77.0527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","706744","St Paul Catholic Elementary School","Catholic","Not applicable","Elementary","English","7-8","15 Tripp Blvd","Quinte West","Trenton","K8V6M2","185",44.0943,-77.5974,5,95,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","842761","St Paul Catholic School","Catholic","Not applicable","Elementary","English","JK-8","266 McMahon Ave","Kingston","Kingston","K7M3H2","155",44.24963,-76.5241,0,95,0,0,20,0,76,82,65,86,95,50,NA,NA,NA,20,5,NA
