"year","course_code","course_description","grade","pathway_or_destination","enrolment"
"2013-2014","CLH4T","Security Fundamentals","Grade 12","College Delivered (Dual Credits)","20"
"2013-2014","CLK4T","Law Enforcement Communications","Grade 12","College Delivered (Dual Credits)","15"
"2013-2014","CLN4C","Legal Studies","Grade 12","College Preparation (Grade 11 & 12 level)","1139"
"2013-2014","CLN4U","Canadian and International Law","Grade 12","University Preparation (Grade 11 & 12 level)","22008"
"2013-2014","CLU3E","Understanding Canadian Law in Everyday Life","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1472"
"2013-2014","CLU3M","Understanding Canadian Law","Grade 11","University/College Preparation (Grade 11 & 12 level)","30753"
"2013-2014","CPB4T","Canadian Government","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","CPC3O","Politics in Action: Making Change","Grade 11","Open (Grade 9 - 12 level)","106"
"2013-2014","CPD4T","Political Science","Grade 12","College Delivered (Dual Credits)","23"
"2013-2014","CPW4U","Canadian and World Politics","Grade 12","University Preparation (Grade 11 & 12 level)","4557"
"2013-2014","EAB3O","Communications for the World of Business and Technology","Grade 11","Open (Grade 9 - 12 level)","18"
"2013-2014","EAC4C","The Writer's Craft","Grade 12","College Preparation (Grade 11 & 12 level)","<10"
"2013-2014","EAC4U","The Writer's Craft","Grade 12","University Preparation (Grade 11 & 12 level)","339"
"2013-2014","EAE1D","English","Grade 9","Academic (Grade 9 & 10 level)","4290"
"2013-2014","EAE1P","English","Grade 9","Applied (Grade 9 & 10 level)","1415"
"2013-2014","EAE2D","English","Grade 10","Academic (Grade 9 & 10 level)","3961"
"2013-2014","EAE2P","English","Grade 10","Applied (Grade 9 & 10 level)","1395"
"2013-2014","EAE3C","English","Grade 11","College Preparation (Grade 11 & 12 level)","1676"
"2013-2014","EAE3E","English","Grade 11","Workplace Preparation (Grade 11 & 12 level)","92"
"2013-2014","EAE3K","English, Grade 11 Transfer Course, College Preparation to University Preparation","Grade 11","University Preparation (Transfer)","<10"
"2013-2014","EAE3U","English","Grade 11","University Preparation (Grade 11 & 12 level)","3603"
"2013-2014","EAE4C","English","Grade 12","College Preparation (Grade 11 & 12 level)","1719"
"2013-2014","EAE4E","English","Grade 12","Workplace Preparation (Grade 11 & 12 level)","61"
"2013-2014","EAE4U","English","Grade 12","University Preparation (Grade 11 & 12 level)","2897"
"2013-2014","EAL4U","English Literature","Grade 12","University Preparation (Grade 11 & 12 level)","76"
"2013-2014","EANAO","Anglais pour débutants 1 (APD1)","Level 1","Open (Grade 9 - 12 level)","222"
"2013-2014","EANBO","Anglais pour débutants 2 (APD2)","Level 2","Open (Grade 9 - 12 level)","227"
"2013-2014","EANCO","Anglais pour débutants 3 (APD3)","Level 3","Open (Grade 9 - 12 level)","95"
"2013-2014","EANDO","Anglais pour débutants 4 (APD4)","Level 4","Open (Grade 9 - 12 level)","51"
"2013-2014","EAT3M","Canadian Literature","Grade 11","University/College Preparation (Grade 11 & 12 level)","35"
"2013-2014","EBA4T","Communications I","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EBB4T","Written Communications","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EBC4T","Communications","Grade 12","College Delivered (Dual Credits)","30"
"2013-2014","EBF4T","Communications II","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EBG4T","Firefighter Communications","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EBH4T","Introductory College Communications","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EBT4O","Business and Technological Communication","Grade 12","Open (Grade 9 - 12 level)","474"
"2013-2014","ELB4T","Reading Skills","Grade 12","College Delivered (Dual Credits)","15"
"2013-2014","ELDAO","English Literacy Development, ELD Level 1","Level 1","Open (Grade 9 - 12 level)","588"
"2013-2014","ELDBO","English Literacy Development, ELD Level 2","Level 2","Open (Grade 9 - 12 level)","565"
"2013-2014","ELDCO","English Literacy Development, ELD Level 3","Level 3","Open (Grade 9 - 12 level)","509"
"2013-2014","ELDDO","English Literacy Development, ELD Level 4","Level 4","Open (Grade 9 - 12 level)","445"
"2013-2014","ELDEO","English Literacy Development, ELD Level 5","Level 5","Open (Grade 9 - 12 level)","156"
"2013-2014","ELS2O","Literacy Skills, Grade 10, Open","Grade 10","Open (Grade 9 - 12 level)","2148"
"2013-2014","ELS3O","Literacy Schools: Reading and Writing","Grade 11","Open (Grade 9 - 12 level)","201"
"2013-2014","EMS3O","Media Studies","Grade 11","Open (Grade 9 - 12 level)","8640"
"2013-2014","ENA4T","English","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","ENG1D","English","Grade 9","Academic (Grade 9 & 10 level)","102809"
"2013-2014","ENG1P","English","Grade 9","Applied (Grade 9 & 10 level)","33978"
"2013-2014","ENG2D","English","Grade 10","Academic (Grade 9 & 10 level)","107573"
"2013-2014","ENG2P","English","Grade 10","Applied (Grade 9 & 10 level)","39878"
"2013-2014","ENG3C","English","Grade 11","College Preparation (Grade 11 & 12 level)","51276"
"2013-2014","ENG3E","English","Grade 11","Workplace Preparation (Grade 11 & 12 level)","8321"
"2013-2014","ENG3K","English Transfer, Grade 11, College Preparation to University Preparation","Grade 11","University Preparation (Transfer)","<10"
"2013-2014","ENG3U","English","Grade 11","University Preparation (Grade 11 & 12 level)","99067"
"2013-2014","ENG4C","English","Grade 12","College Preparation (Grade 11 & 12 level)","61241"
"2013-2014","ENG4E","English","Grade 12","Workplace Preparation (Grade 11 & 12 level)","5046"
"2013-2014","ENG4U","English","Grade 12","University Preparation (Grade 11 & 12 level)","87655"
"2013-2014","EPA4T","Effective Oral Presentations","Grade 12","College Delivered (Dual Credits)","15"
"2013-2014","EPS3O","Presentation and Speaking Skills","Grade 11","Open (Grade 9 - 12 level)","1466"
"2013-2014","ESLAO","English as a Second Language, ESL Level 1","Level 1","Open (Grade 9 - 12 level)","2430"
"2013-2014","ESLBO","English as a Second Language, ESL Level 2","Level 2","Open (Grade 9 - 12 level)","4049"
"2013-2014","ESLCO","English as a Second Language, ESL Level 3","Level 3","Open (Grade 9 - 12 level)","6334"
"2013-2014","ESLDO","English as a Second Language, ESL Level 4","Level 4","Open (Grade 9 - 12 level)","7453"
"2013-2014","ESLEO","English as a Second Language, ESL Level 5","Level 5","Open (Grade 9 - 12 level)","5408"
"2013-2014","ETB4T","Introduction to Journalism","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","ETC3M","Canadian Literature","Grade 11","University/College Preparation (Grade 11 & 12 level)","147"
"2013-2014","ETH4T","Social Media and the Citizen Journalist","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","ETS4C","Studies in Literature","Grade 12","College Preparation (Grade 11 & 12 level)","122"
"2013-2014","ETS4U","Studies in Literature","Grade 12","University Preparation (Grade 11 & 12 level)","4139"
"2013-2014","EWA4T","Art of Storytelling","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EWB4T","Creative Writing","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","EWC4C","The Writer's Craft","Grade 12","College Preparation (Grade 11 & 12 level)","1294"
"2013-2014","EWC4U","The Writer's Craft","Grade 12","University Preparation (Grade 11 & 12 level)","14929"
"2013-2014","EWH4T","Introduction to Essay Writing and Portfolio Building","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","FAE4O","Atelier d'écriture","Grade 12","Open (Grade 9 - 12 level)","13"
"2013-2014","FAF4O","Français des affaires et de la technologie","Grade 12","Open (Grade 9 - 12 level)","25"
"2013-2014","FCC3O","Compétence fonctionnelle en communication orale, en lecture et en écriture","Grade 11","Open (Grade 9 - 12 level)","17"
"2013-2014","FEF1D","Extended French","Grade 9","Academic (Grade 9 & 10 level)","3320"
"2013-2014","FEF2D","Extended French","Grade 10","Academic (Grade 9 & 10 level)","2881"
"2013-2014","FEF3U","Extended French","Grade 11","University Preparation (Grade 11 & 12 level)","2484"
"2013-2014","FEF4U","Extended French","Grade 12","University Preparation (Grade 11 & 12 level)","2019"
"2013-2014","FFAAO","Actualisation linguistique en français (ALF1)","Level 1","Open (Grade 9 - 12 level)","62"
"2013-2014","FFABO","Actualisation linguistique en français (ALF2)","Level 2","Open (Grade 9 - 12 level)","49"
"2013-2014","FFACO","Actualisation linguistique en français (ALF3)","Level 3","Open (Grade 9 - 12 level)","<10"
"2013-2014","FFADO","Actualisation linguistique en français (ALF4)","Level 4","Open (Grade 9 - 12 level)","<10"
"2013-2014","FFM3O","Français des médias","Grade 11","Open (Grade 9 - 12 level)","46"
"2013-2014","FFPAO","Programme d'appui aux nouveaux arrivants 1","Level 1","Open (Grade 9 - 12 level)","31"
"2013-2014","FFPBO","Programme d'appui aux nouveaux arrivants 2","Level 2","Open (Grade 9 - 12 level)","31"
"2013-2014","FFPCO","Programme d'appui aux nouveaux arrivants 3","Level 3","Open (Grade 9 - 12 level)","28"
"2013-2014","FFPDO","Programme d'appui aux nouveaux arrivants 4","Level 4","Open (Grade 9 - 12 level)","<10"
"2013-2014","FIF1D","French Immersion","Grade 9","Academic (Grade 9 & 10 level)","8507"
"2013-2014","FIF1P","French Immersion","Grade 9","Applied (Grade 9 & 10 level)","<10"
"2013-2014","FIF2D","French Immersion","Grade 10","Academic (Grade 9 & 10 level)","7591"
"2013-2014","FIF2P","French Immersion","Grade 10","Applied (Grade 9 & 10 level)","<10"
"2013-2014","FIF3O","French Immersion","Grade 11","Open (Grade 9 - 12 level)","14"
"2013-2014","FIF3U","French Immersion","Grade 11","University Preparation (Grade 11 & 12 level)","6689"
"2013-2014","FIF4O","French Immersion","Grade 12","Open (Grade 9 - 12 level)","<10"
"2013-2014","FIF4U","French Immersion","Grade 12","University Preparation (Grade 11 & 12 level)","5796"
"2013-2014","FLC4M","Littérature du Canada Français","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2013-2014","FLO4U","Grandes oeuvres de la littérature","Grade 12","University Preparation (Grade 11 & 12 level)","56"
"2013-2014","FRA1D","Français","Grade 9","Academic (Grade 9 & 10 level)","4269"
"2013-2014","FRA1P","Français","Grade 9","Applied (Grade 9 & 10 level)","1498"
"2013-2014","FRA2D","Français","Grade 10","Academic (Grade 9 & 10 level)","4068"
"2013-2014","FRA2P","Français","Grade 10","Applied (Grade 9 & 10 level)","1656"
"2013-2014","FRA3C","Français","Grade 11","College Preparation (Grade 11 & 12 level)","2051"
"2013-2014","FRA3E","Français","Grade 11","Workplace Preparation (Grade 11 & 12 level)","503"
"2013-2014","FRA3U","Français","Grade 11","University Preparation (Grade 11 & 12 level)","3823"
"2013-2014","FRA4C","Français","Grade 12","College Preparation (Grade 11 & 12 level)","2051"
"2013-2014","FRA4E","Français","Grade 12","Workplace Preparation (Grade 11 & 12 level)","218"
"2013-2014","FRA4U","Français","Grade 12","University Preparation (Grade 11 & 12 level)","3274"
"2013-2014","FSF1D","Core French","Grade 9","Academic (Grade 9 & 10 level)","68225"
"2013-2014","FSF1O","Core French","Grade 9","Open (Grade 9 - 12 level)","1314"
"2013-2014","FSF1P","Core French","Grade 9","Applied (Grade 9 & 10 level)","38660"
"2013-2014","FSF2D","Core French","Grade 10","Academic (Grade 9 & 10 level)","26796"
"2013-2014","FSF2O","Core French","Grade 10","Open (Grade 9 - 12 level)","<10"
"2013-2014","FSF2P","Core French","Grade 10","Applied (Grade 9 & 10 level)","718"
"2013-2014","FSF3O","Core French","Grade 11","Open (Grade 9 - 12 level)","224"
"2013-2014","FSF3U","Core French","Grade 11","University Preparation (Grade 11 & 12 level)","14942"
"2013-2014","FSF4O","Core French","Grade 12","Open (Grade 9 - 12 level)","86"
"2013-2014","FSF4U","Core French","Grade 12","University Preparation (Grade 11 & 12 level)","10583"
"2013-2014","GCA4T","Career Discovery","Grade 12","College Delivered (Dual Credits)","59"
"2013-2014","GCC4T","Career and College Success","Grade 12","College Delivered (Dual Credits)","52"
"2013-2014","GCE4T","Career Employment Preparation","Grade 12","College Delivered (Dual Credits)","52"
"2013-2014","GCI4T","Exploration en métiers","Grade 12","College Delivered (Dual Credits)","64"
"2013-2014","GCJ4T","Career Success","Grade 12","College Delivered (Dual Credits)","11"
"2013-2014","GLC2O","Career Studies","Grade 10","Open (Grade 9 - 12 level)","164518"
"2013-2014","GLD2O","Discovering the Workplace","Grade 10","Open (Grade 9 - 12 level)","5629"
"2013-2014","GLE1O","Learning Strategies 1: Skills for Success in Secondary School","Grade 9","Open (Grade 9 - 12 level)","14254"
"2013-2014","GLE2O","Learning Strategies 2: Skills for Success in Secondary School","Grade 10","Open (Grade 9 - 12 level)","8315"
"2013-2014","GLE3O","Advanced Learning Strategies: Skills for Success After Secondary School","Grade 11","Open (Grade 9 - 12 level)","6610"
"2013-2014","GLE4O","Advanced Learning Strategies: Skills for Success After Secondary School","Grade 12","Open (Grade 9 - 12 level)","3643"
"2013-2014","GLH4T","College Connection","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","GLI4T","Success Strategies","Grade 12","College Delivered (Dual Credits)","135"
"2013-2014","GLN4O","Navigating the Workplace","Grade 12","Open (Grade 9 - 12 level)","9951"
"2013-2014","GLS1O","Learning Strategies 1: Skills for Success in Secondary School","Grade 9","Open (Grade 9 - 12 level)","12376"
"2013-2014","GLS4O","Advanced Learning Strategies: Skills for Success After Secondary School","Grade 12","Open (Grade 9 - 12 level)","4462"
"2013-2014","GPL4T","Developing Leadership","Grade 12","College Delivered (Dual Credits)","66"
"2013-2014","GPP3O","Leadership and Peer Support","Grade 11","Open (Grade 9 - 12 level)","17722"
"2013-2014","GWB4T","Personal and Academic Success Strategies","Grade 12","College Delivered (Dual Credits)","35"
"2013-2014","GWC4T","Student Success for Higher Learning","Grade 12","College Delivered (Dual Credits)","14"
"2013-2014","GWD4T","Personal Success","Grade 12","College Delivered (Dual Credits)","15"
"2013-2014","GWL3O","Designing Your Future","Grade 11","Open (Grade 9 - 12 level)","11302"
"2013-2014","HBA4T","Psychology","Grade 12","College Delivered (Dual Credits)","11"
"2013-2014","HBB4T","Introduction to Psychology","Grade 12","College Delivered (Dual Credits)","380"
"2013-2014","HBC4T","Social Psychology","Grade 12","College Delivered (Dual Credits)","121"
"2013-2014","HBD4T","Developmental Psychology","Grade 12","College Delivered (Dual Credits)","262"
"2013-2014","HBF4T","Principles of Psychology","Grade 12","College Delivered (Dual Credits)","16"
"2013-2014","HBG4T","Psychology - Police Foundations","Grade 12","College Delivered (Dual Credits)","10"
"2013-2014","HBH4T","Psychology and Group Dynamics","Grade 12","College Delivered (Dual Credits)","44"
"2013-2014","HBI4T","Forensic Psychology","Grade 12","College Delivered (Dual Credits)","70"
"2013-2014","HBM4T","Abnormal Psychology","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HBN4T","Psychology of Learning","Grade 12","College Delivered (Dual Credits)","39"
"2013-2014","HBQ4T","Crisis Intervention","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HBR4T","Developmental Psychology for the PSW","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HBS4T","Search and Rescue","Grade 12","College Delivered (Dual Credits)","43"
"2013-2014","HBT4T","Developmental Psychology II","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HBV4T","Métacognition","Grade 12","College Delivered (Dual Credits)","63"
"2013-2014","HCB4T","Criminal Justice System","Grade 12","College Delivered (Dual Credits)","17"
"2013-2014","HCC4T","Criminology","Grade 12","College Delivered (Dual Credits)","190"
"2013-2014","HCD4T","Criminal Law and Procedures","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HCE4T","Criminal Code: Civil and Federal Statutes","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HCF4T","Canadian Criminal Justice Systems","Grade 12","College Delivered (Dual Credits)","137"
"2013-2014","HCI4T","Youth in Conflict with the Law","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HDC4T","Interpersonal Communication Skills","Grade 12","College Delivered (Dual Credits)","34"
"2013-2014","HDD4T","Contemporary Social Problems","Grade 12","College Delivered (Dual Credits)","24"
"2013-2014","HDG4T","Introduction to Social Welfare","Grade 12","College Delivered (Dual Credits)","13"
"2013-2014","HDH4T","Popular Culture","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HDI4T","Social Sciences","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HDJ4T","Social Deviance","Grade 12","College Delivered (Dual Credits)","20"
"2013-2014","HDM4T","International Interactions","Grade 12","College Delivered (Dual Credits)","55"
"2013-2014","HDP4T","Popular Culture, Film and Society","Grade 12","College Delivered (Dual Credits)","30"
"2013-2014","HDQ4T","Popular Culture and Social Influence","Grade 12","College Delivered (Dual Credits)","61"
"2013-2014","HDU4T","Interpersonal and Group Dynamics","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HDV4T","Introduction au travail social","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HDW4T","Leadership in Society","Grade 12","College Delivered (Dual Credits)","14"
"2013-2014","HDX4T","Substance Abuse","Grade 12","College Delivered (Dual Credits)","50"
"2013-2014","HDY4T","Interpersonal Communications","Grade 12","College Delivered (Dual Credits)","10"
"2013-2014","HDZ4T","Interpersonal Violence in Canadian Society","Grade 12","College Delivered (Dual Credits)","95"
"2013-2014","HED4T","Principles of Ethical Reasoning","Grade 12","College Delivered (Dual Credits)","26"
"2013-2014","HFA4C","Nutrition and Health","Grade 12","College Preparation (Grade 11 & 12 level)","4471"
"2013-2014","HFA4M","Food and Nutrition Sciences","Grade 12","University/College Preparation (Grade 11 & 12 level)","472"
"2013-2014","HFA4U","Nutrition and Health","Grade 12","University Preparation (Grade 11 & 12 level)","11517"
"2013-2014","HFB4T","Nutrition:  Making Better Choices","Grade 12","College Delivered (Dual Credits)","58"
"2013-2014","HFC3E","Food and Culture","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1371"
"2013-2014","HFC3M","Food and Culture","Grade 11","University/College Preparation (Grade 11 & 12 level)","2167"
"2013-2014","HFL4E","Food and Healthy Living","Grade 12","Workplace Preparation (Grade 11 & 12 level)","520"
"2013-2014","HFN1O","Food and Nutrition","Grade 9","Open (Grade 9 - 12 level)","6056"
"2013-2014","HFN2O","Food and Nutrition","Grade 10","Open (Grade 9 - 12 level)","23664"
"2013-2014","HHA4T","Human Relationships","Grade 12","College Delivered (Dual Credits)","11"
"2013-2014","HHB4T","Human Sexuality","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HHC4T","Exploring Human Diversity","Grade 12","College Delivered (Dual Credits)","124"
"2013-2014","HHD3O","Dynamics of Human Relationships","Grade 11","Open (Grade 9 - 12 level)","1395"
"2013-2014","HHE4T","Understanding Families","Grade 12","College Delivered (Dual Credits)","16"
"2013-2014","HHF4T","Human Growth and Development","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HHG4M","Human Development Throughout the Lifespan","Grade 12","University/College Preparation (Grade 11 & 12 level)","8226"
"2013-2014","HHH4T","The Art of Counseling Children and Youth","Grade 12","College Delivered (Dual Credits)","33"
"2013-2014","HHI4T","Principles of Learning","Grade 12","College Delivered (Dual Credits)","29"
"2013-2014","HHK4T","Human Services","Grade 12","College Delivered (Dual Credits)","25"
"2013-2014","HHS4C","Families in Canada","Grade 12","College Preparation (Grade 11 & 12 level)","3301"
"2013-2014","HHS4M","Individuals and Families in a Diverse Society","Grade 12","University/College Preparation (Grade 11 & 12 level)","1469"
"2013-2014","HHS4U","Families in Canada","Grade 12","University Preparation (Grade 11 & 12 level)","15853"
"2013-2014","HIA4T","Dealing with Difficult People","Grade 12","College Delivered (Dual Credits)","20"
"2013-2014","HIB4T","Personal Growth and Development","Grade 12","College Delivered (Dual Credits)","108"
"2013-2014","HIC4T","PSW Practice","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HIF1O","Exploring Family Studies","Grade 9","Open (Grade 9 - 12 level)","9466"
"2013-2014","HIF2O","Exploring Family Studies","Grade 10","Open (Grade 9 - 12 level)","2350"
"2013-2014","HIH4T","Critical Thinking and Problem Solving","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HIK4T","Self Management and Self Direction","Grade 12","College Delivered (Dual Credits)","89"
"2013-2014","HIL4T","Critical Thinking and Problem Solving II","Grade 12","College Delivered (Dual Credits)","<10"
"2013-2014","HIP3E","Managing Personal Resources","Grade 11","Workplace Preparation (Grade 11 & 12 level)","1789"
"2013-2014","HIP4O","Personal Life Management","Grade 12","Open (Grade 9 - 12 level)","4248"
"2013-2014","HIR3C","Managing Personal and Family Resources","Grade 11","College Preparation (Grade 11 & 12 level)","779"
