"year","course_code","course_description","grade","pathway_or_destination","enrolment"
"2011-2012","ADA1O","Drama","Grade 9","Open (Grade 9 - 12 level)","35062"
"2011-2012","ADA2O","Drama","Grade 10","Open (Grade 9 - 12 level)","28687"
"2011-2012","ADA3M","Drama","Grade 11","University/College Preparation (Grade 11 & 12 level)","12196"
"2011-2012","ADA3O","Drama","Grade 11","Open (Grade 9 - 12 level)","2838"
"2011-2012","ADA4E","Drama","Grade 12","Workplace Preparation (Grade 11 & 12 level)","197"
"2011-2012","ADA4M","Drama","Grade 12","University/College Preparation (Grade 11 & 12 level)","8349"
"2011-2012","ADA4O","Dramatic Arts","Grade 12","Open (Grade 9 - 12 level)","<10"
"2011-2012","ADB1O","Drama - Musical Theatre","Grade 9","Open (Grade 9 - 12 level)","151"
"2011-2012","ADB2O","Drama - Musical Theatre","Grade 10","Open (Grade 9 - 12 level)","213"
"2011-2012","ADB3M","Drama - Musical Theatre","Grade 11","University/College Preparation (Grade 11 & 12 level)","591"
"2011-2012","ADB3O","Drama - Musical Theatre","Grade 11","Open (Grade 9 - 12 level)","141"
"2011-2012","ADB4M","Drama - Musical Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","509"
"2011-2012","ADC1O","Drama in the Community","Grade 9","Open (Grade 9 - 12 level)","160"
"2011-2012","ADC2O","Drama in the Community","Grade 10","Open (Grade 9 - 12 level)","158"
"2011-2012","ADC3M","Drama in the Community","Grade 11","University/College Preparation (Grade 11 & 12 level)","193"
"2011-2012","ADC3O","Drama in the Community","Grade 11","Open (Grade 9 - 12 level)","90"
"2011-2012","ADC4M","Drama in the Community","Grade 12","University/College Preparation (Grade 11 & 12 level)","308"
"2011-2012","ADD1O","Drama - Production","Grade 9","Open (Grade 9 - 12 level)","546"
"2011-2012","ADD2O","Drama - Production","Grade 10","Open (Grade 9 - 12 level)","710"
"2011-2012","ADD3M","Drama - Production","Grade 11","University/College Preparation (Grade 11 & 12 level)","1064"
"2011-2012","ADD3O","Drama - Production","Grade 11","Open (Grade 9 - 12 level)","220"
"2011-2012","ADD4M","Drama - Production","Grade 12","University/College Preparation (Grade 11 & 12 level)","1121"
"2011-2012","ADD4O","Dramatic Arts - Production","Grade 12","Open (Grade 9 - 12 level)","<10"
"2011-2012","ADF3M","Director's Craft","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2011-2012","ADF4M","Director's Craft","Grade 12","University/College Preparation (Grade 11 & 12 level)","170"
"2011-2012","ADG3M","Drama - Acting/Improvisation","Grade 11","University/College Preparation (Grade 11 & 12 level)","248"
"2011-2012","ADG3O","Drama - Acting/Improvisation","Grade 11","Open (Grade 9 - 12 level)","58"
"2011-2012","ADG4M","Drama - Acting/Improvisation","Grade 12","University/College Preparation (Grade 11 & 12 level)","232"
"2011-2012","ADH4T","Performing Arts Career Studies","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","ADP3M","Drama - Playwriting/Theatre Development","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2011-2012","ADP3O","Drama - Playwriting/Theatre Development","Grade 11","Open (Grade 9 - 12 level)","25"
"2011-2012","ADP4M","Drama - Playwriting/Theatre Development","Grade 12","University/College Preparation (Grade 11 & 12 level)","126"
"2011-2012","ADT4M","Drama - Canadian Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ADV1O","Drama - Film/Video","Grade 9","Open (Grade 9 - 12 level)","95"
"2011-2012","ADV2O","Drama - Film/Video","Grade 10","Open (Grade 9 - 12 level)","178"
"2011-2012","ADV3M","Drama - Film/Video","Grade 11","University/College Preparation (Grade 11 & 12 level)","458"
"2011-2012","ADV3O","Drama - Film/Video","Grade 11","Open (Grade 9 - 12 level)","123"
"2011-2012","ADV4M","Drama - Film/Video","Grade 12","University/College Preparation (Grade 11 & 12 level)","394"
"2011-2012","AEA3O","Exploring and Creating in the Arts","Grade 11","Open (Grade 9 - 12 level)","226"
"2011-2012","AEA4O","Exploring and Creating in the Arts","Grade 12","Open (Grade 9 - 12 level)","1652"
"2011-2012","AEB4T","Exploring Art and Design","Grade 12","College Delivered (Dual Credits)","65"
"2011-2012","AED4T","Art and Design Portfolio Development","Grade 12","College Delivered (Dual Credits)","31"
"2011-2012","AEF4T","Design","Grade 12","College Delivered (Dual Credits)","17"
"2011-2012","AEH4T","Elements of Décor","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AEI4T","Colour in Decoration","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AEL4T","Basic  Design","Grade 12","College Delivered (Dual Credits)","17"
"2011-2012","AFB4T","Painting and Drawing","Grade 12","College Delivered (Dual Credits)","11"
"2011-2012","AFE4T","Basic Digital Photography","Grade 12","College Delivered (Dual Credits)","11"
"2011-2012","AFF4T","The Culture of Photography","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AFG4T","2D Digital Art","Grade 12","College Delivered (Dual Credits)","25"
"2011-2012","AFI4T","Digital Photography and Image Editing","Grade 12","College Delivered (Dual Credits)","43"
"2011-2012","AFJ4T","Digital Art and Design","Grade 12","College Delivered (Dual Credits)","22"
"2011-2012","AFK4T","Digital Photography Techniques","Grade 12","College Delivered (Dual Credits)","108"
"2011-2012","AFL4T","Introduction à la photographie","Grade 12","College Delivered (Dual Credits)","11"
"2011-2012","AFQ4T","Editorial Illustrations","Grade 12","College Delivered (Dual Credits)","17"
"2011-2012","AFS4T","Painting and Drawing ¿ Theory","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AHA4T","History of Popular Music","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AHB4T","Musical Theatre Production","Grade 12","College Delivered (Dual Credits)","14"
"2011-2012","AHE4T","Music and Society","Grade 12","College Delivered (Dual Credits)","38"
"2011-2012","AHF4T","Good Vibrations: The Evolution of Popular Music","Grade 12","College Delivered (Dual Credits)","20"
"2011-2012","AHG4T","Canadian Music Industry","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AHI4T","Art History and Appreciation","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AHK4T","History of Popular Music II","Grade 12","College Delivered (Dual Credits)","33"
"2011-2012","ALC1O","Intergrated Arts","Grade 9","Open (Grade 9 - 12 level)","3951"
"2011-2012","ALC2O","Intergrated Arts","Grade 11","Open (Grade 9 - 12 level)","236"
"2011-2012","AMA4T","Jazz","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","AMB1O","Instrumental Music - Brass","Grade 9","Open (Grade 9 - 12 level)","76"
"2011-2012","AMB2O","Instrumental Music - Brass","Grade 10","Open (Grade 9 - 12 level)","37"
"2011-2012","AMB3M","Instrumental Music - Brass","Grade 11","University/College Preparation (Grade 11 & 12 level)","47"
"2011-2012","AMB4M","Instrumental Music - Brass","Grade 12","University/College Preparation (Grade 11 & 12 level)","46"
"2011-2012","AMC1O","Music for Creating","Grade 9","Open (Grade 9 - 12 level)","196"
"2011-2012","AMC2O","Music for Creating","Grade 10","Open (Grade 9 - 12 level)","464"
"2011-2012","AMC3M","Music for Creating","Grade 11","University/College Preparation (Grade 11 & 12 level)","287"
"2011-2012","AMC3O","Music for Creating","Grade 11","Open (Grade 9 - 12 level)","252"
"2011-2012","AMC4M","Music for Creating","Grade 12","University/College Preparation (Grade 11 & 12 level)","377"
"2011-2012","AMD1O","Electronic Music","Grade 9","Open (Grade 9 - 12 level)","10"
"2011-2012","AMD2O","Electronic Music","Grade 10","Open (Grade 9 - 12 level)","18"
"2011-2012","AMD3M","Electronic Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","66"
"2011-2012","AMD3O","Electronic Music","Grade 11","Open (Grade 9 - 12 level)","101"
"2011-2012","AMD4M","Electronic Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","29"
"2011-2012","AME1O","Small Ensemble","Grade 9","Open (Grade 9 - 12 level)","140"
"2011-2012","AME2O","Small Ensemble","Grade 10","Open (Grade 9 - 12 level)","289"
"2011-2012","AME3M","Small Ensemble","Grade 11","University/College Preparation (Grade 11 & 12 level)","237"
"2011-2012","AME3O","Small Ensemble","Grade 11","Open (Grade 9 - 12 level)","149"
"2011-2012","AME4M","Small Ensemble","Grade 12","University/College Preparation (Grade 11 & 12 level)","247"
"2011-2012","AMG1O","Guitar Music","Grade 9","Open (Grade 9 - 12 level)","1930"
"2011-2012","AMG2O","Guitar Music","Grade 10","Open (Grade 9 - 12 level)","9184"
"2011-2012","AMG3M","Guitar Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","1693"
"2011-2012","AMG3O","Guitar Music","Grade 11","Open (Grade 9 - 12 level)","3594"
"2011-2012","AMG4M","Guitar Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","1620"
"2011-2012","AMH1O","Stage-Band Music","Grade 9","Open (Grade 9 - 12 level)","64"
"2011-2012","AMH2O","Stage-Band Music","Grade 10","Open (Grade 9 - 12 level)","379"
"2011-2012","AMH3M","Stage-Band Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","559"
"2011-2012","AMH3O","Stage-Band Music","Grade 11","Open (Grade 9 - 12 level)","67"
"2011-2012","AMH4M","Stage-Band Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","632"
"2011-2012","AMI1O","Instrumental Music - Band","Grade 9","Open (Grade 9 - 12 level)","14037"
"2011-2012","AMI2O","Instrumental Music - Band","Grade 10","Open (Grade 9 - 12 level)","7284"
"2011-2012","AMI3M","Instrumental Music - Band","Grade 11","University/College Preparation (Grade 11 & 12 level)","4419"
"2011-2012","AMI3O","Instrumental Music - Band","Grade 11","Open (Grade 9 - 12 level)","239"
"2011-2012","AMI4M","Instrumental Music - Band","Grade 12","University/College Preparation (Grade 11 & 12 level)","3208"
"2011-2012","AMJ2O","Vocal Jazz","Grade 10","Open (Grade 9 - 12 level)","54"
"2011-2012","AMJ3M","Vocal Jazz","Grade 11","University/College Preparation (Grade 11 & 12 level)","198"
"2011-2012","AMJ3O","Vocal Jazz","Grade 11","Open (Grade 9 - 12 level)","28"
"2011-2012","AMJ4M","Vocal Jazz","Grade 12","University/College Preparation (Grade 11 & 12 level)","152"
"2011-2012","AMK1O","Keyboard Music","Grade 9","Open (Grade 9 - 12 level)","632"
"2011-2012","AMK2O","Keyboard Music","Grade 10","Open (Grade 9 - 12 level)","1777"
"2011-2012","AMK3M","Keyboard Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","517"
"2011-2012","AMK3O","Keyboard Music","Grade 11","Open (Grade 9 - 12 level)","322"
"2011-2012","AMK4M","Keyboard Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","331"
"2011-2012","AMM1O","Music and Computers","Grade 9","Open (Grade 9 - 12 level)","94"
"2011-2012","AMM2O","Music and Computers","Grade 10","Open (Grade 9 - 12 level)","596"
"2011-2012","AMM3M","Music and Computers","Grade 11","University/College Preparation (Grade 11 & 12 level)","481"
"2011-2012","AMM3O","Music and Computers","Grade 11","Open (Grade 9 - 12 level)","172"
"2011-2012","AMM4M","Music and Computers","Grade 12","University/College Preparation (Grade 11 & 12 level)","368"
"2011-2012","AMO1O","Instrumental Music - Orchestra","Grade 9","Open (Grade 9 - 12 level)","364"
"2011-2012","AMO2O","Instrumental Music - Orchestra","Grade 10","Open (Grade 9 - 12 level)","168"
"2011-2012","AMO3M","Instrumental Music - Orchestra","Grade 11","University/College Preparation (Grade 11 & 12 level)","124"
"2011-2012","AMO3O","Instrumental Music - Orchestra","Grade 11","Open (Grade 9 - 12 level)","<10"
"2011-2012","AMO4M","Instrumental Music - Orchestra","Grade 12","University/College Preparation (Grade 11 & 12 level)","107"
"2011-2012","AMP1O","Instrumental Music - Percussion","Grade 9","Open (Grade 9 - 12 level)","208"
"2011-2012","AMP2O","Instrumental Music - Percussion","Grade 10","Open (Grade 9 - 12 level)","367"
"2011-2012","AMP3M","Instrumental Music - Percussion","Grade 11","University/College Preparation (Grade 11 & 12 level)","110"
"2011-2012","AMP3O","Instrumental Music - Percussion","Grade 11","Open (Grade 9 - 12 level)","73"
"2011-2012","AMP4M","Instrumental Music - Percussion","Grade 12","University/College Preparation (Grade 11 & 12 level)","59"
"2011-2012","AMQ1O","Steel Drum - Music","Grade 9","Open (Grade 9 - 12 level)","181"
"2011-2012","AMQ2O","Steel Drum - Music","Grade 10","Open (Grade 9 - 12 level)","238"
"2011-2012","AMQ3M","Steel Drum - Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","95"
"2011-2012","AMQ3O","Steel Drum - Music","Grade 11","Open (Grade 9 - 12 level)","39"
"2011-2012","AMQ4M","Steel Drum - Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","64"
"2011-2012","AMR1O","Repertoire","Grade 9","Open (Grade 9 - 12 level)","3774"
"2011-2012","AMR2O","Repertoire","Grade 10","Open (Grade 9 - 12 level)","3702"
"2011-2012","AMR3M","Repertoire","Grade 11","University/College Preparation (Grade 11 & 12 level)","2663"
"2011-2012","AMR3O","Repertoire","Grade 11","Open (Grade 9 - 12 level)","1057"
"2011-2012","AMR4M","Repertoire","Grade 12","University/College Preparation (Grade 11 & 12 level)","2563"
"2011-2012","AMS1O","Instrumental Music - Strings","Grade 9","Open (Grade 9 - 12 level)","2076"
"2011-2012","AMS2O","Instrumental Music - Strings","Grade 10","Open (Grade 9 - 12 level)","1315"
"2011-2012","AMS3M","Instrumental Music - Strings","Grade 11","University/College Preparation (Grade 11 & 12 level)","816"
"2011-2012","AMS3O","Instrumental Music - Strings","Grade 11","Open (Grade 9 - 12 level)","42"
"2011-2012","AMS4M","Instrumental Music - Strings","Grade 12","University/College Preparation (Grade 11 & 12 level)","671"
"2011-2012","AMT1O","Music Theatre","Grade 9","Open (Grade 9 - 12 level)","115"
"2011-2012","AMT2O","Music Theatre","Grade 10","Open (Grade 9 - 12 level)","300"
"2011-2012","AMT3M","Music Theatre","Grade 11","University/College Preparation (Grade 11 & 12 level)","688"
"2011-2012","AMT3O","Music Theatre","Grade 11","Open (Grade 9 - 12 level)","279"
"2011-2012","AMT4M","Music Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","880"
"2011-2012","AMU1O","Music","Grade 9","Open (Grade 9 - 12 level)","15573"
"2011-2012","AMU2O","Music","Grade 10","Open (Grade 9 - 12 level)","7482"
"2011-2012","AMU3M","Music","Grade 11","University/College Preparation (Grade 11 & 12 level)","4223"
"2011-2012","AMU3O","Music","Grade 11","Open (Grade 9 - 12 level)","544"
"2011-2012","AMU4E","Music","Grade 12","Workplace Preparation (Grade 11 & 12 level)","145"
"2011-2012","AMU4M","Music","Grade 12","University/College Preparation (Grade 11 & 12 level)","3397"
"2011-2012","AMV1O","Music - Vocal/Choral","Grade 9","Open (Grade 9 - 12 level)","4040"
"2011-2012","AMV2O","Music - Vocal/Choral","Grade 10","Open (Grade 9 - 12 level)","4461"
"2011-2012","AMV3M","Music - Vocal/Choral","Grade 11","University/College Preparation (Grade 11 & 12 level)","2726"
"2011-2012","AMV3O","Music - Vocal/Choral","Grade 11","Open (Grade 9 - 12 level)","807"
"2011-2012","AMV4M","Music - Vocal/Choral","Grade 12","University/College Preparation (Grade 11 & 12 level)","2434"
"2011-2012","AMW1O","Music - Woodwinds","Grade 9","Open (Grade 9 - 12 level)","122"
"2011-2012","AMW2O","Music - Woodwinds","Grade 10","Open (Grade 9 - 12 level)","74"
"2011-2012","AMW3M","Music - Woodwinds","Grade 11","University/College Preparation (Grade 11 & 12 level)","82"
"2011-2012","AMW3O","Music - Woodwinds","Grade 11","Open (Grade 9 - 12 level)","<10"
"2011-2012","AMW4M","Music - Woodwinds","Grade 12","University/College Preparation (Grade 11 & 12 level)","75"
"2011-2012","AMX3M","Music - External(Conservatory)","Grade 11","University/College Preparation (Grade 11 & 12 level)","314"
"2011-2012","AMX4M","Music - External(Conservatory)","Grade 12","University/College Preparation (Grade 11 & 12 level)","568"
"2011-2012","ASA4T","Media and the Arts","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","ASM2O","Media Arts","Grade 10","Open (Grade 9 - 12 level)","9963"
"2011-2012","ASM3M","Media Arts","Grade 11","University/College Preparation (Grade 11 & 12 level)","3471"
"2011-2012","ASM3O","Media Arts","Grade 11","Open (Grade 9 - 12 level)","4141"
"2011-2012","ASM4E","Media Arts","Grade 12","Workplace Preparation (Grade 11 & 12 level)","149"
"2011-2012","ASM4M","Media Arts","Grade 12","University/College Preparation (Grade 11 & 12 level)","2303"
"2011-2012","ASM4O","Media Arts","Grade 12","Open (Grade 9 - 12 level)","17"
"2011-2012","ATB1O","Dance - Ballet","Grade 9","Open (Grade 9 - 12 level)","285"
"2011-2012","ATB2O","Dance - Ballet","Grade 10","Open (Grade 9 - 12 level)","279"
"2011-2012","ATB3M","Dance - Ballet","Grade 11","University/College Preparation (Grade 11 & 12 level)","267"
"2011-2012","ATB4M","Dance - Ballet","Grade 12","University/College Preparation (Grade 11 & 12 level)","179"
"2011-2012","ATC1O","Dance","Grade 9","Open (Grade 9 - 12 level)","3372"
"2011-2012","ATC2O","Dance","Grade 10","Open (Grade 9 - 12 level)","5683"
"2011-2012","ATC3M","Dance","Grade 11","University/College Preparation (Grade 11 & 12 level)","2317"
"2011-2012","ATC3O","Dance","Grade 11","Open (Grade 9 - 12 level)","876"
"2011-2012","ATC4E","Dance","Grade 12","Workplace Preparation (Grade 11 & 12 level)","12"
"2011-2012","ATC4M","Dance","Grade 12","University/College Preparation (Grade 11 & 12 level)","1587"
"2011-2012","ATD2O","Dance - Composition","Grade 10","Open (Grade 9 - 12 level)","<10"
"2011-2012","ATD3M","Dance - Composition","Grade 11","University/College Preparation (Grade 11 & 12 level)","48"
"2011-2012","ATD4M","Dance - Composition","Grade 12","University/College Preparation (Grade 11 & 12 level)","195"
"2011-2012","ATF3M","Dance - African","Grade 11","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ATF4M","Dance - African","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ATJ2O","Dance - Jazz","Grade 10","Open (Grade 9 - 12 level)","86"
"2011-2012","ATJ3M","Dance - Jazz","Grade 11","University/College Preparation (Grade 11 & 12 level)","51"
"2011-2012","ATJ4M","Dance - Jazz","Grade 12","University/College Preparation (Grade 11 & 12 level)","20"
"2011-2012","ATL3M","Dance - Central and South American","Grade 11","University/College Preparation (Grade 11 & 12 level)","28"
"2011-2012","ATM1O","Dance - Modern","Grade 9","Open (Grade 9 - 12 level)","245"
"2011-2012","ATM2O","Dance - Modern","Grade 10","Open (Grade 9 - 12 level)","235"
"2011-2012","ATM3M","Dance - Modern","Grade 11","University/College Preparation (Grade 11 & 12 level)","246"
"2011-2012","ATM4M","Dance - Modern","Grade 12","University/College Preparation (Grade 11 & 12 level)","220"
"2011-2012","ATO2O","Dance - Pacific Rim/Asian","Grade 10","Open (Grade 9 - 12 level)","38"
"2011-2012","ATO3M","Dance - Pacific Rim/Asian","Grade 11","University/College Preparation (Grade 11 & 12 level)","18"
"2011-2012","ATO3O","Dance - Pacific Rim/Asian","Grade 11","Open (Grade 9 - 12 level)","16"
"2011-2012","ATO4M","Dance - Pacific Rim/Asian","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ATP1O","Dance - Performance Practice","Grade 9","Open (Grade 9 - 12 level)","166"
"2011-2012","ATP2O","Dance - Performance Practice","Grade 10","Open (Grade 9 - 12 level)","246"
"2011-2012","ATP3M","Dance - Performance Practice","Grade 11","University/College Preparation (Grade 11 & 12 level)","199"
"2011-2012","ATP3O","Dance - Performance Practice","Grade 11","Open (Grade 9 - 12 level)","27"
"2011-2012","ATP4M","Dance - Performance Practice","Grade 12","University/College Preparation (Grade 11 & 12 level)","253"
"2011-2012","ATQ4T","Jazz","Grade 12","College Delivered (Dual Credits)","<10"
"2011-2012","ATR3O","Hip Hop and Urban","Grade 11","Open (Grade 9 - 12 level)","36"
"2011-2012","ATS2O","Social Dance (Ballroom, Swing, Traditional)","Grade 10","Open (Grade 9 - 12 level)","19"
"2011-2012","ATS4M","Social Dance (Ballroom, Swing, Traditional)","Grade 12","University/College Preparation (Grade 11 & 12 level)","<10"
"2011-2012","ATU2O","Dance - Music Theatre","Grade 10","Open (Grade 9 - 12 level)","18"
"2011-2012","ATU3M","Dance - Music Theatre","Grade 11","University/College Preparation (Grade 11 & 12 level)","45"
"2011-2012","ATU4M","Dance - Music Theatre","Grade 12","University/College Preparation (Grade 11 & 12 level)","75"
"2011-2012","ATZ3O","World Cultures","Grade 11","Open (Grade 9 - 12 level)","<10"
"2011-2012","AVA4T","Ideas and Imagery","Grade 12","College Delivered (Dual Credits)","26"
"2011-2012","AVI1O","Visual Arts","Grade 9","Open (Grade 9 - 12 level)","53575"
"2011-2012","AVI2O","Visual Arts","Grade 10","Open (Grade 9 - 12 level)","34907"
"2011-2012","AVI3M","Visual Arts","Grade 11","University/College Preparation (Grade 11 & 12 level)","18684"
"2011-2012","AVI3O","Visual Arts","Grade 11","Open (Grade 9 - 12 level)","5686"
"2011-2012","AVI4E","Visual Arts","Grade 12","Workplace Preparation (Grade 11 & 12 level)","537"
"2011-2012","AVI4M","Visual Arts","Grade 12","University/College Preparation (Grade 11 & 12 level)","12947"
"2011-2012","AWA1O","Visual Arts - Crafts","Grade 9","Open (Grade 9 - 12 level)","270"
"2011-2012","AWA2O","Visual Arts - Crafts","Grade 10","Open (Grade 9 - 12 level)","2397"
"2011-2012","AWA3M","Visual Arts - Crafts","Grade 11","University/College Preparation (Grade 11 & 12 level)","65"
"2011-2012","AWA3O","Visual Arts - Crafts","Grade 11","Open (Grade 9 - 12 level)","1998"
"2011-2012","AWA4M","Visual Arts - Crafts","Grade 12","University/College Preparation (Grade 11 & 12 level)","365"
"2011-2012","AWC2O","Visual Arts - Ceramics","Grade 10","Open (Grade 9 - 12 level)","602"
"2011-2012","AWC3M","Visual Arts - Ceramics","Grade 11","University/College Preparation (Grade 11 & 12 level)","424"
"2011-2012","AWC3O","Visual Arts - Ceramics","Grade 11","Open (Grade 9 - 12 level)","641"
"2011-2012","AWC4M","Visual Arts - Ceramics","Grade 12","University/College Preparation (Grade 11 & 12 level)","496"
"2011-2012","AWD1O","Visual Arts - Visual Design","Grade 9","Open (Grade 9 - 12 level)","291"
"2011-2012","AWD2O","Visual Arts - Visual Design","Grade 10","Open (Grade 9 - 12 level)","729"
"2011-2012","AWD3M","Visual Arts - Visual Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","1187"
"2011-2012","AWD3O","Visual Arts - Visual Design","Grade 11","Open (Grade 9 - 12 level)","361"
"2011-2012","AWD4M","Visual Arts - Visual Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","1425"
"2011-2012","AWE2O","Visual Arts - Information/Consumer Design","Grade 10","Open (Grade 9 - 12 level)","80"
"2011-2012","AWE3M","Visual Arts - Information/Consumer Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","356"
"2011-2012","AWE3O","Visual Arts - Information/Consumer Design","Grade 11","Open (Grade 9 - 12 level)","244"
"2011-2012","AWE4M","Visual Arts - Information/Consumer Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","642"
"2011-2012","AWF2O","Visual Arts - Industrial Design","Grade 10","Open (Grade 9 - 12 level)","72"
"2011-2012","AWF3M","Visual Arts - Industrial Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","46"
"2011-2012","AWF3O","Visual Arts - Industrial Design","Grade 11","Open (Grade 9 - 12 level)","18"
"2011-2012","AWF4M","Visual Arts - Industrial Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","79"
"2011-2012","AWG3M","Visual Arts - Environmental Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","23"
"2011-2012","AWG3O","Visual Arts - Environmental Design","Grade 11","Open (Grade 9 - 12 level)","23"
"2011-2012","AWG4M","Visual Arts - Environmental Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","17"
"2011-2012","AWH2O","Visual Arts - Interior Design","Grade 10","Open (Grade 9 - 12 level)","23"
"2011-2012","AWH3M","Visual Arts - Interior Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","85"
"2011-2012","AWH3O","Visual Arts - Interior Design","Grade 11","Open (Grade 9 - 12 level)","111"
"2011-2012","AWH4M","Visual Arts - Interior Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","140"
"2011-2012","AWI1O","Visual Arts - Fashion and Textile Design","Grade 9","Open (Grade 9 - 12 level)","51"
"2011-2012","AWI2O","Visual Arts - Fashion and Textile Design","Grade 10","Open (Grade 9 - 12 level)","226"
"2011-2012","AWI3M","Visual Arts - Fashion and Textile Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","97"
"2011-2012","AWI3O","Visual Arts - Fashion and Textile Design","Grade 11","Open (Grade 9 - 12 level)","267"
"2011-2012","AWI4M","Visual Arts - Fashion and Textile Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","147"
"2011-2012","AWJ2O","Visual Arts - Stage Design","Grade 10","Open (Grade 9 - 12 level)","<10"
"2011-2012","AWJ3M","Visual Arts - Stage Design","Grade 11","University/College Preparation (Grade 11 & 12 level)","119"
"2011-2012","AWJ3O","Visual Arts - Stage Design","Grade 11","Open (Grade 9 - 12 level)","19"
"2011-2012","AWJ4M","Visual Arts - Stage Design","Grade 12","University/College Preparation (Grade 11 & 12 level)","41"
"2011-2012","AWK1O","Visual Arts - Illustration","Grade 9","Open (Grade 9 - 12 level)","22"
"2011-2012","AWK2O","Visual Arts - Illustration","Grade 10","Open (Grade 9 - 12 level)","171"
"2011-2012","AWK3M","Visual Arts - Illustration","Grade 11","University/College Preparation (Grade 11 & 12 level)","138"
"2011-2012","AWK3O","Visual Arts - Illustration","Grade 11","Open (Grade 9 - 12 level)","125"
"2011-2012","AWK4M","Visual Arts - Illustration","Grade 12","University/College Preparation (Grade 11 & 12 level)","328"
"2011-2012","AWL1O","Visual Arts - Drawing","Grade 9","Open (Grade 9 - 12 level)","52"
"2011-2012","AWL2O","Visual Arts - Drawing","Grade 10","Open (Grade 9 - 12 level)","144"
"2011-2012","AWL3M","Visual Arts - Drawing","Grade 11","University/College Preparation (Grade 11 & 12 level)","391"
"2011-2012","AWL3O","Visual Arts - Drawing","Grade 11","Open (Grade 9 - 12 level)","117"
"2011-2012","AWL4M","Visual Arts - Drawing","Grade 12","University/College Preparation (Grade 11 & 12 level)","395"
"2011-2012","AWM1O","Visual Arts - Drawing and Painting","Grade 9","Open (Grade 9 - 12 level)","297"
"2011-2012","AWM2O","Visual Arts - Drawing and Painting","Grade 10","Open (Grade 9 - 12 level)","543"
"2011-2012","AWM3M","Visual Arts - Drawing and Painting","Grade 11","University/College Preparation (Grade 11 & 12 level)","869"
"2011-2012","AWM3O","Visual Arts - Drawing and Painting","Grade 11","Open (Grade 9 - 12 level)","309"
"2011-2012","AWM4M","Visual Arts - Drawing and Painting","Grade 12","University/College Preparation (Grade 11 & 12 level)","1478"
"2011-2012","AWN2O","Visual Arts - Painting","Grade 10","Open (Grade 9 - 12 level)","<10"
"2011-2012","AWN3M","Visual Arts - Painting","Grade 11","University/College Preparation (Grade 11 & 12 level)","73"
"2011-2012","AWN3O","Visual Arts - Painting","Grade 11","Open (Grade 9 - 12 level)","165"
"2011-2012","AWN4M","Visual Arts - Painting","Grade 12","University/College Preparation (Grade 11 & 12 level)","351"
"2011-2012","AWO1O","Visual Arts - Printmaking","Grade 9","Open (Grade 9 - 12 level)","24"
"2011-2012","AWO2O","Visual Arts - Printmaking","Grade 10","Open (Grade 9 - 12 level)","135"
"2011-2012","AWO3M","Visual Arts - Printmaking","Grade 11","University/College Preparation (Grade 11 & 12 level)","207"
"2011-2012","AWO3O","Visual Arts - Printmaking","Grade 11","Open (Grade 9 - 12 level)","282"
