"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2011-2012","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5496,5528,5923,8978,25925
"2011-2012","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",593,616,622,717,2548
"2011-2012","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",7171,7083,7520,9360,31134
"2011-2012","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17859,19280,20424,28422,85985
"2011-2012","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1491,1449,1798,2310,7048
"2011-2012","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2237,2343,2613,4853,12046
"2011-2012","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2809,2638,2752,4051,12250
"2011-2012","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1485,1665,1659,2409,7218
"2011-2012","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4564,4800,4932,7185,21481
"2011-2012","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",565,643,636,825,2669
"2011-2012","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1889,2031,2284,2599,8803
"2011-2012","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4498,4474,4545,5013,18530
"2011-2012","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",8730,9236,9726,12822,40514
"2012-2013","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",804,851,893,1464,4012
"2012-2013","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",912,848,1133,1464,4357
"2012-2013","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1366,1326,1460,2227,6379
"2012-2013","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1278,1284,1319,2169,6050
"2012-2013","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",795,840,861,1232,3728
"2012-2013","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",298,269,307,434,1308
"2012-2013","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",1098,1052,1081,1406,4637
"2012-2013","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",860,967,924,1196,3947
"2012-2013","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",364,404,360,452,1580
"2012-2013","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",418,383,385,438,1624
"2012-2013","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",136,136,165,268,705
"2012-2013","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",94,99,90,167,450
"2012-2013","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",741,680,712,728,2861
"2012-2013","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",759,786,827,1082,3454
"2012-2013","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",33,22,16,28,99
"2012-2013","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",498,515,496,608,2117
"2012-2013","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1256,1181,1171,1157,4765
"2012-2013","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",459,474,506,497,1936
"2012-2013","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",223,204,214,302,943
"2012-2013","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2842,2762,3093,4923,13620
"2012-2013","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",694,775,786,1233,3488
"2012-2013","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7633,7826,8219,10493,34171
"2012-2013","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1681,1876,2001,2607,8165
"2012-2013","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5120,5216,5288,7568,23192
