"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2014-2015","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1440,1426,1569,2745,7180
"2014-2015","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1490,1639,1555,2253,6937
"2014-2015","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",739,767,855,1151,3512
"2014-2015","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1645,1752,1807,2156,7360
"2014-2015","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",227,206,210,242,885
"2014-2015","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",103,78,86,131,398
"2014-2015","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3000,3335,3372,3991,13698
"2014-2015","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5198,5120,5511,8217,24046
"2014-2015","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9579,9876,10203,13392,43050
"2014-2015","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1082,1089,1105,1283,4559
"2014-2015","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1080,1092,1138,1880,5190
"2014-2015","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",248,246,264,408,1166
"2014-2015","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",244,231,241,287,1003
"2014-2015","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",732,799,860,1164,3555
"2014-2015","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3545,3829,3926,5077,16377
"2014-2015","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1521,1646,1656,2043,6866
"2014-2015","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",565,627,591,818,2601
"2014-2015","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",474,476,485,616,2051
"2014-2015","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",168,201,201,248,818
"2014-2015","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5101,5314,5505,7821,23741
"2014-2015","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",571,557,543,601,2272
"2014-2015","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6692,7199,7178,9250,30319
"2014-2015","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16520,17009,18025,25195,76749
"2014-2015","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1299,1417,1511,2094,6321
"2014-2015","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2047,2131,2266,3775,10219
"2014-2015","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2439,2585,2557,4015,11596
"2014-2015","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1475,1552,1601,1976,6604
"2014-2015","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4400,4481,4646,6541,20068
"2014-2015","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",557,599,595,809,2560
"2014-2015","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1819,1889,1977,2106,7791
"2014-2015","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4355,4490,4463,4911,18219
"2014-2015","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9054,9136,9193,11476,38859
"2015-2016","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",713,762,801,1166,3442
"2015-2016","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1178,1182,1360,1971,5691
"2015-2016","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1158,1042,1063,1789,5052
"2015-2016","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",525,439,393,484,1841
"2015-2016","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",131,127,139,201,598
"2015-2016","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",94,97,102,194,487
"2015-2016","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",808,856,890,1067,3621
"2015-2016","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2744,2625,2786,4099,12254
"2015-2016","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",578,614,637,1010,2839
"2015-2016","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5241,5003,5235,6165,21644
"2015-2016","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1978,1944,2040,3300,9262
"2015-2016","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2821,2754,2703,3397,11675
"2015-2016","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4226,4196,4278,5975,18675
"2015-2016","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3331,3282,3474,4966,15053
"2015-2016","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1099,1143,1167,1532,4941
"2015-2016","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",29,45,42,66,182
"2015-2016","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2211,2176,2355,3501,10243
"2015-2016","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",455,457,498,741,2151
"2015-2016","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",677,691,758,896,3022
"2015-2016","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1719,1671,1776,2577,7743
"2015-2016","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1379,1461,1460,2651,6951
"2015-2016","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",795,757,816,1166,3534
"2015-2016","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5196,5208,5353,8176,23933
"2015-2016","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9821,9691,9955,12918,42385
"2015-2016","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1089,1082,1105,1773,5049
"2015-2016","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",244,237,245,413,1139
"2015-2016","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",765,735,830,1147,3477
"2015-2016","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3682,3582,3869,4839,15972
"2015-2016","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",181,169,187,232,769
"2015-2016","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5385,5167,5337,7735,23624
"2015-2016","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16016,17048,17219,24422,74705
"2015-2016","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1393,1326,1446,1969,6134
"2015-2016","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1940,2052,2233,3664,9889
"2015-2016","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2504,2514,2674,3832,11524
"2015-2016","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4561,4440,4524,6457,19982
"2015-2016","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9120,9488,9521,11093,39222
"2015-2016","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",876,816,1060,1285,4037
"2015-2016","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",824,779,790,999,3392
"2015-2016","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",342,333,333,414,1422
"2015-2016","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",958,997,1040,1261,4256
"2015-2016","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",876,697,775,698,3046
"2015-2016","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",226,214,217,253,910
"2015-2016","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",714,690,744,782,2930
"2015-2016","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",33,27,39,27,126
"2015-2016","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",419,442,491,563,1915
"2015-2016","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1269,1226,1257,1213,4965
"2015-2016","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",434,404,375,423,1636
"2015-2016","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",438,434,432,391,1695
"2015-2016","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7561,7768,7872,9014,32215
"2015-2016","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1547,1641,1711,2007,6906
"2015-2016","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2774,2481,2487,3010,10752
"2015-2016","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2376,2257,2325,3667,10625
"2015-2016","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",334,328,352,437,1451
"2015-2016","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",365,268,265,430,1328
"2015-2016","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",125,81,92,97,395
"2015-2016","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1438,1499,1646,2114,6697
"2015-2016","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1683,1683,1751,2174,7291
"2015-2016","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",181,230,196,250,857
"2015-2016","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",105,105,79,113,402
"2015-2016","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3059,3168,3406,3909,13542
"2015-2016","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1184,1077,1076,1227,4564
"2015-2016","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",263,237,238,292,1030
"2015-2016","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1653,1538,1619,1948,6758
"2015-2016","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",579,561,625,779,2544
"2015-2016","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",454,460,475,559,1948
"2015-2016","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",577,551,551,603,2282
"2015-2016","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6889,6910,7383,8954,30136
"2015-2016","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1503,1479,1564,2114,6660
"2015-2016","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",547,550,605,818,2520
"2015-2016","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1725,1800,1932,2090,7547
"2015-2016","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4570,4423,4515,4766,18274
"2016-2017","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",721,701,757,1131,3310
"2016-2017","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",856,866,978,1276,3976
"2016-2017","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1166,1234,1304,1858,5562
"2016-2017","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",977,1166,1057,1558,4758
"2016-2017","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",844,825,785,1018,3472
"2016-2017","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",346,363,334,466,1509
"2016-2017","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",912,994,1016,1207,4129
"2016-2017","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",499,507,414,434,1854
"2016-2017","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",824,846,646,784,3100
"2016-2017","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",143,131,136,197,607
"2016-2017","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",86,96,105,197,484
"2016-2017","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",231,215,216,246,908
"2016-2017","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",649,711,660,731,2751
"2016-2017","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",29,32,27,42,130
"2016-2017","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",430,404,447,534,1815
"2016-2017","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1399,1267,1222,1262,5150
"2016-2017","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",421,425,384,378,1608
"2016-2017","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",473,434,422,463,1792
"2016-2017","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",913,821,858,915,3507
"2016-2017","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2598,2789,2659,3919,11965
"2016-2017","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",507,588,589,893,2577
"2016-2017","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7336,7769,7846,8839,31790
"2016-2017","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1499,1584,1664,1979,6726
"2016-2017","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4919,5248,5004,6105,21276
"2016-2017","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1816,2006,1979,3127,8928
"2016-2017","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2697,2709,2833,3378,11617
"2016-2017","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2810,2840,2516,3027,11193
"2016-2017","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4351,4292,4366,6066,19075
"2016-2017","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2316,2420,2242,3599,10577
"2016-2017","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3077,3365,3321,4755,14518
"2016-2017","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1119,1152,1178,1441,4890
"2016-2017","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",291,339,317,439,1386
"2016-2017","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",304,292,278,387,1261
"2016-2017","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",33,27,37,80,177
"2016-2017","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2172,2223,2140,3217,9752
"2016-2017","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",423,477,475,717,2092
"2016-2017","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",105,105,77,96,383
"2016-2017","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",623,674,667,902,2866
"2016-2017","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1570,1766,1709,2445,7490
"2016-2017","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1400,1417,1484,2489,6790
"2016-2017","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1504,1512,1493,2149,6658
"2016-2017","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",743,788,778,1051,3360
"2016-2017","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1593,1687,1691,2189,7160
"2016-2017","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",197,177,227,245,846
"2016-2017","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",92,105,97,120,414
"2016-2017","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3063,3273,3181,3889,13406
"2016-2017","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5259,5291,5449,8063,24062
"2016-2017","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9483,9975,9870,12599,41927
"2016-2017","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1128,1198,1098,1209,4633
"2016-2017","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",927,1101,1061,1785,4874
"2016-2017","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",234,235,236,300,1005
"2016-2017","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",277,250,233,287,1047
"2016-2017","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",713,767,764,1133,3377
"2016-2017","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3544,3743,3606,4774,15667
"2016-2017","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1698,1681,1559,1922,6860
"2016-2017","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",620,571,553,820,2564
"2016-2017","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",463,431,460,580,1934
"2016-2017","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",168,183,165,248,764
"2016-2017","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5176,5454,5299,7790,23719
"2016-2017","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",575,577,536,611,2299
"2016-2017","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6529,7094,7174,9301,30098
"2016-2017","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16072,16570,17635,23633,73910
"2016-2017","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1226,1382,1418,1842,5868
"2016-2017","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1862,1975,2187,3456,9480
"2016-2017","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2447,2625,2599,3882,11553
"2016-2017","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1576,1535,1506,1998,6615
"2016-2017","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4327,4625,4547,6334,19833
"2016-2017","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",538,565,568,827,2498
"2016-2017","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1822,1767,1831,2058,7478
"2016-2017","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4518,4607,4458,4795,18378
"2016-2017","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9122,9485,9776,11118,39501
"2017-2018","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",728,715,713,1074,3230
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",808,880,1050,1140,3878
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1173,1255,1354,1845,5627
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",967,992,1204,1433,4596
"2017-2018","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",835,840,820,1005,3500
"2017-2018","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",378,361,365,494,1598
"2017-2018","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",968,939,986,1156,4049
"2017-2018","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",576,496,480,435,1987
"2017-2018","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",906,784,806,659,3155
"2017-2018","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",157,132,134,175,598
"2017-2018","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",105,81,98,176,460
"2017-2018","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",164,222,209,225,820
"2017-2018","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",655,645,679,678,2657
"2017-2018","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",34,28,31,29,122
"2017-2018","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",404,429,417,495,1745
"2017-2018","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1399,1401,1303,1246,5349
"2017-2018","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",450,408,412,385,1655
"2017-2018","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",509,467,438,447,1861
"2017-2018","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",897,963,910,956,3726
"2017-2018","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2767,2672,2819,3704,11962
"2017-2018","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",555,521,598,816,2490
"2017-2018","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7340,7487,7833,8671,31331
"2017-2018","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1590,1506,1585,1889,6570
"2017-2018","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5104,4978,5309,5773,21164
"2017-2018","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1883,1832,2016,3006,8737
"2017-2018","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2901,2574,2802,3531,11808
"2017-2018","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3090,2868,2905,3035,11898
"2017-2018","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4499,4483,4348,6081,19411
"2017-2018","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2355,2376,2462,3569,10762
"2017-2018","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3247,3128,3426,4621,14422
"2017-2018","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1048,1157,1150,1377,4732
"2017-2018","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",307,290,343,394,1334
"2017-2018","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",332,223,270,345,1170
"2017-2018","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",32,30,25,76,163
"2017-2018","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2145,2193,2226,2952,9516
"2017-2018","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",431,435,483,673,2022
"2017-2018","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",83,97,101,94,375
"2017-2018","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",640,610,676,795,2721
"2017-2018","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1522,1655,1833,2321,7331
"2017-2018","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1370,1417,1461,2382,6630
"2017-2018","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1570,1584,1547,2061,6762
"2017-2018","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",744,743,826,969,3282
"2017-2018","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1575,1599,1704,2103,6981
"2017-2018","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",193,195,179,242,809
"2017-2018","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",103,95,100,148,446
"2017-2018","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3218,3253,3336,3744,13551
"2017-2018","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5456,5422,5513,8046,24437
"2017-2018","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9909,9617,10157,12396,42079
"2017-2018","B67067","Peterborough Victoria Northumberland Clarington CDSB","Cath Dist Sch Brd (E/F)",1185,1132,1184,1205,4706
"2017-2018","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",945,945,1090,1633,4613
"2017-2018","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",222,226,227,261,936
"2017-2018","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",257,288,249,303,1097
"2017-2018","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",715,714,772,1034,3235
"2017-2018","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3684,3571,3821,4498,15574
"2017-2018","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1726,1688,1668,1790,6872
"2017-2018","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",675,602,545,750,2572
"2017-2018","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",440,452,456,573,1921
"2017-2018","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",170,168,170,201,709
"2017-2018","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5295,5322,5529,7598,23744
"2017-2018","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",553,568,547,601,2269
"2017-2018","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6596,6821,7304,8904,29625
"2017-2018","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16088,16610,16998,23718,73414
"2017-2018","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1338,1232,1376,1829,5775
"2017-2018","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1968,1883,2126,3200,9177
"2017-2018","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2549,2526,2669,3744,11488
"2017-2018","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1617,1618,1540,1987,6762
"2017-2018","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4597,4410,4707,6237,19951
"2017-2018","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",549,550,565,759,2423
"2017-2018","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1728,1809,1859,1927,7323
"2017-2018","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4159,4535,4674,4714,18082
"2017-2018","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9293,9555,9897,11454,40199
"2018-2019","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",765,725,735,1040,3260
"2018-2019","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",825,810,1045,1120,3800
"2018-2019","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1145,1195,1350,1820,5515
"2018-2019","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1000,985,1025,1515,4525
"2018-2019","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",910,835,820,1055,3625
"2018-2019","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",400,380,360,510,1650
"2018-2019","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",905,1025,905,1070,3905
"2018-2019","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",580,545,460,500,2080
"2018-2019","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",910,845,760,815,3330
"2018-2019","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",170,145,135,190,640
"2018-2019","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",85,95,75,160,415
"2018-2019","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",195,165,220,235,815
"2018-2019","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",670,650,625,690,2635
"2018-2019","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",35,35,25,30,130
