"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2003,12,"550","550 - Guelph",1694,1356,135,203,1356,223,115,161,1160,373,852,842,387,202,1105
2003,12,"555","555 - London",8808,6822,655,1331,6822,1223,763,566,6097,2145,4532,4276,1980,1289,5539
2003,12,"559","559 - Windsor",5611,4430,397,784,4430,739,442,332,3655,1624,2809,2802,1164,786,3661
2003,12,"568","568 - Barrie",2111,1661,202,248,1661,284,166,200,1440,471,1064,1047,494,338,1279
2003,12,"580","580 - Greater Sudbury",4292,3308,355,629,3308,620,364,311,3093,888,2226,2065,854,677,2761
2003,12,"595","595 - Thunder Bay",3327,2648,319,360,2648,426,253,216,2463,648,1721,1606,703,467,2157
2004,3,"505","505 - Ottawa--Gatineau",15191,11864,1257,2070,11864,1938,1389,915,9988,4288,7895,7296,3235,2083,9873
2004,3,"521","521 - Kingston",3949,2960,345,644,2960,591,398,273,2849,827,2060,1889,739,504,2706
2004,3,"529","529 - Peterborough",2457,1927,162,368,1927,337,193,212,1703,542,1270,1187,524,349,1584
2004,3,"532","532 - Oshawa",4209,3417,339,453,3417,512,280,371,2880,958,2092,2115,1019,673,2517
2004,3,"535","535 - Toronto",63330,50455,4126,8749,50455,8448,4427,3811,36686,22833,32900,30430,16192,9949,37189
2004,3,"537","537 - Hamilton",13550,10472,1114,1964,10472,1878,1200,868,9250,3432,7111,6439,2842,1672,9036
2004,3,"539","539 - St. Catharines--Niagara",8444,6424,734,1286,6424,1226,794,536,5793,2115,4345,4099,1758,1185,5501
2004,3,"541","541 - Kitchener--Cambridge--Waterloo",5687,4507,409,771,4507,758,422,530,3760,1397,2879,2808,1450,851,3386
2004,3,"543","543 - Brantford",3306,2428,344,534,2428,511,367,259,2245,802,1692,1614,737,443,2126
2004,3,"550","550 - Guelph",1701,1364,132,205,1364,218,119,161,1176,364,858,843,384,219,1098
2004,3,"555","555 - London",8828,6854,655,1319,6854,1201,773,571,6127,2130,4527,4301,1973,1293,5562
2004,3,"559","559 - Windsor",5726,4500,408,818,4500,764,462,357,3698,1671,2867,2859,1270,775,3681
2004,3,"568","568 - Barrie",2129,1669,199,261,1669,294,166,207,1440,482,1073,1056,499,322,1308
2004,3,"580","580 - Greater Sudbury",4300,3316,358,626,3316,615,369,308,3097,895,2220,2079,841,675,2784
2004,3,"595","595 - Thunder Bay",3371,2680,325,366,2680,436,255,229,2492,650,1742,1629,726,479,2166
2004,6,"505","505 - Ottawa--Gatineau",15311,11966,1288,2057,11966,1929,1416,941,10085,4285,7950,7361,3315,2081,9915
2004,6,"521","521 - Kingston",3993,3001,344,648,3001,605,387,283,2876,834,2090,1903,783,488,2722
2004,6,"529","529 - Peterborough",2513,1968,169,376,1968,356,189,220,1724,569,1295,1218,544,340,1629
2004,6,"532","532 - Oshawa",4314,3500,351,463,3500,526,288,371,2969,974,2147,2165,1058,693,2563
2004,6,"535","535 - Toronto",63832,50909,4230,8693,50909,8447,4476,3887,37263,22682,33225,30607,16617,9804,37411
2004,6,"537","537 - Hamilton",13719,10612,1137,1970,10612,1888,1219,869,9336,3514,7204,6515,2884,1700,9135
2004,6,"539","539 - St. Catharines--Niagara",8589,6511,760,1318,6511,1251,827,552,5880,2157,4433,4156,1811,1194,5584
2004,6,"541","541 - Kitchener--Cambridge--Waterloo",5795,4593,423,779,4593,768,434,553,3814,1428,2949,2846,1504,863,3428
2004,6,"543","543 - Brantford",3356,2462,360,534,2462,531,363,257,2280,819,1700,1656,757,441,2158
2004,6,"550","550 - Guelph",1748,1398,136,214,1398,224,126,166,1208,374,876,872,415,213,1120
2004,6,"555","555 - London",8907,6886,670,1351,6886,1243,778,575,6152,2180,4561,4346,2041,1257,5609
2004,6,"559","559 - Windsor",5847,4571,438,838,4571,789,487,368,3761,1718,2933,2914,1340,777,3730
2004,6,"568","568 - Barrie",2138,1685,203,250,1685,282,171,212,1450,476,1075,1063,486,322,1330
2004,6,"580","580 - Greater Sudbury",4331,3351,364,616,3351,625,355,317,3108,906,2250,2080,846,673,2812
2004,6,"595","595 - Thunder Bay",3415,2707,333,375,2707,451,257,228,2522,665,1767,1648,738,488,2189
2004,9,"505","505 - Ottawa--Gatineau",15459,12118,1299,2042,12118,1941,1400,960,10168,4331,8041,7418,3447,2037,9975
2004,9,"521","521 - Kingston",4007,3028,346,633,3028,591,388,286,2879,842,2101,1906,772,504,2731
2004,9,"529","529 - Peterborough",2532,1992,167,373,1992,347,193,231,1722,579,1302,1230,552,335,1645
2004,9,"532","532 - Oshawa",4377,3573,357,447,3573,513,291,390,3011,976,2174,2201,1095,653,2629
2004,9,"535","535 - Toronto",64251,51330,4275,8646,51330,8416,4505,4001,37615,22635,33454,30797,17137,9350,37764
2004,9,"537","537 - Hamilton",13847,10716,1163,1968,10716,1909,1222,905,9392,3550,7265,6582,2979,1686,9182
2004,9,"539","539 - St. Catharines--Niagara",8662,6594,743,1325,6594,1240,828,572,5912,2178,4475,4187,1826,1166,5670
2004,9,"541","541 - Kitchener--Cambridge--Waterloo",5855,4646,422,787,4646,775,434,562,3860,1433,2990,2865,1500,851,3504
2004,9,"543","543 - Brantford",3362,2470,358,534,2470,531,361,265,2281,816,1700,1662,746,452,2164
2004,9,"550","550 - Guelph",1759,1408,147,204,1408,218,133,167,1215,377,887,872,432,202,1125
2004,9,"555","555 - London",8966,6947,684,1335,6947,1245,774,562,6210,2194,4595,4371,2019,1242,5705
2004,9,"559","559 - Windsor",5902,4619,448,835,4619,789,494,384,3797,1721,2971,2931,1355,777,3770
2004,9,"568","568 - Barrie",2175,1715,204,256,1715,277,183,220,1474,481,1087,1088,499,314,1362
2004,9,"580","580 - Greater Sudbury",4401,3396,381,624,3396,642,363,323,3173,905,2284,2116,864,657,2880
2004,9,"595","595 - Thunder Bay",3437,2737,324,376,2737,447,253,230,2518,689,1785,1652,730,469,2238
2004,12,"505","505 - Ottawa--Gatineau",15540,12150,1344,2046,12150,1970,1420,958,10227,4355,8075,7465,3551,2015,9974
2004,12,"521","521 - Kingston",4061,3072,362,627,3072,598,391,291,2916,854,2123,1938,817,500,2744
2004,12,"529","529 - Peterborough",2541,2004,169,368,2004,333,204,232,1736,573,1319,1222,565,327,1649
2004,12,"532","532 - Oshawa",4418,3590,373,455,3590,532,296,397,3032,989,2194,2222,1120,633,2665
2004,12,"535","535 - Toronto",64278,51433,4280,8565,51433,8307,4538,4029,37863,22386,33495,30783,17521,8983,37774
2004,12,"537","537 - Hamilton",13922,10783,1176,1963,10783,1907,1232,911,9454,3557,7305,6617,3070,1667,9185
2004,12,"539","539 - St. Catharines--Niagara",8715,6639,750,1326,6639,1250,826,578,5928,2209,4494,4221,1851,1134,5730
2004,12,"541","541 - Kitchener--Cambridge--Waterloo",5915,4712,407,796,4712,771,432,575,3867,1473,3035,2880,1537,836,3542
2004,12,"543","543 - Brantford",3376,2466,364,546,2466,544,366,267,2286,823,1708,1668,743,453,2180
2004,12,"550","550 - Guelph",1775,1425,151,199,1425,219,131,165,1225,385,898,877,442,207,1126
2004,12,"555","555 - London",8991,6958,689,1344,6958,1253,780,576,6221,2194,4609,4382,2037,1197,5757
2004,12,"559","559 - Windsor",5952,4641,456,855,4641,803,508,386,3826,1740,2999,2953,1372,764,3816
2004,12,"568","568 - Barrie",2221,1763,204,254,1763,280,178,231,1501,489,1109,1112,516,320,1385
2004,12,"580","580 - Greater Sudbury",4428,3404,383,641,3404,645,379,318,3206,904,2287,2140,855,659,2914
2004,12,"595","595 - Thunder Bay",3481,2774,330,377,2774,456,251,233,2551,697,1812,1669,734,463,2284
2005,3,"505","505 - Ottawa--Gatineau",15663,12273,1366,2024,12273,1993,1397,1008,10303,4352,8150,7513,3672,1983,10008
2005,3,"521","521 - Kingston",4075,3074,369,632,3074,605,396,292,2908,875,2110,1965,813,494,2768
2005,3,"529","529 - Peterborough",2540,2000,177,363,2000,329,211,223,1732,585,1315,1225,562,312,1666
2005,3,"532","532 - Oshawa",4500,3644,392,464,3644,546,310,409,3089,1002,2235,2263,1178,630,2692
2005,3,"535","535 - Toronto",64394,51608,4316,8470,51608,8221,4565,4083,38124,22187,33575,30819,17763,8821,37810
