"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2006,9,"555","555 - London",8107,4035,3057,1015,4035,1810,2262,1885,5682,540,3373,4734,2457,2197,848,2605
2006,9,"559","559 - Windsor",7387,3663,2924,800,3663,1665,2059,1828,5043,516,2934,4453,1981,2130,847,2429
2006,9,"568","568 - Barrie",1912,1078,706,128,1078,458,376,512,1290,110,768,1144,743,617,201,351
2006,9,"580","580 - Greater Sudbury",3183,1709,1207,267,1709,780,694,865,2176,142,1297,1886,968,814,325,1076
2006,9,"595","595 - Thunder Bay",1915,968,814,133,968,447,500,438,1381,96,750,1165,578,569,237,531
2006,12,"505","505 - Ottawa--Gatineau",15488,8495,5268,1725,8495,2754,4239,3159,11151,1178,6797,8691,4280,4193,1565,5450
2006,12,"521","521 - Kingston",2595,1395,951,249,1395,603,597,653,1801,141,1046,1549,866,663,258,808
2006,12,"529","529 - Peterborough",2320,1293,795,232,1293,514,513,668,1528,124,1020,1300,678,630,272,740
2006,12,"532","532 - Oshawa",4393,2261,1790,342,2261,1083,1049,1145,2973,275,1659,2734,1504,1223,468,1198
2006,12,"535","535 - Toronto",83070,46468,27855,8747,46468,16186,20416,14557,60295,8218,36095,46975,20649,22281,9665,30475
2006,12,"537","537 - Hamilton",10127,5012,3935,1180,5012,2211,2904,2280,7157,690,4259,5868,3028,2789,1141,3169
2006,12,"539","539 - St. Catharines--Niagara",6508,3415,2436,657,3415,1437,1656,1507,4578,423,2695,3813,2423,1710,727,1648
2006,12,"541","541 - Kitchener--Cambridge--Waterloo",5871,2910,2300,661,2910,1358,1603,1307,4106,458,2415,3456,1983,1594,566,1728
2006,12,"543","543 - Brantford",1561,683,732,146,683,423,455,446,1048,67,538,1023,522,485,175,379
2006,12,"550","550 - Guelph",974,530,353,91,530,224,220,220,698,56,421,553,428,280,85,181
2006,12,"555","555 - London",7936,4089,2911,936,4089,1712,2135,1860,5565,511,3370,4566,2552,2130,828,2426
2006,12,"559","559 - Windsor",7321,3712,2825,784,3712,1641,1968,1836,4988,497,2982,4339,2073,2018,862,2368
2006,12,"568","568 - Barrie",1911,1103,677,131,1103,444,364,524,1269,118,851,1060,865,530,173,343
2006,12,"580","580 - Greater Sudbury",2956,1646,1074,236,1646,678,632,803,2009,144,1237,1719,919,710,306,1021
2006,12,"595","595 - Thunder Bay",1848,941,766,141,941,424,483,384,1355,109,745,1103,589,548,205,506
2007,3,"505","505 - Ottawa--Gatineau",15708,8878,5156,1674,8878,2681,4149,3281,11229,1198,7092,8616,4564,4339,1519,5286
2007,3,"521","521 - Kingston",2683,1474,945,264,1474,594,615,698,1859,126,1140,1543,914,717,243,809
2007,3,"529","529 - Peterborough",2444,1383,791,270,1383,545,516,700,1608,136,1126,1318,768,643,246,787
2007,3,"532","532 - Oshawa",4625,2463,1758,404,2463,1082,1080,1246,3106,273,1903,2722,1452,1425,479,1269
2007,3,"535","535 - Toronto",84427,47823,27853,8751,47823,16154,20450,15150,61078,8199,37378,47049,20590,23593,9628,30616
2007,3,"537","537 - Hamilton",10301,5208,3864,1229,5208,2211,2882,2383,7257,661,4488,5813,2885,3047,1131,3238
2007,3,"539","539 - St. Catharines--Niagara",6948,3814,2449,685,3814,1485,1649,1656,4854,438,2984,3964,2329,2201,682,1736
2007,3,"541","541 - Kitchener--Cambridge--Waterloo",6076,3092,2310,674,3092,1399,1585,1373,4246,457,2602,3474,2129,1643,596,1708
2007,3,"543","543 - Brantford",1629,759,730,140,759,412,458,469,1094,66,612,1017,522,514,209,384
2007,3,"550","550 - Guelph",1047,603,343,101,603,225,219,246,743,58,451,596,447,325,87,188
2007,3,"555","555 - London",8370,4500,2919,951,4500,1740,2130,2026,5795,549,3733,4637,2671,2427,805,2467
2007,3,"559","559 - Windsor",7659,3996,2860,803,3996,1674,1989,1916,5235,508,3242,4417,2126,2229,878,2426
2007,3,"568","568 - Barrie",2048,1216,683,149,1216,439,393,556,1378,114,956,1092,915,619,174,340
2007,3,"580","580 - Greater Sudbury",2968,1702,1026,240,1702,648,618,835,1983,150,1305,1663,951,780,266,971
2007,3,"595","595 - Thunder Bay",1910,993,759,158,993,432,485,434,1380,96,776,1134,655,548,220,487
2007,6,"505","505 - Ottawa--Gatineau",15308,8558,5170,1580,8558,2672,4078,3256,10889,1163,6622,8686,4326,4391,1479,5112
2007,6,"521","521 - Kingston",2670,1433,985,252,1433,616,621,693,1848,129,1067,1603,897,748,230,795
2007,6,"529","529 - Peterborough",2427,1376,801,250,1376,526,525,712,1567,148,1065,1362,762,650,239,776
2007,6,"532","532 - Oshawa",4676,2406,1885,385,2406,1160,1110,1274,3153,249,1825,2851,1434,1453,508,1281
2007,6,"535","535 - Toronto",83282,46658,28103,8521,46658,16227,20397,15252,60151,7879,36015,47267,19870,23579,9311,30522
2007,6,"537","537 - Hamilton",9974,4978,3823,1173,4978,2160,2836,2281,7031,662,4157,5817,2777,2942,1110,3145
2007,6,"539","539 - St. Catharines--Niagara",6697,3590,2461,646,3590,1468,1639,1608,4644,445,2725,3972,2052,2208,654,1783
2007,6,"541","541 - Kitchener--Cambridge--Waterloo",5920,2945,2359,616,2945,1411,1564,1354,4117,449,2405,3515,1990,1647,577,1706
2007,6,"543","543 - Brantford",1611,753,719,139,753,413,445,493,1064,54,566,1045,519,508,196,388
2007,6,"550","550 - Guelph",983,537,350,96,537,226,220,234,691,58,400,583,371,332,97,183
2007,6,"555","555 - London",8107,4273,2955,879,4273,1781,2053,1983,5575,549,3427,4680,2404,2440,812,2451
2007,6,"559","559 - Windsor",7631,3959,2911,761,3959,1656,2016,1925,5203,503,3172,4459,1995,2367,803,2466
2007,6,"568","568 - Barrie",2000,1142,722,136,1142,466,392,544,1347,109,855,1145,835,652,176,337
2007,6,"580","580 - Greater Sudbury",2864,1548,1080,236,1548,677,639,822,1901,141,1138,1726,932,754,222,956
2007,6,"595","595 - Thunder Bay",1959,960,821,178,960,469,530,459,1402,98,749,1210,649,607,222,481
2007,9,"505","505 - Ottawa--Gatineau",14702,8126,5006,1570,8126,2609,3967,3000,10562,1140,6337,8365,4291,4000,1514,4897
2007,9,"521","521 - Kingston",2562,1356,982,224,1356,598,608,639,1792,131,997,1565,839,724,227,772
2007,9,"529","529 - Peterborough",2382,1352,807,223,1352,531,499,703,1535,144,1040,1342,762,617,235,768
2007,9,"532","532 - Oshawa",4526,2277,1895,354,2277,1146,1103,1207,3076,243,1688,2838,1335,1385,507,1299
2007,9,"535","535 - Toronto",81977,45526,28138,8313,45526,16139,20312,14733,59397,7847,34967,47010,19502,22738,9500,30237
2007,9,"537","537 - Hamilton",9622,4722,3808,1092,4722,2135,2765,2080,6909,633,3937,5685,2783,2696,1080,3063
2007,9,"539","539 - St. Catharines--Niagara",6427,3376,2471,580,3376,1459,1592,1543,4482,402,2536,3891,2140,1794,768,1725
2007,9,"541","541 - Kitchener--Cambridge--Waterloo",5608,2742,2280,586,2742,1333,1533,1262,3902,444,2180,3428,1751,1572,565,1720
2007,9,"543","543 - Brantford",1548,704,705,139,704,398,446,455,1034,59,522,1026,482,463,192,411
2007,9,"550","550 - Guelph",913,477,357,79,477,215,221,199,655,59,365,548,375,278,80,180
2007,9,"555","555 - London",8094,4201,2973,920,4201,1810,2083,1981,5559,554,3398,4696,2569,2255,859,2411
2007,9,"559","559 - Windsor",7312,3693,2866,753,3693,1598,2021,1810,4999,503,2962,4350,1899,2084,830,2499
2007,9,"568","568 - Barrie",2025,1155,743,127,1155,472,398,558,1361,106,858,1167,825,649,183,368
2007,9,"580","580 - Greater Sudbury",2716,1487,1020,209,1487,625,604,721,1848,147,1070,1646,910,712,228,866
2007,9,"595","595 - Thunder Bay",1860,906,782,172,906,441,513,441,1336,83,726,1134,579,594,203,484
2007,12,"505","505 - Ottawa--Gatineau",14264,7889,4853,1522,7889,2531,3844,2900,10256,1108,6260,8004,4339,3814,1487,4624
2007,12,"521","521 - Kingston",2469,1382,872,215,1382,533,554,630,1719,120,1012,1457,852,688,228,701
2007,12,"529","529 - Peterborough",2417,1414,764,239,1414,518,485,694,1569,154,1133,1284,802,655,222,738
2007,12,"532","532 - Oshawa",4675,2451,1846,378,2451,1145,1079,1239,3187,249,1875,2800,1483,1360,529,1303
2007,12,"535","535 - Toronto",80662,45064,27360,8238,45064,15593,20005,14074,58770,7818,34767,45895,20108,21717,9515,29322
2007,12,"537","537 - Hamilton",9610,4831,3712,1067,4831,2102,2677,2065,6893,652,4074,5536,2917,2673,1037,2983
2007,12,"539","539 - St. Catharines--Niagara",6480,3510,2392,578,3510,1409,1561,1568,4501,411,2690,3790,2363,1716,737,1664
2007,12,"541","541 - Kitchener--Cambridge--Waterloo",5655,2792,2253,610,2792,1322,1541,1270,3941,444,2288,3367,2014,1432,534,1675
2007,12,"543","543 - Brantford",1579,721,702,156,721,402,456,448,1067,64,583,996,550,452,180,397
2007,12,"550","550 - Guelph",914,477,351,86,477,208,229,225,635,54,387,527,402,265,82,165
2007,12,"555","555 - London",8224,4317,2924,983,4317,1770,2137,1966,5658,600,3582,4642,2735,2276,835,2378
2007,12,"559","559 - Windsor",7336,3771,2819,746,3771,1560,2005,1702,5117,517,3036,4300,2147,1887,861,2441
2007,12,"568","568 - Barrie",2051,1183,730,138,1183,477,391,557,1389,105,906,1145,857,620,209,365
2007,12,"580","580 - Greater Sudbury",2577,1455,942,180,1455,586,536,714,1729,134,1054,1523,894,694,212,777
2007,12,"595","595 - Thunder Bay",1842,904,762,176,904,416,522,462,1301,79,733,1109,604,553,203,482
2008,3,"505","505 - Ottawa--Gatineau",14448,8134,4791,1523,8134,2506,3808,2958,10383,1107,6440,8008,4302,4106,1426,4614
2008,3,"521","521 - Kingston",2486,1421,835,230,1421,519,546,647,1713,126,1061,1425,845,705,242,694
2008,3,"529","529 - Peterborough",2532,1508,763,261,1508,522,502,751,1629,152,1230,1302,805,777,226,724
2008,3,"532","532 - Oshawa",4847,2631,1845,371,2631,1156,1060,1293,3306,248,1989,2858,1420,1535,525,1367
2008,3,"535","535 - Toronto",82256,46766,27102,8388,46766,15576,19914,14482,59743,8031,36355,45901,20604,22794,9304,29554
2008,3,"537","537 - Hamilton",10020,5139,3721,1160,5139,2119,2762,2201,7144,675,4446,5574,3037,2941,1049,2993
2008,3,"539","539 - St. Catharines--Niagara",6747,3808,2316,623,3808,1407,1532,1709,4621,417,2975,3772,2313,2040,643,1751
2008,3,"541","541 - Kitchener--Cambridge--Waterloo",5936,3055,2257,624,3055,1316,1565,1399,4101,436,2538,3398,2144,1594,549,1649
2008,3,"543","543 - Brantford",1655,789,714,152,789,401,465,483,1103,69,639,1016,605,456,173,421
2008,3,"550","550 - Guelph",1017,557,370,90,557,226,234,263,696,58,450,567,458,310,88,161
2008,3,"555","555 - London",8845,4787,3016,1042,4787,1853,2205,2183,6052,610,4008,4837,2811,2707,889,2438
2008,3,"559","559 - Windsor",7544,3972,2815,757,3972,1569,2003,1768,5256,520,3229,4315,2007,2171,853,2513
2008,3,"568","568 - Barrie",2265,1368,724,173,1368,474,423,635,1518,112,1048,1217,971,706,214,374
2008,3,"580","580 - Greater Sudbury",2673,1537,921,215,1537,564,572,753,1776,144,1139,1534,946,759,237,731
2008,3,"595","595 - Thunder Bay",1887,968,749,170,968,400,519,466,1343,78,778,1109,582,593,235,477
2008,6,"505","505 - Ottawa--Gatineau",14267,7920,4867,1480,7920,2487,3860,2958,10195,1114,6153,8114,4296,4097,1408,4466
2008,6,"521","521 - Kingston",2543,1394,908,241,1394,586,563,673,1742,128,1016,1527,849,760,251,683
2008,6,"529","529 - Peterborough",2509,1475,772,262,1475,542,492,734,1620,155,1154,1355,736,773,262,738
2008,6,"532","532 - Oshawa",4953,2660,1924,369,2660,1189,1104,1392,3320,241,1969,2984,1450,1532,568,1403
2008,6,"535","535 - Toronto",83089,46977,27721,8391,46977,15947,20165,14982,60023,8084,36115,46974,20808,23559,9049,29673
2008,6,"537","537 - Hamilton",10180,5171,3795,1214,5171,2161,2848,2262,7260,658,4396,5784,3029,3159,1036,2956
2008,6,"539","539 - St. Catharines--Niagara",6608,3615,2378,615,3615,1415,1578,1693,4502,413,2777,3831,2140,2041,646,1781
2008,6,"541","541 - Kitchener--Cambridge--Waterloo",6174,3102,2377,695,3102,1434,1638,1426,4287,461,2542,3632,2097,1857,552,1668
2008,6,"543","543 - Brantford",1594,738,700,156,738,405,451,478,1053,63,586,1008,547,485,161,401
2008,6,"550","550 - Guelph",1016,547,382,87,547,235,234,242,713,61,433,583,431,344,83,158
2008,6,"555","555 - London",8896,4748,3067,1081,4748,1934,2214,2203,6054,639,3938,4958,2683,2826,895,2492
2008,6,"559","559 - Windsor",7638,3992,2873,773,3992,1614,2032,1818,5282,538,3171,4467,1958,2325,767,2588
2008,6,"568","568 - Barrie",2179,1303,717,159,1303,474,402,617,1449,113,948,1231,795,784,206,394
2008,6,"580","580 - Greater Sudbury",2611,1489,944,178,1489,558,564,735,1752,124,1043,1568,927,775,233,676
2008,6,"595","595 - Thunder Bay",2035,1007,821,207,1007,459,569,502,1452,81,804,1231,726,591,218,500
2008,9,"505","505 - Ottawa--Gatineau",14057,7806,4790,1461,7806,2521,3730,2846,10075,1136,6057,8000,4447,3940,1357,4313
2008,9,"521","521 - Kingston",2449,1344,884,221,1344,569,536,648,1666,135,990,1459,794,711,253,691
2008,9,"529","529 - Peterborough",2452,1418,755,279,1418,523,511,746,1570,136,1093,1359,726,696,300,730
2008,9,"532","532 - Oshawa",4992,2694,1920,378,2694,1187,1111,1383,3345,264,1973,3019,1573,1386,623,1410
2008,9,"535","535 - Toronto",83456,47276,27900,8280,47276,16008,20172,14835,60406,8215,35993,47463,20919,23859,9149,29529
2008,9,"537","537 - Hamilton",10178,5218,3762,1198,5218,2135,2825,2284,7247,647,4394,5784,3174,3047,1118,2839
2008,9,"539","539 - St. Catharines--Niagara",6580,3556,2377,647,3556,1415,1609,1668,4501,411,2733,3847,2258,1859,688,1775
2008,9,"541","541 - Kitchener--Cambridge--Waterloo",6104,3077,2356,671,3077,1390,1637,1433,4206,465,2511,3593,2082,1819,550,1653
2008,9,"543","543 - Brantford",1525,697,698,130,697,401,427,442,1013,70,545,980,508,479,148,390
2008,9,"550","550 - Guelph",999,525,383,91,525,232,242,209,720,70,411,588,412,310,95,182
2008,9,"555","555 - London",9013,4864,3041,1108,4864,1893,2256,2236,6148,629,4012,5001,2816,2732,969,2496
2008,9,"559","559 - Windsor",7453,3828,2867,758,3828,1608,2017,1736,5193,524,3056,4397,1934,2159,776,2584
2008,9,"568","568 - Barrie",2117,1200,770,147,1200,497,420,568,1445,104,850,1267,768,730,208,411
2008,9,"580","580 - Greater Sudbury",2489,1395,922,172,1395,555,539,660,1699,130,974,1515,862,711,254,662
2008,9,"595","595 - Thunder Bay",1926,922,806,198,922,457,547,481,1372,73,745,1181,644,574,220,488
2008,12,"505","505 - Ottawa--Gatineau",13819,7822,4602,1395,7822,2421,3576,2765,9941,1113,6144,7675,4501,3893,1298,4127
2008,12,"521","521 - Kingston",2402,1349,845,208,1349,546,507,615,1637,150,1028,1374,837,650,254,661
2008,12,"529","529 - Peterborough",2483,1470,714,299,1470,494,519,756,1589,138,1154,1329,814,666,268,735
2008,12,"532","532 - Oshawa",5137,2793,1917,427,2793,1202,1142,1401,3459,277,2087,3050,1670,1420,599,1448
2008,12,"535","535 - Toronto",85211,49142,27450,8619,49142,15822,20247,14745,61940,8526,37952,47259,23124,23554,9343,29190
2008,12,"537","537 - Hamilton",10521,5534,3732,1255,5534,2192,2795,2336,7478,707,4736,5785,3441,3096,1149,2835
2008,12,"539","539 - St. Catharines--Niagara",7209,4097,2386,726,4097,1460,1652,1814,4943,452,3241,3968,2792,1973,719,1725
2008,12,"541","541 - Kitchener--Cambridge--Waterloo",6464,3408,2335,721,3408,1385,1671,1489,4478,497,2790,3674,2324,1854,652,1634
2008,12,"543","543 - Brantford",1638,783,697,158,783,408,447,479,1084,75,642,996,657,459,156,366
2008,12,"550","550 - Guelph",1114,617,388,109,617,239,258,264,785,65,484,630,508,331,102,173
2008,12,"555","555 - London",9585,5354,3032,1199,5354,1912,2319,2345,6584,656,4486,5099,3161,2851,1064,2509
2008,12,"559","559 - Windsor",7478,3929,2767,782,3929,1545,2004,1726,5223,529,3179,4299,2110,2038,867,2463
2008,12,"568","568 - Barrie",2372,1371,824,177,1371,547,454,625,1629,118,1036,1336,993,705,246,428
2008,12,"580","580 - Greater Sudbury",2467,1410,865,192,1410,553,504,641,1687,139,1037,1430,883,668,256,660
2008,12,"595","595 - Thunder Bay",1978,981,801,196,981,457,540,499,1402,77,794,1184,699,622,192,465
2009,3,"505","505 - Ottawa--Gatineau",14597,8606,4548,1443,8606,2446,3545,3098,10356,1143,6743,7854,4791,4374,1388,4044
2009,3,"521","521 - Kingston",2592,1516,843,233,1516,570,506,708,1731,153,1189,1403,915,746,259,672
2009,3,"529","529 - Peterborough",2801,1711,761,329,1711,552,538,907,1739,155,1369,1432,976,768,284,773
2009,3,"532","532 - Oshawa",5724,3305,1945,474,3305,1230,1189,1594,3821,309,2561,3163,1976,1658,587,1503
2009,3,"535","535 - Toronto",91949,54141,28219,9589,54141,16532,21276,16088,66898,8963,42595,49354,25413,26458,10257,29821
2009,3,"537","537 - Hamilton",11800,6482,3829,1489,6482,2381,2937,2676,8371,753,5638,6162,3934,3643,1237,2986
2009,3,"539","539 - St. Catharines--Niagara",7970,4694,2455,821,4694,1541,1735,2031,5429,510,3719,4251,2748,2646,769,1807
2009,3,"541","541 - Kitchener--Cambridge--Waterloo",7310,4056,2422,832,4056,1444,1810,1741,5055,514,3372,3938,2742,2151,742,1675
2009,3,"543","543 - Brantford",1895,968,739,188,968,451,476,561,1254,80,830,1065,796,538,186,375
2009,3,"550","550 - Guelph",1314,754,424,136,754,274,286,327,917,70,629,685,603,408,112,191
2009,3,"555","555 - London",10711,6220,3151,1340,6220,2041,2450,2683,7330,698,5245,5466,3353,3436,1225,2697
2009,3,"559","559 - Windsor",8131,4443,2846,842,4443,1614,2074,1934,5637,560,3618,4513,2416,2329,879,2507
2009,3,"568","568 - Barrie",2859,1767,865,227,1767,584,508,793,1922,144,1366,1493,1277,839,289,454
2009,3,"580","580 - Greater Sudbury",2692,1615,870,207,1615,539,538,736,1809,147,1225,1467,998,755,263,676
2009,3,"595","595 - Thunder Bay",2162,1145,819,198,1145,468,549,559,1508,95,926,1236,767,691,212,492
2009,6,"505","505 - Ottawa--Gatineau",14774,8645,4706,1423,8645,2505,3624,3250,10410,1114,6679,8095,4685,4591,1446,4052
2009,6,"521","521 - Kingston",2665,1580,847,238,1580,570,515,762,1747,156,1191,1474,902,827,270,666
2009,6,"529","529 - Peterborough",2879,1748,795,336,1748,584,547,951,1766,162,1392,1487,913,889,291,786
2009,6,"532","532 - Oshawa",5836,3304,2038,494,3304,1288,1244,1659,3872,305,2544,3292,1726,1938,610,1562
2009,6,"535","535 - Toronto",95539,56229,29159,10151,56229,17166,22144,17256,69171,9112,44261,51278,24105,29586,11217,30631
2009,6,"537","537 - Hamilton",12404,6804,3984,1616,6804,2495,3105,2923,8694,787,5932,6472,3783,4094,1359,3168
2009,6,"539","539 - St. Catharines--Niagara",8170,4685,2625,860,4685,1671,1814,2163,5496,511,3740,4430,2543,2913,792,1922
2009,6,"541","541 - Kitchener--Cambridge--Waterloo",7807,4341,2587,879,4341,1554,1912,1991,5287,529,3583,4224,2584,2649,771,1803
2009,6,"543","543 - Brantford",1923,943,766,214,943,478,502,597,1246,80,795,1128,670,664,200,389
2009,6,"550","550 - Guelph",1392,795,451,146,795,297,300,365,940,87,649,743,554,487,138,213
2009,6,"555","555 - London",11018,6342,3309,1367,6342,2135,2541,2841,7472,705,5291,5727,3096,3697,1297,2928
2009,6,"559","559 - Windsor",8858,4830,3116,912,4830,1778,2250,2149,6123,586,3927,4931,2700,2677,901,2580
2009,6,"568","568 - Barrie",3024,1892,906,226,1892,597,535,860,1995,169,1458,1566,1126,1119,271,508
2009,6,"580","580 - Greater Sudbury",2881,1686,958,237,1686,592,603,844,1884,153,1263,1618,1070,866,269,676
2009,6,"595","595 - Thunder Bay",2300,1188,883,229,1188,495,617,599,1609,92,942,1358,745,766,280,509
2009,9,"505","505 - Ottawa--Gatineau",15022,8778,4782,1462,8778,2540,3704,3239,10586,1197,6697,8325,4843,4434,1635,4110
2009,9,"521","521 - Kingston",2696,1587,870,239,1587,599,510,741,1803,152,1194,1502,953,800,288,655
2009,9,"529","529 - Peterborough",2935,1751,830,354,1751,590,594,968,1810,157,1385,1550,884,933,307,811
2009,9,"532","532 - Oshawa",5897,3355,2067,475,3355,1285,1257,1690,3907,300,2549,3348,1691,1944,686,1576
2009,9,"535","535 - Toronto",101993,60201,30826,10966,60201,18268,23524,18374,73807,9812,47539,54454,24190,32542,12535,32726
2009,9,"537","537 - Hamilton",13046,7185,4150,1711,7185,2548,3313,3021,9153,872,6230,6816,3858,4308,1560,3320
2009,9,"539","539 - St. Catharines--Niagara",8333,4794,2664,875,4794,1679,1860,2205,5578,550,3843,4490,2767,2623,994,1949
2009,9,"541","541 - Kitchener--Cambridge--Waterloo",8012,4420,2700,892,4420,1614,1978,1991,5464,557,3673,4339,2493,2722,880,1917
2009,9,"543","543 - Brantford",1966,977,781,208,977,489,500,587,1284,95,799,1167,714,666,177,409
2009,9,"550","550 - Guelph",1426,823,454,149,823,288,315,351,993,82,664,762,554,480,150,242
2009,9,"555","555 - London",11638,6759,3436,1443,6759,2229,2650,3086,7809,743,5641,5997,3440,3590,1463,3145
2009,9,"559","559 - Windsor",9156,5012,3192,952,5012,1814,2330,2160,6356,640,4122,5034,1912,3378,1093,2773
2009,9,"568","568 - Barrie",3016,1857,946,213,1857,623,536,879,1969,168,1413,1603,1023,1129,306,558
2009,9,"580","580 - Greater Sudbury",3065,1821,979,265,1821,622,622,899,2010,156,1368,1697,1149,936,282,698
2009,9,"595","595 - Thunder Bay",2175,1130,830,215,1130,456,589,560,1518,97,892,1283,695,689,265,526
2009,12,"505","505 - Ottawa--Gatineau",15010,8810,4715,1485,8810,2544,3656,3216,10583,1211,6831,8179,4688,4512,1703,4107
2009,12,"521","521 - Kingston",2670,1621,822,227,1621,556,493,699,1821,150,1213,1457,910,809,296,655
2009,12,"529","529 - Peterborough",2972,1788,822,362,1788,600,584,983,1818,171,1437,1535,869,931,334,838
2009,12,"532","532 - Oshawa",6061,3532,2034,495,3532,1271,1258,1691,4050,320,2714,3347,1708,1904,792,1657
2009,12,"535","535 - Toronto",102818,61106,30525,11187,61106,18046,23666,18087,74627,10104,48506,54312,25327,30446,13241,33804
2009,12,"537","537 - Hamilton",13133,7314,4112,1707,7314,2507,3312,3073,9173,887,6355,6778,3656,4382,1664,3431
2009,12,"539","539 - St. Catharines--Niagara",8484,5014,2533,937,5014,1667,1803,2186,5714,584,4044,4440,2834,2540,1165,1945
2009,12,"541","541 - Kitchener--Cambridge--Waterloo",8061,4505,2651,905,4505,1590,1966,1927,5562,572,3829,4232,2417,2602,1051,1991
2009,12,"543","543 - Brantford",2056,1078,744,234,1078,487,491,623,1313,120,904,1152,754,656,234,412
2009,12,"550","550 - Guelph",1447,845,468,134,845,294,308,373,982,92,671,776,553,462,175,257
2009,12,"555","555 - London",11562,6753,3326,1483,6753,2178,2631,3026,7795,741,5703,5859,3335,3459,1502,3266
2009,12,"559","559 - Windsor",9033,4971,3110,952,4971,1775,2287,2065,6285,683,4117,4916,2240,2799,1150,2844
2009,12,"568","568 - Barrie",3157,2024,926,207,2024,608,525,909,2081,167,1564,1593,1118,1102,377,560
2009,12,"580","580 - Greater Sudbury",3069,1839,970,260,1839,626,604,894,2031,144,1411,1658,1092,969,312,696
2009,12,"595","595 - Thunder Bay",2230,1205,819,206,1205,460,565,575,1558,97,948,1282,744,665,266,555
2010,3,"505","505 - Ottawa--Gatineau",15638,9320,4766,1552,9320,2582,3736,3410,10986,1242,7317,8321,4841,4747,1697,4353
2010,3,"521","521 - Kingston",2877,1774,844,259,1774,572,531,779,1930,168,1362,1515,958,917,308,694
2010,3,"529","529 - Peterborough",3227,1994,847,386,1994,621,612,1062,1973,192,1632,1595,935,971,441,880
2010,3,"532","532 - Oshawa",6431,3791,2108,532,3791,1339,1301,1856,4246,329,2922,3509,1775,1933,912,1811
2010,3,"535","535 - Toronto",106263,63608,30957,11698,63608,18478,24177,18799,77034,10430,50694,55569,24784,30996,14765,35718
2010,3,"537","537 - Hamilton",13776,7817,4182,1777,7817,2575,3384,3267,9570,939,6790,6986,3620,4449,1927,3780
2010,3,"539","539 - St. Catharines--Niagara",8993,5434,2557,1002,5434,1717,1842,2340,6045,608,4403,4590,2773,2927,1157,2136
2010,3,"541","541 - Kitchener--Cambridge--Waterloo",8522,4892,2659,971,4892,1601,2029,2090,5817,615,4113,4409,2526,2666,1147,2183
2010,3,"543","543 - Brantford",2103,1124,749,230,1124,483,496,646,1335,122,940,1163,649,735,286,433
2010,3,"550","550 - Guelph",1542,927,465,150,927,297,318,417,1032,93,721,821,552,511,182,297
2010,3,"555","555 - London",12176,7238,3382,1556,7238,2246,2692,3215,8179,782,6121,6055,3235,3796,1539,3606
2010,3,"559","559 - Windsor",9215,5151,3107,957,5151,1773,2291,2124,6425,666,4235,4980,2138,2846,1260,2971
2010,3,"568","568 - Barrie",3484,2260,970,254,2260,657,567,994,2306,184,1784,1700,1181,1189,487,627
2010,3,"580","580 - Greater Sudbury",3340,2055,990,295,2055,658,627,1017,2170,153,1598,1742,1161,1078,365,736
2010,3,"595","595 - Thunder Bay",2337,1291,827,219,1291,444,602,610,1625,102,1016,1321,757,723,267,590
2010,6,"505","505 - Ottawa--Gatineau",15781,9369,4843,1569,9369,2643,3769,3481,10986,1314,7138,8643,4828,4695,1763,4495
2010,6,"521","521 - Kingston",2909,1748,887,274,1748,594,567,855,1883,171,1313,1596,943,909,332,725
2010,6,"529","529 - Peterborough",3206,1970,849,387,1970,621,615,1077,1943,186,1572,1634,837,964,454,951
2010,6,"532","532 - Oshawa",6418,3740,2158,520,3740,1379,1299,1852,4230,336,2810,3608,1659,1916,870,1973
2010,6,"535","535 - Toronto",106254,63122,31491,11641,63122,18763,24369,19089,76654,10511,49673,56581,24282,30640,14086,37246
2010,6,"537","537 - Hamilton",13761,7698,4297,1766,7698,2663,3400,3268,9553,940,6601,7160,3671,4064,2034,3992
2010,6,"539","539 - St. Catharines--Niagara",9069,5415,2688,966,5415,1764,1890,2472,6011,586,4282,4787,2639,3024,1006,2400
2010,6,"541","541 - Kitchener--Cambridge--Waterloo",8400,4806,2691,903,4806,1610,1984,2105,5690,605,3909,4491,2356,2564,1116,2364
2010,6,"543","543 - Brantford",2101,1075,808,218,1075,515,511,664,1315,122,850,1251,671,663,274,493
2010,6,"550","550 - Guelph",1514,888,480,146,888,309,317,407,1006,101,658,856,548,465,166,335
2010,6,"555","555 - London",12036,7055,3424,1557,7055,2285,2696,3205,8043,788,5838,6198,3076,3658,1470,3832
2010,6,"559","559 - Windsor",9181,5106,3107,968,5106,1764,2311,2166,6346,669,4138,5043,2011,2483,1521,3166
2010,6,"568","568 - Barrie",3500,2218,1025,257,2218,688,594,1017,2273,210,1698,1802,1038,1252,465,745
2010,6,"580","580 - Greater Sudbury",3356,2040,1039,277,2040,660,656,1030,2168,158,1520,1836,1115,1073,418,750
2010,6,"595","595 - Thunder Bay",2400,1263,908,229,1263,513,624,617,1676,107,1007,1393,727,785,285,603
2010,9,"505","505 - Ottawa--Gatineau",15796,9259,4922,1615,9259,2627,3910,3373,11090,1333,7099,8697,4747,4589,1916,4544
