"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2003,12,"539","539 - St. Catharines--Niagara",6271,2957,2518,796,2957,1438,1876,1431,4498,342,2562,3709,2287,1620,678,1686
2003,12,"541","541 - Kitchener--Cambridge--Waterloo",6352,3090,2418,844,3090,1460,1802,1433,4432,487,2713,3639,2081,1706,574,1991
2003,12,"543","543 - Brantford",1536,688,718,130,688,369,479,420,1054,62,538,998,590,430,149,367
2003,12,"550","550 - Guelph",838,427,335,76,427,202,209,176,596,66,310,528,323,250,80,185
2003,12,"555","555 - London",8532,4042,3228,1262,4042,1980,2510,1875,6093,564,3655,4877,2623,2397,839,2673
2003,12,"559","559 - Windsor",6091,2882,2463,746,2882,1349,1860,1283,4336,472,2489,3602,1844,1588,583,2076
2003,12,"568","568 - Barrie",1415,687,605,123,687,341,387,376,956,83,532,883,657,391,130,237
2003,12,"580","580 - Greater Sudbury",3845,2089,1393,363,2089,918,838,1091,2592,162,1656,2189,1181,1011,398,1255
2003,12,"595","595 - Thunder Bay",1904,882,888,134,882,467,555,445,1370,89,689,1215,632,519,198,555
2004,3,"505","505 - Ottawa--Gatineau",18178,9837,6067,2274,9837,3096,5245,3471,13339,1368,8449,9729,4513,4751,1998,6916
2004,3,"521","521 - Kingston",2807,1517,1028,262,1517,624,666,763,1913,131,1151,1656,942,723,271,871
2004,3,"529","529 - Peterborough",2337,1275,798,264,1275,507,555,701,1515,121,1046,1291,776,619,226,716
2004,3,"532","532 - Oshawa",3992,1947,1733,312,1947,1023,1022,1006,2765,221,1465,2527,1234,1140,387,1231
2004,3,"535","535 - Toronto",78392,41967,26762,9663,41967,15447,20978,13319,57665,7408,34426,43966,21670,22386,8849,25487
2004,3,"537","537 - Hamilton",11357,5130,4567,1660,5130,2519,3708,2263,8336,758,4900,6457,2995,3292,1245,3825
2004,3,"539","539 - St. Catharines--Niagara",6719,3320,2520,879,3320,1478,1921,1551,4789,379,2889,3830,2307,2000,652,1760
2004,3,"541","541 - Kitchener--Cambridge--Waterloo",6606,3349,2409,848,3349,1451,1806,1529,4583,494,2947,3659,2294,1742,586,1984
2004,3,"543","543 - Brantford",1663,762,755,146,762,375,526,455,1143,65,592,1071,625,499,168,371
2004,3,"550","550 - Guelph",925,494,362,69,494,224,207,195,668,62,364,561,401,262,77,185
2004,3,"555","555 - London",8942,4399,3242,1301,4399,2027,2516,2046,6315,581,3981,4961,2824,2560,874,2684
2004,3,"559","559 - Windsor",6262,3053,2438,771,3053,1333,1876,1400,4453,409,2626,3636,1954,1691,594,2023
2004,3,"568","568 - Barrie",1604,856,609,139,856,348,400,432,1082,90,678,926,729,501,128,246
2004,3,"580","580 - Greater Sudbury",3951,2174,1389,388,2174,920,857,1138,2657,156,1735,2216,1183,1104,412,1252
2004,3,"595","595 - Thunder Bay",2025,981,890,154,981,500,544,500,1430,95,772,1253,659,590,222,554
2004,6,"505","505 - Ottawa--Gatineau",18102,9667,6201,2234,9667,3232,5203,3549,13214,1339,8192,9910,4523,4799,1886,6894
2004,6,"521","521 - Kingston",2732,1461,1040,231,1461,623,648,749,1852,131,1050,1682,830,791,276,835
2004,6,"529","529 - Peterborough",2296,1223,813,260,1223,505,568,689,1490,117,981,1315,633,715,219,729
2004,6,"532","532 - Oshawa",3951,1901,1752,298,1901,1001,1049,994,2731,226,1403,2548,1176,1178,414,1183
2004,6,"535","535 - Toronto",77870,41683,26935,9252,41683,15598,20589,13587,56859,7424,33460,44410,20164,23410,8798,25498
2004,6,"537","537 - Hamilton",11130,5037,4533,1560,5037,2503,3590,2245,8154,731,4702,6428,2819,3320,1230,3761
2004,6,"539","539 - St. Catharines--Niagara",6420,3047,2549,824,3047,1501,1872,1429,4611,380,2603,3817,1934,2016,663,1807
2004,6,"541","541 - Kitchener--Cambridge--Waterloo",6276,3049,2425,802,3049,1510,1717,1434,4363,479,2655,3621,1994,1755,635,1892
2004,6,"543","543 - Brantford",1534,669,736,129,669,367,498,428,1039,67,480,1054,504,506,168,356
2004,6,"550","550 - Guelph",872,457,350,65,457,213,202,187,616,69,328,544,364,241,80,187
2004,6,"555","555 - London",8714,4226,3248,1240,4226,2010,2478,2029,6113,572,3706,5008,2555,2596,906,2657
2004,6,"559","559 - Windsor",6142,2912,2500,730,2912,1375,1855,1431,4322,389,2503,3639,1770,1755,627,1990
2004,6,"568","568 - Barrie",1522,771,614,137,771,379,372,416,1022,84,585,937,632,522,122,246
2004,6,"580","580 - Greater Sudbury",4002,2093,1508,401,2093,997,912,1191,2650,161,1637,2365,1225,1082,413,1282
2004,6,"595","595 - Thunder Bay",2085,962,942,181,962,520,603,489,1512,84,787,1298,730,591,197,567
2004,9,"505","505 - Ottawa--Gatineau",17574,9326,6100,2148,9326,3131,5117,3425,12853,1296,7781,9793,4319,4654,1932,6669
2004,9,"521","521 - Kingston",2729,1444,1039,246,1444,644,641,730,1862,137,1051,1678,858,765,279,827
2004,9,"529","529 - Peterborough",2157,1099,804,254,1099,489,569,627,1424,106,852,1305,541,668,220,728
2004,9,"532","532 - Oshawa",3808,1797,1719,292,1797,978,1033,933,2642,233,1318,2490,1108,1096,418,1186
2004,9,"535","535 - Toronto",77331,40974,27276,9081,40974,15739,20618,13362,56509,7460,32708,44623,20050,22795,8955,25531
2004,9,"537","537 - Hamilton",10574,4701,4409,1464,4701,2416,3457,2094,7775,705,4337,6237,2719,2928,1263,3664
2004,9,"539","539 - St. Catharines--Niagara",5952,2728,2468,756,2728,1450,1774,1273,4313,366,2338,3614,1919,1661,652,1720
2004,9,"541","541 - Kitchener--Cambridge--Waterloo",6145,2915,2438,792,2915,1475,1755,1390,4283,472,2538,3607,2107,1560,623,1855
2004,9,"543","543 - Brantford",1495,654,726,115,654,338,503,425,1008,62,478,1017,509,461,156,369
2004,9,"550","550 - Guelph",849,422,353,74,422,213,214,202,585,62,304,545,315,249,89,196
2004,9,"555","555 - London",8638,4179,3256,1203,4179,2001,2458,1932,6121,585,3634,5004,2613,2487,901,2637
2004,9,"559","559 - Windsor",6162,2907,2547,708,2907,1385,1870,1407,4347,408,2430,3732,1786,1725,642,2009
2004,9,"568","568 - Barrie",1392,689,582,121,689,357,346,397,912,83,497,895,559,463,116,254
2004,9,"580","580 - Greater Sudbury",3810,2019,1431,360,2019,909,882,1090,2550,170,1574,2236,1112,1005,419,1274
2004,9,"595","595 - Thunder Bay",2031,972,885,174,972,476,583,480,1463,88,779,1252,669,599,201,562
2004,12,"505","505 - Ottawa--Gatineau",17184,9281,5867,2036,9281,2988,4915,3314,12587,1283,7721,9463,4391,4511,1847,6435
2004,12,"521","521 - Kingston",2635,1364,1023,248,1364,622,649,684,1813,138,1028,1607,811,736,287,801
2004,12,"529","529 - Peterborough",2061,1103,730,228,1103,454,504,575,1377,109,859,1202,589,539,221,712
2004,12,"532","532 - Oshawa",3764,1789,1662,313,1789,976,999,924,2600,240,1350,2414,1080,1108,397,1179
2004,12,"535","535 - Toronto",77279,41329,26905,9045,41329,15611,20339,13044,56610,7625,33140,44139,20827,22159,9029,25264
