Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B67067|Peterborough Victoria Northumberland and Clarington CDSB|918|920|945|933|915|922|900|1,036|925|988|9,402
B28029|Rainbow DSB|837|854|798|814|796|817|843|943|896|976|8,574
B28053|Rainy River DSB|155|181|160|178|174|172|179|188|192|193|1,772
B67199|Renfrew County CDSB|315|378|320|342|344|368|339|386|354|349|3,495
B66214|Renfrew County DSB|571|590|565|549|580|598|606|613|595|647|5,914
B66109|Simcoe County DSB|3,188|3,351|3,354|3,350|3,431|3,507|3,456|3,685|3,515|3,864|34,701
B67091|Simcoe Muskoka CDSB|1,215|1,252|1,307|1,287|1,316|1,370|1,316|1,342|1,343|1,411|13,159
B67040|St Clair CDSB|628|553|622|621|631|643|643|649|643|739|6,372
B29033|Sudbury CDSB|385|399|397|388|382|370|428|419|500|504|4,172
B29076|Superior North CDSB|78|72|65|80|76|81|85|81|65|76|759
B28070|Superior-Greenstone DSB|81|89|83|79|65|81|78|80|98|104|838
B66044|Thames Valley DSB|4,775|5,229|5,092|4,905|4,984|4,928|5,019|5,154|5,043|5,350|50,479
B29068|Thunder Bay CDSB|545|543|531|545|531|560|597|606|599|606|5,663
B67059|Toronto CDSB|5,443|5,688|5,883|5,998|5,891|6,104|5,961|6,501|6,438|6,775|60,682
B66052|Toronto DSB|17,798|18,730|18,374|17,605|17,243|16,847|16,548|16,491|16,512|16,397|172,545
B66087|Trillium Lakelands DSB|1,077|1,122|1,001|1,080|1,032|1,086|1,037|1,147|1,178|1,230|10,990
B66192|Upper Canada DSB|1,655|1,796|1,824|1,727|1,799|1,860|1,717|1,820|1,877|1,921|17,996
B66117|Upper Grand DSB|2,149|2,210|2,298|2,130|2,149|2,188|2,143|2,174|2,216|2,330|21,987
B67148|Waterloo CDSB|1,302|1,386|1,507|1,430|1,499|1,504|1,539|1,524|1,501|1,622|14,814
B66176|Waterloo Region DSB|3,973|4,441|4,289|4,279|4,204|4,149|3,968|4,226|4,061|4,188|41,778
B67130|Wellington CDSB|493|484|508|542|569|554|577|590|613|675|5,605
B67024|Windsor-Essex CDSB|1,111|1,166|1,304|1,385|1,383|1,459|1,530|1,605|1,644|1,682|14,269
B67075|York CDSB|3,221|3,476|3,697|3,740|3,873|3,749|3,868|3,995|3,858|3,897|37,374
B66095|York Region DSB|6,650|7,305|8,042|7,969|8,327|8,195|8,447|8,466|8,563|8,642|80,606
