Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|654|675|651|641|606|625|627|639|680|761|6,559
B67202|Algonquin and Lakeshore CDSB|776|828|741|739|757|713|778|755|749|775|7,611
B66010|Avon Maitland DSB|972|1,009|1,029|1,005|1,016|1,013|1,015|1,068|1,050|1,091|10,268
B66001|Bluewater DSB|1,114|1,165|1,120|1,126|1,127|1,080|1,098|1,237|1,125|1,227|11,419
B67164|Brant Haldimand Norfolk CDSB|555|607|605|608|669|623|653|676|657|702|6,355
B67008|Bruce-Grey CDSB|228|263|218|251|222|246|217|252|259|246|2,402
B67172|CDSB of Eastern Ontario|753|790|815|812|793|884|868|981|1,015|1,112|8,823
B66311|CÉP de l'Est de l'Ontario|1,089|1,081|1,050|957|920|818|832|739|807|804|9,097
B67300|Conseil scolaire catholique Providence|870|862|867|865|782|713|649|588|577|605|7,378
B66303|CS Viamonde|1,034|1,096|969|927|834|749|625|611|502|472|7,819
B28118|CSD du Grand Nord de l'Ontario|184|182|167|159|179|164|120|138|147|160|1,600
B28100|CSD du Nord-Est de l'Ontario|176|202|158|166|128|135|130|131|128|144|1,498
B67318|CSDC Centre-Sud|1,361|1,327|1,313|1,307|1,189|1,166|1,055|1,048|928|980|11,674
B67326|CSDC de l'Est ontarien|746|778|743|740|734|681|703|707|659|729|7,220
B29130|CSDC des Aurores boréales|70|70|80|64|59|70|62|55|42|55|627
B29106|CSDC des Grandes Rivières|432|392|450|396|402|418|439|436|441|479|4,285
B67334|CSDC du Centre-Est de l'Ontario|1,812|1,866|1,827|1,668|1,633|1,549|1,548|1,462|1,262|1,315|15,942
B29122|CSDC du Nouvel-Ontario|545|529|599|493|525|515|502|494|464|429|5,095
B29114|CSDC Franco-Nord|199|191|205|170|198|178|204|210|221|205|1,981
B66150|DSB Niagara|2,207|2,291|2,306|2,301|2,376|2,404|2,406|2,641|2,508|2,706|24,146
B28002|DSB Ontario North East|443|436|442|445|432|433|432|425|478|483|4,449
B67083|Dufferin-Peel CDSB|4,288|4,482|4,748|4,939|5,088|4,934|5,127|5,515|5,521|5,761|50,403
B67105|Durham CDSB|1,256|1,353|1,380|1,405|1,412|1,473|1,500|1,564|1,537|1,644|14,524
B66060|Durham DSB|4,219|4,445|4,618|4,616|4,618|4,785|4,574|4,886|4,812|5,062|46,635
B66168|Grand Erie DSB|1,686|1,657|1,724|1,718|1,673|1,765|1,731|1,888|1,832|1,856|17,530
B66028|Greater Essex County DSB|2,258|2,405|2,333|2,389|2,324|2,414|2,333|2,473|2,524|2,477|23,930
B67113|Halton CDSB|1,820|1,940|1,969|1,998|2,079|2,119|2,054|2,197|1,999|2,150|20,325
B66133|Halton DSB|3,697|4,145|4,417|4,293|4,382|4,309|4,136|4,020|3,974|3,904|41,277
B67121|Hamilton-Wentworth CDSB|1,724|1,760|1,748|1,885|1,837|1,857|1,869|2,011|1,919|1,984|18,594
B66141|Hamilton-Wentworth DSB|3,125|3,466|3,447|3,328|3,356|3,474|3,292|3,535|3,491|3,664|34,178
B66222|Hastings & Prince Edward DSB|995|1,053|1,028|992|1,020|1,012|1,031|1,076|1,060|1,124|10,391
B67016|Huron Perth CDSB|295|312|298|308|318|309|306|320|310|323|3,099
B29025|Huron-Superior CDSB|344|322|314|342|363|376|349|409|406|407|3,632
B66079|Kawartha Pine Ridge DSB|2,076|2,107|2,084|2,107|2,202|2,082|2,257|2,291|2,239|2,382|21,827
B28045|Keewatin-Patricia DSB|266|275|261|259|272|292|295|286|317|321|2,844
B29050|Kenora CDSB|119|132|125|121|129|96|100|141|101|131|1,195
B28061|Lakehead DSB|594|600|571|654|579|622|576|628|614|731|6,169
B66036|Lambton Kent DSB|1,384|1,471|1,481|1,443|1,540|1,446|1,447|1,584|1,508|1,543|14,847
B66206|Limestone DSB|1,281|1,304|1,334|1,336|1,274|1,270|1,343|1,335|1,371|1,394|13,242
B67032|London District Catholic School Board|1,043|1,119|1,157|1,162|1,177|1,248|1,221|1,324|1,311|1,351|12,113
B15199|Moose Factory Island DSAB|23|36|32|33|28|28|25|27|20|11|263
B15202|Moosonee DSAB|27|25|29|34|40|23|20|22|22|25|267
B28037|Near North DSB|678|628|654|632|667|609|681|708|705|725|6,687
B67156|Niagara CDSB|1,372|1,434|1,474|1,507|1,526|1,540|1,524|1,600|1,549|1,638|15,164
B29017|Nipissing-Parry Sound CDSB|186|214|168|215|202|237|208|203|238|213|2,084
B29009|Northeastern CDSB|165|187|188|172|159|197|182|211|229|192|1,882
B29041|Northwest CDSB|130|123|143|145|130|105|123|124|157|134|1,314
B67180|Ottawa CDSB|2,225|2,188|2,268|2,289|2,346|2,456|2,422|2,532|2,719|2,924|24,369
B66184|Ottawa-Carleton DSB|4,414|4,718|4,807|4,786|5,091|5,053|4,897|4,894|4,660|4,820|48,140
B66125|Peel DSB|9,852|10,365|11,382|11,295|11,124|11,049|10,750|11,099|11,071|11,260|109,247
B79910|Penetanguishene PSSB|22|31|17|27|21|26|20|22|23|23|232
