Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|585|665|745|695|690|745|705|700|765|770|7060
B67202|Algonquin and Lakeshore CDSB|720|775|845|810|870|815|815|900|770|835|8160
B66010|Avon Maitland DSB|1045|1100|1035|1070|1045|1095|1070|980|1050|1070|10565
B66001|Bluewater DSB|1265|1335|1320|1310|1420|1390|1380|1400|1340|1430|13590
B67164|Brant Haldimand Norfolk CDSB|680|835|785|890|820|830|820|850|770|775|8055
B67008|Bruce-Grey CDSB|285|330|340|340|315|370|305|285|325|285|3175
B67172|CDSB of Eastern Ontario|790|920|900|980|1050|955|1005|975|1035|1090|9705
B66303|CS Viamonde|1075|1115|1135|1160|1080|1190|1085|1060|870|895|10670
B67318|CS catholique MonAvenir|890|985|1085|1150|1275|1185|1250|1250|1300|1280|11650
B28118|CS public du Grand Nord de l'Ontario|205|210|215|220|205|185|195|185|175|175|1970
B28100|CS public du Nord-Est de l'Ontario|145|190|185|170|180|175|165|160|110|115|1595
B29114|CSDC Franco-Nord|160|160|160|160|155|165|195|175|205|225|1755
B67326|CSDC de l'Est ontarien|720|770|825|830|820|825|760|755|755|740|7805
B29130|CSDC des Aurores boréales|75|70|85|70|75|70|60|70|55|65|690
B29106|CSDC des Grandes Rivières|370|340|400|375|375|380|390|365|390|370|3755
B67334|CSDC du Centre-Est de l'Ontario|1850|1960|1915|2025|2040|2035|2040|2045|1855|1965|19725
B29122|CSDC du Nouvel-Ontario|385|395|400|430|470|460|395|415|405|405|4155
B67300|Conseil scolaire catholique Providence|750|785|745|730|735|770|715|715|690|680|7315
B66311|CÉP de l'Est de l'Ontario|1105|1260|1320|1345|1315|1385|1350|1340|1225|1305|12955
B66150|DSB Niagara|2525|2815|2945|2950|2860|2970|2940|2965|2935|2960|28870
B28002|DSB Ontario North East|380|385|415|455|465|470|475|505|475|490|4515
B67083|Dufferin-Peel CDSB|3335|3605|3835|3975|4260|4245|4300|4575|4565|4720|41410
B67105|Durham CDSB|1405|1470|1545|1525|1685|1630|1590|1600|1575|1695|15725
