Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B66060|Durham DSB|5095|5330|5435|5560|5565|5540|5455|5775|5885|5805|55440
B66168|Grand Erie DSB|1840|1925|1965|2035|2010|1970|1990|1945|2010|2040|19730
B66028|Greater Essex County DSB|2090|2315|2380|2440|2405|2505|2515|2680|2640|2745|24710
B67113|Halton CDSB|1645|1805|1945|2145|2240|2350|2425|2440|2530|2530|22060
B66133|Halton DSB|3405|3980|4285|4645|4525|4720|4815|5030|5120|5105|45630
B67121|Hamilton-Wentworth CDSB|1740|1830|1940|1950|2070|1980|2020|1970|2040|2000|19540
B66141|Hamilton-Wentworth DSB|3465|3755|3835|3770|3690|3760|3815|3885|3760|3830|37565
B66222|Hastings & Prince Edward DSB|955|1075|1065|1085|1065|1015|1150|1090|1130|1155|10785
B67016|Huron Perth CDSB|300|305|320|305|345|335|315|405|315|325|3260
B29025|Huron-Superior CDSB|290|315|360|345|385|430|395|445|395|385|3740
B66079|Kawartha Pine Ridge DSB|2440|2510|2635|2710|2655|2625|2685|2605|2510|2450|25820
B28045|Keewatin-Patricia DSB|280|265|285|295|300|285|290|300|305|290|2895
B29050|Kenora CDSB|80|85|110|70|75|70|80|95|125|115|910
B28061|Lakehead DSB|615|655|690|640|675|645|650|655|580|640|6445
B66036|Lambton Kent DSB|1340|1430|1490|1455|1590|1525|1470|1500|1545|1535|14875
B66206|Limestone DSB|1255|1270|1360|1455|1375|1385|1375|1360|1420|1455|13720
B67032|London District Catholic School Board|1415|1525|1615|1710|1730|1840|1775|1740|1685|1620|16665
B15199|Moose Factory Island DSAB|20|25|30|40|35|40|35|40|0|10|280
B15202|Moosonee DSAB|15|30|20|30|20|30|25|30|25|20|240
B28037|Near North DSB|625|630|705|700|690|715|725|705|755|760|7020
B67156|Niagara CDSB|1365|1380|1435|1500|1520|1530|1560|1505|1565|1585|14940
B29017|Nipissing-Parry Sound CDSB|165|175|205|205|235|215|225|195|210|195|2020
B29009|Northeastern CDSB|145|170|200|230|190|235|210|235|220|180|2010
B29041|Northwest CDSB|100|110|120|120|130|110|125|130|95|100|1140
B67180|Ottawa CSB|2800|2830|3005|3230|3315|3360|3485|3615|3825|3925|33390
B66184|Ottawa-Carleton DSB|4345|4730|5070|5100|5105|5325|5325|5385|5185|5410|50980
B66125|Peel DSB|9495|10150|10600|10545|10530|10530|11015|11135|11215|11320|106530
B79910|Penetanguishene PSSB|30|40|40|35|55|45|35|30|25|20|350
B67067|Peterborough Victoria Northumberland and Clarington CDSB|890|895|910|940|1045|1085|1100|1080|1100|1125|10165
B28029|Rainbow DSB|770|850|920|930|960|990|985|950|985|955|9300
B28053|Rainy River DSB|125|155|145|150|145|150|155|155|180|210|1580
B67199|Renfrew County CDSB|345|325|360|365|410|385|410|360|375|370|3710
B66214|Renfrew County DSB|570|635|635|650|645|655|645|645|615|670|6360
B66109|Simcoe County DSB|3615|3860|4025|4125|3995|4200|3940|3990|3955|4160|39860
B67091|Simcoe Muskoka CDSB|1510|1675|1635|1680|1710|1680|1670|1685|1690|1715|16645
B67040|St Clair CDSB|615|585|600|650|625|595|655|645|680|690|6340
B29033|Sudbury CDSB|370|370|415|475|480|480|515|510|500|535|4650
B29076|Superior North CDSB|65|60|75|85|75|65|70|75|75|70|715
B28070|Superior-Greenstone DSB|40|60|75|60|75|75|55|70|75|90|675
B66044|Thames Valley DSB|5315|5595|5710|5865|6045|6010|6000|6110|6285|6075|59010
B29068|Thunder Bay CDSB|380|415|440|460|475|510|540|495|560|495|4770
B67059|Toronto CDSB|4980|5180|5575|5740|6005|6155|6065|6315|6160|6405|58585
B66052|Toronto DSB|15060|16275|16610|16580|16445|16760|16740|16775|15940|16575|163770
B66087|Trillium Lakelands DSB|1110|1130|1215|1240|1250|1150|1165|1195|1210|1230|11900
B66192|Upper Canada DSB|1720|1845|1900|1920|1895|1920|1980|1955|1880|1955|18965
B66117|Upper Grand DSB|2260|2370|2425|2460|2425|2495|2460|2595|2515|2425|24435
B67148|Waterloo CDSB|1715|1865|1795|1940|1965|1995|1855|1920|1920|1860|18830
B66176|Waterloo Region DSB|3935|4475|4370|4435|4510|4575|4470|4545|4480|4635|44425
B67130|Wellington CDSB|570|570|545|615|630|680|645|615|625|615|6120
B67024|Windsor-Essex CDSB|1265|1320|1350|1410|1420|1470|1395|1545|1525|1500|14195
B67075|York CDSB|2135|2430|2700|2920|2975|3100|3360|3600|3630|3645|30500
B66095|York Region DSB|6005|7000|8150|8490|8760|9170|9175|10215|9660|9945|86575
N/A|Provincial Total|123460|133070|138910|142210|143700|145810|146035|149245|147365|149845|1419640
