Board Type|Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment |Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
Roman Catholic|B29033|Sudbury CDSB|398|403|397|397|430|399|419|399|409|404|4055
Roman Catholic|B29076|Superior North CDSB|65|63|58|69|70|79|79|62|77|86|708
Public|B28070|Superior-Greenstone DSB|64|77|82|90|69|86|77|85|67|70|767
Public|B66044|Thames Valley DSB|4919|5253|5432|5242|5552|5584|5671|5504|5278|5392|53827
Roman Catholic|B29068|Thunder Bay CDSB|514|525|597|529|570|563|541|533|557|541|5470
Roman Catholic|B67059|Toronto CDSB|5726|5982|5965|6159|6248|6214|6309|6304|6376|6275|61558
Public|B66052|Toronto DSB|17174|18232|17745|17775|17618|17691|17642|16784|16018|16288|172967
Public|B66087|Trillium Lakelands DSB|1003|1087|1117|1163|1106|1146|1132|1044|1132|1090|11020
Public|B66192|Upper Canada DSB|1678|1730|1746|1701|1826|1822|1898|1900|1743|1824|17868
Public|B66117|Upper Grand DSB|2254|2447|2373|2375|2346|2421|2270|2395|2259|2249|23389
Roman Catholic|B67148|Waterloo CDSB|1454|1559|1536|1517|1613|1590|1592|1706|1593|1560|15720
Public|B66176|Waterloo Region DSB|3934|4349|4350|4491|4484|4464|4666|4437|4408|4470|44053
Roman Catholic|B67130|Wellington CDSB|498|463|524|523|544|597|574|564|601|622|5510
Roman Catholic|B67024|Windsor-Essex CDSB|1119|1226|1209|1222|1296|1307|1316|1430|1487|1479|13091
Roman Catholic|B67075|York CDSB|2739|3086|3364|3476|3675|3783|3925|3793|3834|3971|35646
Public|B66095|York Region DSB|6488|7772|8033|8358|8706|8821|9281|8998|8952|9099|84508
