Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|585|615|680|730|710|695|745|710|750|810|7025
B67202|Algonquin and Lakeshore CDSB|795|765|830|865|855|915|845|855|885|810|8420
B66010|Avon Maitland DSB|1000|1065|1120|1040|1075|1050|1100|1075|985|1065|10570
B66001|Bluewater DSB|1205|1340|1360|1340|1345|1465|1420|1410|1420|1375|13675
B67164|Brant Haldimand Norfolk CDSB|720|765|885|810|930|850|875|870|865|795|8365
B67008|Bruce-Grey CDSB|325|305|355|345|365|325|380|315|290|325|3330
B67172|CDSB of Eastern Ontario|755|865|955|925|1000|1065|975|1020|1095|1070|9725
B66303|CS Viamonde|1120|1135|1150|1150|1155|1090|1190|1065|940|865|10855
B67318|CS catholique MonAvenir|960|950|1025|1130|1160|1260|1170|1220|1290|1285|11450
B28118|CS public du Grand Nord de l'Ontario|175|205|205|205|210|195|190|185|160|180|1915
B28100|CS public du Nord-Est de l'Ontario|175|155|195|180|170|185|175|155|120|120|1625
B29114|CSDC Franco-Nord|140|160|160|160|165|155|165|200|200|205|1710
B67326|CSDC de l'Est ontarien|785|760|805|845|835|840|845|795|740|755|8015
B29130|CSDC des Aurores boréales|60|70|75|80|65|70|70|60|75|55|680
B29106|CSDC des Grandes Rivières|350|375|330|400|370|380|380|385|365|380|3715
B67334|CSDC du Centre-Est de l'Ontario|1960|2020|2120|2035|2170|2130|2105|2140|2075|1985|20745
B29122|CSDC du Nouvel-Ontario|375|385|390|395|430|475|455|400|395|390|4085
B67300|Conseil scolaire catholique Providence|715|790|805|750|730|730|765|690|675|685|7335
B66311|CÉP de l'Est de l'Ontario|1215|1270|1365|1400|1405|1370|1405|1385|1270|1255|13345
B66150|DSB Niagara|2450|2735|2975|3040|3100|2980|3050|3050|3080|3035|29490
B28002|DSB Ontario North East|350|420|405|425|455|475|475|485|560|470|4520
B67083|Dufferin-Peel CDSB|3125|3510|3745|3870|4060|4305|4280|4400|4585|4640|40520
B67105|Durham CDSB|1440|1500|1570|1655|1590|1730|1685|1640|1630|1590|16020
B66060|Durham DSB|4760|5445|5635|5580|5685|5725|5740|5645|5885|6010|56110
B66168|Grand Erie DSB|1760|1945|1995|2005|2065|2070|2020|2035|2010|2070|19975
B66028|Greater Essex County DSB|2015|2295|2355|2400|2480|2445|2540|2550|2710|2690|24485
B67113|Halton CDSB|1705|1745|1960|2030|2215|2295|2415|2490|2475|2570|21900
B66133|Halton DSB|3330|3685|4140|4455|4725|4645|4805|4950|5140|5275|45150
B67121|Hamilton-Wentworth CDSB|1800|1895|1920|2000|1995|2115|2010|2075|2010|2090|19910
