Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|575|630|695|645|635|655|610|675|705|745|6570
B67202|Algonquin and Lakeshore CDSB|660|775|765|745|840|775|835|810|750|795|7755
B66010|Avon Maitland DSB|960|985|1040|1010|955|1000|1015|1075|1070|1090|10200
B66001|Bluewater DSB|1035|1255|1270|1230|1260|1245|1285|1200|1320|1250|12355
B67164|Brant Haldimand Norfolk CDSB|665|660|690|680|735|680|695|670|725|690|6885
B67008|Bruce-Grey CDSB|290|300|350|285|270|310|280|320|280|290|2980
B67172|CDSB of Eastern Ontario|775|910|870|890|885|875|965|920|1065|1050|9205
B66311|CEP de l'Est de l'Ontario|1185|1255|1390|1375|1360|1270|1340|1220|1215|1180|12785
B66303|CS Viamonde|1185|1165|1275|1155|1175|1105|1110|1120|855|810|10960
B67318|CS catholique MonAvenir|1160|1275|1305|1350|1365|1370|1335|1345|1420|1350|13275
B28118|CS public du Grand Nord de l'Ontario|205|210|200|195|190|195|185|195|190|195|1965
B28100|CS public du Nord-Est de l'Ontario|180|185|190|180|190|170|165|190|135|160|1735
B29114|CSDC Franco-Nord|170|170|165|205|180|185|200|175|190|205|1845
B67326|CSDC de l'Est ontarien|750|790|800|750|730|750|750|790|740|745|7590
B29130|CSDC des Aurores boreales|75|85|70|65|70|65|60|65|80|70|695
B29106|CSDC des Grandes Rivieres|385|400|405|405|390|395|380|420|395|380|3960
B67334|CSDC du Centre-Est de l'Ontario|1815|1930|1930|1985|2020|1940|1955|2000|1865|1840|19285
B29122|CSDC du Nouvel-Ontario|470|520|500|435|455|455|480|470|460|450|4690
B67300|Conseil scolaire catholique Providence|745|790|865|790|800|785|755|745|755|720|7745
B66150|DSB Niagara|2220|2345|2555|2515|2640|2575|2650|2840|2795|2770|25910
B28002|DSB Ontario North East|335|380|410|425|465|420|430|460|410|415|4150
B67083|Dufferin-Peel CDSB|3605|4150|4320|4400|4610|4735|4795|4930|5155|5135|45840
B67105|Durham CDSB|1250|1445|1485|1470|1470|1450|1635|1640|1600|1625|15070
B66060|Durham DSB|4330|4685|4950|4920|5255|5410|5315|5465|5340|5390|51065
B66168|Grand Erie DSB|1490|1725|1750|1775|1740|1820|1845|1830|1900|1830|17700
B66028|Greater Essex County DSB|1970|2230|2360|2345|2520|2515|2585|2675|2695|2770|24660
B67113|Halton CDSB|1815|2080|2280|2330|2350|2440|2475|2520|2530|2455|23280
B66133|Halton DSB|3480|3770|4095|4350|4515|4780|4765|5155|5240|5465|45615
B67121|Hamilton-Wentworth CDSB|1660|1885|1825|1870|1845|1935|1935|2025|2015|1985|18985
B66141|Hamilton-Wentworth DSB|2850|3350|3550|3625|3675|3545|3565|3615|3685|3745|35210
B66222|Hastings & Prince Edward DSB|815|940|915|1030|1005|1050|1050|1075|1140|1090|10105
B67016|Huron Perth CDSB|270|325|320|310|370|305|345|315|345|310|3210
B29025|Huron-Superior CDSB|265|310|345|375|405|370|405|355|340|340|3505
B66079|Kawartha Pine Ridge DSB|2050|2310|2420|2505|2345|2355|2345|2420|2455|2430|23640
B28045|Keewatin-Patricia DSB|255|285|260|245|290|260|280|290|285|295|2740
B29050|Kenora CDSB|60|75|80|75|95|110|95|105|130|110|940
B28061|Lakehead DSB|565|610|630|600|605|570|610|640|600|560|5985
B66036|Lambton Kent DSB|1210|1425|1380|1335|1410|1445|1430|1510|1490|1565|14200
B66206|Limestone DSB|1240|1285|1300|1295|1300|1305|1315|1365|1445|1435|13290
B67032|London District Catholic School Board|1130|1335|1475|1455|1475|1430|1410|1430|1465|1465|14065
B15199|Moose Factory Island DSAB|20|35|30|40|35|30|45|30|<10|10|280
B15202|Moosonee DSAB|20|25|25|25|30|25|25|30|25|25|265
B28037|Near North DSB|525|630|650|625|620|675|665|690|745|700|6520
B67156|Niagara CDSB|1120|1310|1340|1380|1370|1445|1435|1485|1535|1500|13925
B29017|Nipissing-Parry Sound CDSB|165|190|195|185|175|180|190|220|195|205|1900
B29009|Northeastern CDSB|175|145|180|175|190|185|150|205|225|190|1825
B29041|Northwest CDSB|125|130|110|135|130|115|155|150|110|100|1260
B67180|Ottawa CSB|2455|2845|2860|3015|3240|3195|3250|3175|3340|3280|30660
B66184|Ottawa-Carleton DSB|3755|4480|4900|4965|4920|5085|5085|5295|5285|5185|48960
B66125|Peel DSB|9535|10495|10655|11255|11455|11475|11505|11575|12155|11980|112070
B79910|Penetanguishene PSSB|30|50|40|35|35|30|25|35|30|30|345
B67067|Peterborough Victoria Northumberland and Clarington CDSB|770|930|1005|1005|1020|1015|1115|1040|1070|1025|9990
B28029|Rainbow DSB|695|840|910|880|855|910|915|900|965|915|8780
B28053|Rainy River DSB|110|140|160|170|150|155|175|160|185|190|1595
B67199|Renfrew County CDSB|315|390|375|395|365|355|360|360|355|375|3645
B66214|Renfrew County DSB|505|590|620|610|585|575|625|615|580|600|5910
B66109|Simcoe County DSB|3220|3525|3890|3620|3685|3710|3835|3985|3845|3965|37275
B67091|Simcoe Muskoka CDSB|1325|1455|1460|1475|1515|1510|1565|1640|1655|1525|15125
B67040|St Clair CDSB|540|560|540|610|605|650|665|655|685|580|6095
B29033|Sudbury CDSB|375|415|435|465|450|425|435|460|455|505|4425
B29076|Superior North CDSB|70|65|60|65|65|70|75|60|65|70|660
B28070|Superior-Greenstone DSB|55|65|70|55|80|70|85|70|90|80|715
B66044|Thames Valley DSB|4410|5235|5415|5460|5595|5695|5575|5825|5940|5990|55145
B29068|Thunder Bay CDSB|410|460|480|520|505|565|530|565|540|565|5135
B67059|Toronto CDSB|4985|5610|5980|5995|6200|6065|6255|6305|6395|6505|60295
B66052|Toronto DSB|14865|16830|17190|17280|17525|16870|17120|16925|16665|17160|168430
B66087|Trillium Lakelands DSB|1005|1105|1045|1075|1090|1135|1160|1110|1205|1175|11105
B66192|Upper Canada DSB|1520|1645|1715|1770|1800|1750|1765|1875|1835|1890|17565
B66117|Upper Grand DSB|2170|2290|2350|2350|2465|2390|2365|2425|2450|2365|23620
B67148|Waterloo CDSB|1475|1640|1700|1655|1705|1690|1660|1720|1730|1685|16665
B66176|Waterloo Region DSB|3620|4250|4420|4315|4440|4430|4545|4605|4565|4830|44015
B67130|Wellington CDSB|495|540|590|570|535|595|560|595|655|625|5755
B67024|Windsor-Essex CDSB|1090|1205|1260|1250|1360|1300|1325|1385|1450|1465|13085
B67075|York CDSB|2330|2620|2970|3225|3495|3540|3615|3820|3840|3985|33435
B66095|York Region DSB|6235|7250|8235|8295|9260|8705|9045|9355|9545|9990|85915
|Total|130230|136545|139645|143525|142295|144270|146900|148250|147780|145710|1425145
