Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|615|735|690|680|735|685|685|725|700|795|7050
B67202|Algonquin and Lakeshore CDSB|720|795|785|840|800|800|875|795|815|755|7980
B66010|Avon Maitland DSB|1065|1030|1085|1030|1100|1055|975|1035|1065|1110|10545
B66001|Bluewater DSB|1245|1295|1275|1390|1390|1350|1365|1320|1405|1305|13340
B67164|Brant Haldimand Norfolk CDSB|750|735|850|785|780|785|805|740|750|750|7720
B67008|Bruce-Grey CDSB|325|325|330|310|365|305|275|325|275|315|3150
B67172|CDSB of Eastern Ontario|870|870|950|1010|945|975|950|925|1070|1075|9635
B66303|CS Viamonde|1060|1115|1165|1100|1200|1100|1090|1030|930|915|10710
B67318|CS catholique MonAvenir|960|1055|1155|1250|1210|1260|1255|1270|1285|1250|11940
B28118|CS public du Grand Nord de l'Ontario|195|210|220|205|190|200|190|190|170|185|1955
B28100|CS public du Nord-Est de l'Ontario|185|175|180|175|180|170|180|160|125|135|1665
B29114|CSDC Franco-Nord|160|165|175|160|160|205|175|180|225|195|1795
B67326|CSDC de l'Est ontarien|735|815|815|805|815|760|720|780|750|755|7755
B29130|CSDC des Aurores boréales|65|80|75|70|70|65|65|55|65|65|675
B29106|CSDC des Grandes Rivières|345|410|380|390|385|395|375|385|375|420|3860
B67334|CSDC du Centre-Est de l'Ontario|1810|1790|1910|1970|1950|1990|2015|1935|1885|1925|19180
B29122|CSDC du Nouvel-Ontario|380|400|435|475|455|395|425|430|425|400|4220
B67300|Conseil scolaire catholique Providence|745|740|745|745|780|730|740|740|690|695|7345
B66311|CÉP de l'Est de l'Ontario|1150|1280|1325|1305|1400|1365|1345|1265|1280|1175|12895
B66150|DSB Niagara|2575|2765|2820|2725|2845|2785|2860|2820|2865|3060|28115
B28002|DSB Ontario North East|365|395|450|460|460|470|510|450|460|515|4530
B67083|Dufferin-Peel CDSB|3440|3745|3915|4235|4230|4300|4540|4580|4675|4785|42445
B67105|Durham CDSB|1320|1420|1450|1605|1560|1535|1520|1490|1655|1655|15215
B66060|Durham DSB|4980|5075|5330|5335|5365|5265|5575|5725|5610|5720|53980
B66168|Grand Erie DSB|1735|1895|1965|1970|1905|1945|1875|1965|1995|1970|19215
B66028|Greater Essex County DSB|2085|2325|2385|2350|2430|2445|2645|2630|2690|2755|24745
B67113|Halton CDSB|1710|1820|2125|2155|2305|2375|2395|2510|2495|2545|22435
B66133|Halton DSB|3655|4005|4390|4385|4565|4725|4850|5010|5000|5325|45915
B67121|Hamilton-Wentworth CDSB|1685|1865|1895|2000|1910|1925|1905|1975|1950|2005|19115
B66141|Hamilton-Wentworth DSB|3465|3675|3690|3645|3710|3740|3835|3695|3705|3765|36930
B66222|Hastings & Prince Edward DSB|995|1045|1080|1030|980|1135|1070|1110|1145|1120|10715
B67016|Huron Perth CDSB|295|320|300|335|330|305|400|310|315|315|3225
B29025|Huron-Superior CDSB|285|325|325|360|400|380|435|385|390|335|3620
B66079|Kawartha Pine Ridge DSB|2395|2565|2685|2615|2605|2665|2565|2520|2450|2555|25615
B28045|Keewatin-Patricia DSB|260|290|300|295|270|285|300|290|305|310|2910
B29050|Kenora CDSB|75|100|65|70|70|80|100|115|105|115|895
B28061|Lakehead DSB|625|695|635|675|655|645|645|600|645|635|6455
B66036|Lambton Kent DSB|1370|1460|1435|1560|1500|1450|1495|1525|1510|1565|14875
B66206|Limestone DSB|1205|1350|1435|1350|1355|1350|1355|1370|1450|1475|13690
B67032|London District Catholic School Board|1315|1485|1530|1590|1690|1625|1625|1575|1555|1545|15530
B15199|Moose Factory Island DSAB|20|25|40|25|35|40|35|25|15|10|275
B15202|Moosonee DSAB|25|25|30|25|30|25|30|25|25|30|265
B28037|Near North DSB|585|690|680|685|715|690|690|765|715|760|6980
B67156|Niagara CDSB|1250|1345|1415|1480|1440|1470|1455|1525|1520|1535|14435
B29017|Nipissing-Parry Sound CDSB|160|195|200|220|205|210|195|205|195|225|2010
B29009|Northeastern CDSB|150|180|220|170|220|205|205|225|180|205|1965
B29041|Northwest CDSB|115|120|120|130|110|130|130|115|140|120|1230
B67180|Ottawa CSB|2505|2750|2980|3085|3115|3255|3425|3340|3645|3605|31705
B66184|Ottawa-Carleton DSB|4355|4870|4970|5080|5235|5235|5325|5425|5290|5435|51225
B66125|Peel DSB|9680|10285|10565|10575|10510|11005|11175|11110|11285|11385|107575
B79910|Penetanguishene PSSB|40|40|35|50|45|35|30|30|20|30|360
B67067|Peterborough Victoria Northumberland and Clarington CDSB|850|865|920|1015|1055|1055|1075|1075|1125|1070|10095
B28029|Rainbow DSB|790|900|905|940|965|950|915|980|930|990|9270
B28053|Rainy River DSB|145|150|150|155|155|165|160|160|180|170|1590
B67199|Renfrew County CDSB|310|355|350|405|380|400|365|375|365|375|3685
B66214|Renfrew County DSB|595|625|645|650|650|640|620|610|675|630|6350
B66109|Simcoe County DSB|3640|3875|4070|3895|4135|3855|3940|3860|4060|4150|39480
B67091|Simcoe Muskoka CDSB|1495|1510|1620|1625|1575|1620|1630|1620|1655|1730|16085
B67040|St Clair CDSB|540|570|625|600|570|635|610|665|675|670|6165
B29033|Sudbury CDSB|335|380|435|460|460|500|495|425|495|525|4505
B29076|Superior North CDSB|50|65|80|70|60|65|70|75|70|60|670
B28070|Superior-Greenstone DSB|70|65|65|75|85|55|80|75|90|80|740
B66044|Thames Valley DSB|5250|5565|5715|5970|5850|5905|6000|6115|5950|6180|58505
B29068|Thunder Bay CDSB|395|435|450|465|485|535|505|575|495|550|4890
B67059|Toronto CDSB|4755|5260|5495|5745|5955|5835|6090|5970|6205|6275|57585
B66052|Toronto DSB|15415|16165|16405|16415|16580|16660|16765|16075|16165|16535|163185
B66087|Trillium Lakelands DSB|1080|1180|1235|1230|1125|1155|1185|1185|1220|1155|11755
B66192|Upper Canada DSB|1695|1850|1875|1820|1875|1915|1915|1870|1895|1990|18700
B66117|Upper Grand DSB|2325|2415|2460|2400|2455|2430|2540|2465|2395|2520|24415
B67148|Waterloo CDSB|1640|1650|1790|1810|1845|1755|1805|1795|1755|1850|17695
B66176|Waterloo Region DSB|4125|4310|4375|4520|4535|4430|4505|4500|4585|4700|44585
B67130|Wellington CDSB|520|515|590|610|645|610|585|605|600|640|5920
B67024|Windsor-Essex CDSB|1195|1255|1325|1330|1370|1355|1445|1385|1420|1520|13605
B67075|York CDSB|2255|2475|2810|2910|3050|3305|3545|3610|3625|3820|31400
B66095|York Region DSB|6320|7200|8120|8405|8755|8800|9725|9245|9510|9845|85930
   |Provincial Total|123895|132800|138510|140500|142315|142970|146270|145050|146410|149675|1408390

