Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B15199|Moose Factory Island DSAB|30|35|45|30|45|45|30|35|SP|<10|310
B15202|Moosonee DSAB|25|25|30|25|30|25|30|25|SP|SP|260
B28037|Near North DSB|620|630|620|680|675|695|720|675|680|705|6700
B67156|Niagara CDSB|1275|1330|1370|1420|1410|1495|1545|1505|1495|1520|14365
B29017|Nipissing-Parry Sound CDSB|175|170|170|165|175|200|205|205|180|195|1840
B29009|Northeastern CDSB|155|165|205|175|160|185|220|220|205|185|1875
B29041|Northwest CDSB|105|130|120|125|160|160|120|110|125|115|1270
B67180|Ottawa CDSB|2585|2815|2990|2960|3060|3045|3015|2845|3095|3140|29545
B66184|Ottawa-Carleton DSB|4485|4750|4850|4970|5020|5095|5210|5190|5015|4955|49535
B66125|Peel DSB|10145|10850|11460|11345|11480|11585|12090|11875|12200|12065|115100
B79910|Penetanguishene PSSB|55|35|35|30|25|35|30|35|30|35|345
B67067|Peterborough Victoria Northumberland and Clarington CDSB|980|990|1030|1030|1090|1055|1080|1045|1040|1015|10350
B28029|Rainbow DSB|855|850|860|880|880|910|945|910|870|905|8870
B28053|Rainy River DSB|140|170|170|160|180|165|190|185|180|195|1740
B67199|Renfrew County CDSB|375|405|375|375|375|400|375|380|320|360|3735
B66214|Renfrew County DSB|580|620|610|570|615|585|595|600|610|535|5935
B66109|Simcoe County DSB|3625|3505|3640|3660|3730|3885|3775|3845|3765|3780|37205
B67091|Simcoe Muskoka CDSB|1315|1420|1415|1445|1505|1575|1575|1490|1530|1510|14780
B67040|St Clair CDSB|510|595|585|640|645|645|670|580|615|625|6115
B29033|Sudbury CDSB|380|425|415|385|405|435|385|425|430|425|4105
B29076|Superior North CDSB|55|65|60|65|75|65|75|75|65|70|665
B28070|Superior-Greenstone DSB|70|65|80|80|90|70|90|80|80|65|770
B66044|Thames Valley DSB|5065|5340|5430|5565|5400|5660|5740|5825|5660|5395|55080
B29068|Thunder Bay CDSB|510|530|535|585|530|570|565|555|525|570|5470
B67059|Toronto CDSB|5915|6000|6225|6135|6295|6345|6410|6500|6405|6485|62715
B66052|Toronto DSB|17010|17775|18300|17545|17645|17580|17520|17430|16325|16360|173485
B66087|Trillium Lakelands DSB|1015|1065|1110|1120|1160|1120|1165|1145|1060|1130|11080
B66192|Upper Canada DSB|1605|1735|1780|1775|1730|1845|1840|1920|1835|1765|17830
B66117|Upper Grand DSB|2300|2340|2475|2385|2400|2390|2425|2310|2425|2290|23745
B67148|Waterloo CDSB|1525|1595|1635|1615|1590|1680|1660|1640|1725|1615|16285
B66176|Waterloo Region DSB|4095|4295|4450|4435|4535|4545|4510|4745|4505|4495|44610
B67130|Wellington CDSB|555|540|495|555|545|565|635|590|590|605|5665
B67024|Windsor-Essex CDSB|1175|1210|1300|1260|1265|1335|1360|1385|1505|1525|13320
B67075|York CDSB|2535|2895|3360|3425|3530|3720|3815|3950|3790|3855|34880
B66095|York Region DSB|6830|7185|8830|8370|8625|8970|9070|9595|9290|9205|85970
N/A|Provincial Total|129160|134535|140790|140030|141855|144775|146225|146080|143225|142350|1409030
