Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B28010|Algoma DSB|655|640|625|650|595|655|670|670|680|700|6535
B67202|Algonquin and Lakeshore CDSB|745|750|820|780|845|835|820|860|750|740|7945
B66010|Avon Maitland DSB|980|985|940|975|990|1050|1050|1060|1085|1075|10195
B66001|Bluewater DSB|1205|1220|1245|1235|1270|1190|1265|1210|1160|1195|12195
B67164|Brant Haldimand Norfolk CDSB|630|645|695|660|660|645|700|665|695|665|6665
B67008|Bruce-Grey CDSB|340|300|280|310|290|320|290|290|255|285|2955
B67172|CDSB of Eastern Ontario|790|835|845|815|920|860|915|910|985|1010|8885
B66303|CS Viamonde|1205|1170|1170|1135|1125|1135|1025|995|785|735|10485
B67318|CS catholique MonAvenir|1300|1405|1420|1410|1415|1410|1410|1300|1315|1285|13675
B28118|CS public du Grand Nord de l'Ontario|200|200|200|195|180|185|190|170|200|150|1870
B28100|CSD du Nord-Est de l'Ontario|205|185|185|190|170|195|170|195|125|110|1725
B29114|CSDC Franco-Nord|170|210|200|195|205|200|185|180|220|175|1935
B67326|CSDC de l'Est ontarien|775|770|745|765|755|775|765|750|705|670|7485
B29130|CSDC des Aurores boréales|70|70|70|75|65|70|75|65|80|65|705
B29106|CSDC des Grandes Rivières|425|435|415|415|395|430|395|380|410|390|4090
B67334|CSDC du Centre-Est de l'Ontario|1845|1920|1970|1895|1930|1960|1990|1890|1725|1695|18815
B29122|CSDC du Nouvel-Ontario|540|485|495|485|520|505|495|510|490|450|4965
B67300|Conseil scolaire catholique Providence|885|840|865|840|795|795|800|770|800|770|8165
B66311|CÉP de l'Est de l'Ontario|1260|1335|1315|1240|1295|1225|1235|1130|1115|1030|12180
B66150|DSB Niagara|2410|2375|2545|2475|2545|2725|2630|2655|2620|2595|25580
B28002|DSB Ontario North East|380|420|430|430|415|455|430|390|425|405|4180
B67083|Dufferin-Peel CDSB|4255|4390|4730|4795|4870|5000|5230|5225|5135|5255|48885
B67105|Durham CDSB|1350|1340|1400|1420|1570|1635|1565|1580|1485|1565|14915
B66060|Durham DSB|4355|4530|4915|5050|5075|5220|5090|5215|5205|5180|49835
B66168|Grand Erie DSB|1675|1740|1705|1825|1855|1825|1910|1825|1825|1810|17995
B66028|Greater Essex County DSB|2130|2240|2440|2410|2485|2595|2630|2660|2525|2665|24780
B67113|Halton CDSB|2110|2190|2305|2335|2395|2430|2475|2390|2290|2290|23215
B66133|Halton DSB|3595|3800|4090|4475|4475|4850|4990|5225|5100|4995|45605
B67121|Hamilton-Wentworth CDSB|1720|1825|1785|1860|1900|1955|2005|1925|1875|1960|18820
B66141|Hamilton-Wentworth DSB|3455|3560|3680|3555|3520|3605|3635|3655|3640|3595|35900
B66222|Hastings & Prince Edward DSB|870|1025|990|1025|1050|1060|1125|1085|1095|1050|10370
B67016|Huron Perth CDSB|320|320|370|320|350|320|340|320|300|295|3255
B29025|Huron-Superior CDSB|335|365|400|380|410|365|360|350|325|330|3615
B66079|Kawartha Pine Ridge DSB|2320|2490|2300|2340|2305|2360|2410|2325|2260|2215|23330
B28045|Keewatin-Patricia DSB|270|275|290|275|285|295|285|300|295|290|2850
B29050|Kenora CDSB|70|70|95|110|95|105|125|120|110|115|1020
B28061|Lakehead DSB|640|635|630|595|640|635|620|595|580|610|6185
B66036|Lambton Kent DSB|1365|1345|1435|1445|1440|1530|1505|1555|1550|1495|14665
B66206|Limestone DSB|1240|1265|1310|1290|1310|1350|1355|1345|1365|1350|13180
B67032|London District Catholic School Board|1370|1375|1390|1380|1365|1365|1400|1405|1405|1370|13825
